1,"Govt: High School Pishmal(Combined)",Pishmal,072010101,-,-,,696,487,2068,2,1,3
"",Pishmal,072010102,-,-,,508,377,,,,,
2,"Govt: Primary School No.2 Aryanai(Combined)",Aryanai,072010103,-,-,,959,639,2468,2,2,4
"",Aryanai,072010104,-,-,,523,347,,,,,
3,"Govt: High School Laikot(Combined)",Laikot,072010105,-,-,,632,451,2199,2,2,4
"",Laikot,072010106,-,-,,661,455,,,,,
4,"Govt: Primary School No.1 BalakotSemi Improvised (Combined)",Balakot,072010201,-,-,,347,235,2080,2,1,3
"",Balakot,072010202,-,-,,625,418,,,,,
"",Balakot,072010203,-,-,,270,185,,,,,
5,"Govt: Middle School Cham Gahrrai(Combined)",Cham Gahrrai,072010204,-,-,,369,256,1074,1,1,2
"",Cham Gahrrai,072010205,-,-,,265,184,,,,,
6,"Govt: Girls Primary School ChamGahrai (Combined)",Cham Gahrrai,072010206,-,-,,739,510,1249,1,1,2
7,"Govt: Primary School Kedam(Combined)",Kedam,072010207,-,-,,289,154,1282,1,1,2
"",Kedam,072010208,-,-,,476,363,,,,,
8,"Govt: Primary School No.1 TanTorwal  Semi Improvised (Combined)",Torwal,072010209,-,-,,111,74,2223,2,2,4
"",Torwal,072010210,-,-,,835,629,,,,,
"",Torwal,072010211,-,-,,68,53,,,,,
"",Torwal,072010212,-,-,,258,195,,,,,
9,"Govt: Higher Secondary SchoolMankyal (Combined)",Mankyal,072010301,-,-,,1105,664,2424,2,2,4
"",Mankyal,072010302,-,-,,401,254,,,,,
10,"Govt: Middle School RamaitImprovised (Male)",Ramait,072010303,-,-,,536,0,1675,2,0,2
"",Ramait,072010304,-,-,,487,0,,,,,
"",Ramait,072010305,-,-,,652,0,,,,,
11,"Govt: Girls Primary School Ramait(Female)",Ramait,072010303,-,-,,0,339,1108,0,2,2
"",Ramait,072010304,-,-,,0,326,,,,,
"",Ramait,072010305,-,-,,0,443,,,,,
12,"Govt: Primary School Badai SemiImprovised (Combined)",Badai Serai,072010107,-,-,,712,421,2489,2,2,4
"",Badai Serai,072010108,-,-,,652,446,,,,,
"",Badai Serai,072010109,-,-,,152,106,,,,,
13,Govt: Middle School Ayeen (Male),Ayeen,072010306,-,-,,724,0,1496,3,0,3
Ayeen,072010307,-,-,,428,0,,,,,,
Ayeen,072010308,-,-,,159,0,,,,,,
Ayeen,072010309,-,-,,185,0,,,,,,
Ayeen,072010306,-,-,,0,556,,,,,,
Ayeen,072010307,-,-,,0,338,,,,,,
Ayeen,072010308,-,-,,0,132,,,,,,
"",,Ayeen,072010309,-,-,,0,134,,,,
15,"Govt: Primary School No.1 DarolaySemi Improvised (Combined)",Darolay,072010310,-,-,,459,333,1784,2,2,4
"",,Darolay,072010311,-,-,,561,431,,,,
16,Govt: High School Gornai (Male),Gornai,072010312,-,-,,826,0,1365,2,0,2
"",,Gornai,072010313,-,-,,539,0,,,,
17,"Govt: Primary School No.1 Gornai(Female)",Gornai,072010312,-,-,,0,668,1130,0,2,2
"",,Gornai,072010313,-,-,,0,462,,,,
18,"Govt: Girls Primary School Gornai(Combined)",Gornai,072010314,-,-,,202,155,1100,1,1,2
"",,Gornai,072010315,-,-,,159,128,,,,
"",,Gornai,072010316,-,-,,244,212,,,,
19,"Govt: Primary School GuntanrBahrain  (Combined)",-,-,Bahrain,072030104,,614,391,2217,2,2,4
"",,-,-,Bahrain,072030105,,410,278,,,,
"",,-,-,Bahrain,072030204,,296,228,,,,
20,"Govt: Primary School Areen(Rented) Improvised (Combined)",-,-,Bahrain,072030203,,784,622,1406,1,1,2
21,"Govt: High School Bahrain RightSide (Male)",-,-,Bahrain,072030101,,726,0,1424,2,0,2
"",,-,-,Bahrain,072030102,,503,0,,,,
"",,-,-,Bahrain,072030103,,195,0,,,,
22,"Govt: Primary School Bahrain RightSide (Female)",-,-,Bahrain,072030101,,0,630,1216,0,2,2
"",,-,-,Bahrain,072030102,,0,423,,,,
"",,-,-,Bahrain,072030103,,0,163,,,,
23,"Govt: High School Bahrain Left Side(Male)",-,-,Bahrain,072030201,,472,0,1535,2,0,2
"",,-,-,Bahrain,072030202,,1063,0,,,,
