Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral rollin caseelectoralarea isbifurcated","Number of voters assigned topolling station","Number of pollingbooths",,,,,,
"","Name of electoralarea","Censusblock code","Name ofelectoral area","Census blockcode",Male,Female,Total,Male,Female,Total,,
13,"Govt Model  High School , Part-III (P)",,,"MunicipalCommittee.KehrorPacca",218040909,,431,332,763,2,1,3
"",,,"MunicipalCommittee.KehrorPacca",218040905,,324,265,589,,,,
Total,,,,,,,755,597,1352,2,1,3
14,"Govt Girls Degree College, Part I Female(P)",,,"MunicipalCommittee.KehrorPacca",218040903,,0,264,264,0,4,4
"",,,"MunicipalCommittee.KehrorPacca",218040904,,0,178,178,,,,
"",,,"MunicipalCommittee.KehrorPacca",218040906,,0,541,541,,,,
"",,,"MunicipalCommittee.KehrorPacca",218041001,,0,253,253,,,,
"",,,"MunicipalCommittee.KehrorPacca",218041006,,0,239,239,,,,
"",,,"MunicipalCommittee.KehrorPacca",218041007,,0,181,181,,,,
Total,,,,,,,0,1656,1656,0,4,4
15,"Govt Model  High School ,  Part-IV Male(P)",,,"MunicipalCommittee.KehrorPacca",218041006,,322,0,322,3,0,3
"",,,,"MunicipalCommittee.KehrorPacca",218041002,,474,0,474,,,
"",,,,"MunicipalCommittee.KehrorPacca",218041007,,234,0,234,,,
Total,,,,,,,1359,0,1359,3,0,3
16,"Govt Girls Degree College, Part II Female(P)",,,"MunicipalCommittee.KehrorPacca",218041002,,0,363,363,0,4,4
"",,,,"MunicipalCommittee.KehrorPacca",218041003,,0,127,127,,,
"",,,,"MunicipalCommittee.KehrorPacca",218041008,,0,188,188,,,
"",,,,"MunicipalCommittee.KehrorPacca",218041004,,0,563,563,,,
"",,,,"MunicipalCommittee.KehrorPacca",218041009,,0,452,452,,,
Total,,,,,,,0,1693,1693,0,4,4
17,Muncipal Committee Office  Male(P),,,"MunicipalCommittee.KehrorPacca",218041003,,187,0,187,4,0,4
"",,,,"MunicipalCommittee.KehrorPacca",218041008,,260,0,260,,,
"",,,,"MunicipalCommittee.KehrorPacca",218041004,,652,0,652,,,
"",,,,"MunicipalCommittee.KehrorPacca",218041009,,612,0,612,,,
Total,,,,,,,1711,0,1711,4,0,4
18,Govt Ghosia Primary School  Male(P),,,"MunicipalCommittee.KehrorPacca",218040102,,564,0,564,3,0,3
"",,,,"MunicipalCommittee.KehrorPacca",218040103,,366,0,366,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040106,,610,0,610,,,
Total,,,,,,,1540,0,1540,3,0,3
19,"Govt Boys Degree College Kehror,Part -I Male(P)",,,"MunicipalCommittee.KehrorPacca",218040104,,812,0,812,4,0,4
"",,,,"MunicipalCommittee.KehrorPacca",218040502,,500,0,500,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040503,,336,0,336,,,
Total,,,,,,,1648,0,1648,4,0,4
20,"Govt Boys Degree College Kehror,Part- II Female(P)",,,"MunicipalCommittee.KehrorPacca",218040104,,0,589,589,0,3,3
"MunicipalCommittee.KehrorPacca",218040502,,0,419,419,,,,,,,
"MunicipalCommittee.KehrorPacca",218040503,,0,278,278,,,,,,,
21,"Govt Boys Degree College Kehror,Part -III Female(P)",,,"MunicipalCommittee.KehrorPacca",218040102,,0,376,376,0,2,2
"",,,,"MunicipalCommittee.KehrorPacca",218040103,,0,324,324,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040106,,0,477,477,,,
Total,,,,,,,0,1177,1177,0,2,2
22,"Govt Boys Degree College Kehror,Part -IV (P)",,,"MunicipalCommittee.KehrorPacca",218040107,,210,185,395,0,2,2
"",,,,"MunicipalCommittee.KehrorPacca",218040108,,219,139,358,,,
Total,,,,,,,429,324,753,0,2,2
23,Govt Islamia Public High School  Part I Male(P),,,"MunicipalCommittee.KehrorPacca",218040504,,190,0,190,4,0,4
"",,,,"MunicipalCommittee.KehrorPacca",218040601,,439,0,439,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040605,,306,0,306,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040602,,282,0,282,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040603,,567,0,567,,,
Total,,,,,,,1784,0,1784,4,0,4
24,Govt Islamia Public High School  Part II Female(P),,,"MunicipalCommittee.KehrorPacca",218040504,,0,152,152,0,3,3
"",,,,"MunicipalCommittee.KehrorPacca",218040601,,0,355,355,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040605,,0,216,216,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040602,,0,237,237,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040603,,0,442,442,,,
Total,,,,,,,0,1402,1402,0,3,3
25,Ziladari Office Bangla Anhar  Part-I Male (P),,,"MunicipalCommittee.KehrorPacca",218040604,,560,0,560,2,2,4
"",,,,"MunicipalCommittee.KehrorPacca",218040606,,588,0,588,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040607,,606,0,606,,,
Total,,,,,,,1754,0,1754,2,2,4
26,Ziladari Office Bangla Anhar Part-II Female  (P),,,"MunicipalCommittee.KehrorPacca",218040604,,0,505,505,2,2,4
"MunicipalCommittee.KehrorPacca",218040606,,0,515,515,,,,,,,
"MunicipalCommittee.KehrorPacca",218040607,,0,420,420,,,,,,,
27,Govt Girls  Higher Secondary  School Part I (P),,,"MunicipalCommittee.KehrorPacca",218040101,,513,380,893,2,1,3
"",,,,"MunicipalCommittee.KehrorPacca",218040105,,358,253,611,,,
Total,,,,,,,871,633,1504,2,1,3
28,Govt Girls  Higher Secondary  School Part II Male (P),,,"MunicipalCommittee.KehrorPacca",218041005,,696,0,696,3,0,3
"",,,,"MunicipalCommittee.KehrorPacca",218041010,,505,0,505,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040201,,130,0,130,,,
Total,,,,,,,1331,0,1331,3,0,3
29,Govt Girls  Higher Secondary  School Part III Female (P),,,"MunicipalCommittee.KehrorPacca",218041005,,0,602,602,0,2,2
"",,,,"MunicipalCommittee.KehrorPacca",218041010,,0,327,327,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040201,,0,120,120,,,
Total,,,,,,,0,1049,1049,0,2,2
30,"Govt. Shah Muhammad Joiya Elementary School, NewBuilding Male(P)",,,"MunicipalCommittee.KehrorPacca",218040202,,278,0,278,2,0,2
"",,,,"MunicipalCommittee.KehrorPacca",218040203,,144,0,144,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040204,,284,0,284,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040401,,447,0,447,,,
Total,,,,,,,1153,0,1153,2,0,2
31,"Govt. Shah Muhammad Joiya Elementary School, OldBuilding Female(P)",,,"MunicipalCommittee.KehrorPacca",218040202,,0,254,254,0,2,2
"",,,,"MunicipalCommittee.KehrorPacca",218040203,,0,100,100,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040204,,0,213,213,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040401,,0,347,347,,,
Total,,,,,,,0,914,914,0,2,2
32,"Govt. Girls  Higher Secondary  School, Part III Male(P)",,,"MunicipalCommittee.KehrorPacca",218040402,,474,0,474,3,0,3
"MunicipalCommittee.KehrorPacca",218040403,,288,0,288,,,,,,,
"MunicipalCommittee.KehrorPacca",218040404,,208,0,208,,,,,,,
"MunicipalCommittee.KehrorPacca",218040405,,355,0,355,,,,,,,
"MunicipalCommittee.KehrorPacca",218040501,,150,0,150,,,,,,,
33,Govt Girls  Higher Secondary  School  Part IV Female(P),,,"MunicipalCommittee.KehrorPacca",218040402,,0,323,323,0,2,2,,
"",,,,"MunicipalCommittee.KehrorPacca",218040403,,0,204,204,,,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040404,,0,155,155,,,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040405,,0,239,239,,,,,
"",,,,"MunicipalCommittee.KehrorPacca",218040501,,0,124,124,,,,,
Total,,,,,,,0,1045,1045,0,2,2,,
34,"Govt Girls  Primary School , Dhuddi Wala at MultaniWala(P)",Kehror,218010401,,,,636,502,1138,2,2,4,,
"",,Kehror,218010402,,392,284,676,,,,,,,
Total,,,,,,,1028,786,1814,2,2,4,,
35,"Govt Boys Primary School , Mulwaney Wala(P)",Kehror,218010403,,,,571,498,1069,2,2,4,"New Heaven Public School, Multani Wala",
"",,Kehror,218010404,,504,397,901,,,,,,,
Total,,,,,,,1075,895,1970,2,2,4,,
36,"Govt Girls  Primary School ,  Basti Tibba At Sajan WalaFaridabad Male(P)",Farid Abad,218010405,,,,549,0,549,3,0,3,,
"",,Farid Abad,218010406,,390,0,390,,,,,,,
"",,Farid Abad,218010407,,461,0,461,,,,,,,
Total,,,,,,,1400,0,1400,3,0,3,,
37,Union Council Office Faridabad Female(P),Farid Abad,218010405,,,,0,359,359,0,2,2,,
"",,Farid Abad,218010406,,0,300,300,,,,,,,
"",,Farid Abad,218010407,,0,312,312,,,,,,,
Total,,,,,,,0,971,971,0,2,2,,
38,"Govt Girls  Primary School , Faridabad Male   (P)",Farid Abad,218010408,,,,548,0,548,4,0,4,,
Farid Abad,218010409,,252,0,252,,,,,,,,,
Farid Abad,218010410,,399,0,399,,,,,,,,,
Farid Abad,218010411,,426,0,426,,,,,,,,,
39,"Govt Boys  Middle School , Chore Wah at FaridabadFemale   (P)",Farid Abad,218010408,,,,0,435,435,0,2,2
"",Farid Abad,218010409,,0,174,174,,,,,,
"",Farid Abad,218010410,,0,290,290,,,,,,
"",Farid Abad,218010411,,0,367,367,,,,,,
Total,,,,,,,0,1266,1266,0,2,2
40,"Govt Boys Primary School , Kotla Dilbar Bahwal GarhPart-I (P)",Bahawal Garh,218010101,,,,285,192,477,1,1,2
"",Bahawal Garh,218010102,,298,153,451,,,,,,
Total,,,,,,,583,345,928,1,1,2
41,"Govt Boys Primary School, Kotla Dilbar Bahwal GarhPart-II (P)",Bahawal Garh,218010103,,,,638,471,1109,2,1,3
"",Bahawal Garh,218010104,,298,172,470,,,,,,
Total,,,,,,,936,643,1579,2,1,3
42,"Govt Boys High School, Bahawal Garh Part-I (P)",Bahawal Garh,218010105,,,,381,211,592,1,1,2
"",Bahawal Garh,218010106,,216,152,368,,,,,,
Total,,,,,,,597,363,960,1,1,2
43,Govt Boys High School Bahwala Garh Part-II (P),Bahawal Garh,218010107,,,,280,180,460,1,1,2
"",Bahawal Garh,218010110,,219,143,362,,,,,,
Total,,,,,,,499,323,822,1,1,2
44,Govt Boys High School Bahwala Garh Part-III (P),Bahawal Garh,218010108,,,,330,260,590,2,1,3
"",Bahawal Garh,218010109,,331,227,558,,,,,,
Total,,,,,,,661,487,1148,2,1,3
45,Govt Boys Model Primary School Basti Sanwery(P),Bahawal Garh,218010111,,,,159,114,273,2,2,4
"",Bahawal Garh,218010112,,141,107,248,,,,,,
"",Bahawal Garh,218010119,,514,382,896,,,,,,
"",Bahawal Garh,218010120,,7,3,10,,,,,,
"",Bahawal Garh,218010121,,108,75,183,,,,,,
Total,,,,,,,929,681,1610,2,2,4
46,"Govt Girls  Primary School , Jhok Aheer, Basti SahiWala(P)",Bahawal Garh,218010113,,,,521,380,901,2,1,3
Bahawal Garh,218010114,,259,167,426,,,,,,,
47,Govt Girls  Elementary School Bahawal Garh Part-I (P),Bahawal Garh,218010115,,,,554,432,986,1,1,2
Total,,,,,,,554,432,986,1,1,2
48,Govt Girls  Elementary School Bahawal Garh Part-II  (P),Bahawal Garh,218010116,,,,739,513,1252,2,1,3
Total,,,,,,,739,513,1252,2,1,3
49,Basic Health Centre Bahawal Garh(P),Bahawal Garh,218010117,,,,224,155,379,1,1,2
"",Bahawal Garh,218010118,,221,142,363,,,,,,
Total,,,,,,,445,297,742,1,1,2
50,"Govt Girls Elementary School, Basti Lail pur Part-I  (P)",Jamrani Wah,218011201,,,,731,511,1242,2,1,3
Total,,,,,,,731,511,1242,2,1,3
51,"Govt Girls Elementary School, Basti Lail pur Part-II (P)",Jamrani Wah,218011202,,,,480,390,870,1,1,2
Total,,,,,,,480,390,870,1,1,2
52,"Govt Girls Elementary School, Basti Lail pur Part-III (P)",Jamrani Wah,218011203,,,,730,487,1217,2,1,3
Total,,,,,,,730,487,1217,2,1,3
53,"Basic Health Unit , Muhammad Wala(P)",Jamrani Wah,218011204,,,,810,566,1376,2,1,3
Total,,,,,,,810,566,1376,2,1,3
54,Govt Boys Primary School Amar Dittay Wala ( Male )(P),Jamrani Wah,218011205,,,,526,0,526,3,0,3
"",Jamrani Wah,218011206,,241,0,241,,,,,,
"",Jamrani Wah,218011207,,285,0,285,,,,,,
"",Jamrani Wah,218011214,,252,0,252,,,,,,
Total,,,,,,,1304,0,1304,3,0,3
55,"Govt Girls  Primary School , Dau Wala (Female )(P)",Jamrani Wah,218011205,,,,0,539,539,0,2,2
"",Jamrani Wah,218011206,,0,135,135,,,,,,
"",Jamrani Wah,218011207,,0,195,195,,,,,,
"",Jamrani Wah,218011214,,0,116,116,,,,,,
Total,,,,,,,0,985,985,0,2,2
56,Govt Boys Primary School Amar Dittay Wala ( Male )(P),Jamrani Wah,218011208,,,,427,0,427,3,0,3
Jamrani Wah,218011209,,542,0,542,,,,,,,
Jamrani Wah,218011210,,328,0,328,,,,,,,
Jamrani Wah,218011215,,127,0,127,,,,,,,
57,"Govt Girls  Primary School , Bast Dahana ( Female )(P)",Jamrani Wah,218011208,,,,0,232,232,0,2,2
"",Jamrani Wah,218011209,,0,239,239,,,,,,
"",Jamrani Wah,218011210,,0,226,226,,,,,,
"",Jamrani Wah,218011215,,0,125,125,,,,,,
Total,,,,,,,0,822,822,0,2,2
58,"Govt Boys Primary School , Basti Goth Bahar (Mamel)(P)",Jamrani Wah,218011211,,,,265,0,265,2,0,2
"",Jamrani Wah,218011212,,216,0,216,,,,,,
"",Jamrani Wah,218011213,,787,0,787,,,,,,
Total,,,,,,,1268,0,1268,2,0,2
59,"Govt. Primary School, Goth Bahar ( Female )(P)",Jamrani Wah,218011211,,,,0,149,149,0,2,2
"",Jamrani Wah,218011212,,0,159,159,,,,,,
"",Jamrani Wah,218011213,,0,571,571,,,,,,
Total,,,,,,,0,879,879,0,2,2
60,"Govt Girls  Primary School , Nagni at Chah MasjidWala(P)",Nagni,218011001,,,,389,305,694,2,1,3
"",Nagni,218011002,,350,275,625,,,,,,
Total,,,,,,,739,580,1319,2,1,3
61,"Govt Boys Primary School , Thalli(P)",Thalli,218011003,,,,563,384,947,2,2,4
"",Thalli,218011004,,350,263,613,,,,,,
Total,,,,,,,913,647,1560,2,2,4
62,"Govt Boys Primary School , Bahadi Wahin(P)",Bahadi Wahin,218010901,,,,520,407,927,1,1,2
"",Bhinda Grawan,218010905,,104,73,177,,,,,,
Total,,,,,,,624,480,1104,1,1,2
63,"Govt Model Elementary School , Sikandari Kharrak(Naseer Uddin Wahin) Part-I(P)",Naseer Uddin Wahin,218011101,,,,444,379,823,2,1,3
"",Naseer Uddin Wahin,218011102,,346,231,577,,,,,,
Total,,,,,,,790,610,1400,2,1,3
64,"Govt Model Elementary School , Sikandari Kharrak(Naseer Uddin Wahin) Part-II(P)",Naseer Uddin Wahin,218011103,,,,391,291,682,2,1,3
Naseer Uddin Wahin,218011104,,329,260,589,,,,,,,
65,"Govt Boys Primary School , Naseerudin Wahin CheelWala(P)",Naseer Uddin Wahin,218011105,,,,352,239,591,2,1,3
"",Naseer Uddin Wahin,218011106,,461,321,782,,,,,,
Total,,,,,,,813,560,1373,2,1,3
66,"Govt Girls  Primary School, Naseerudin Wahin at KootoWala(P)",Naseer Uddin Wahin,218011107,,,,248,123,371,1,1,2
"",Naseer Uddin Wahin,218011108,,384,263,647,,,,,,
Total,,,,,,,632,386,1018,1,1,2
67,"Govt Boys High School , Jhanbi Wahin Part-I Male(P)",jhanbi Wahin,218010801,,,,588,0,588,3,0,3
"",jhanbi Wahin,218010802,,245,0,245,,,,,,
"",jhanbi Wahin,218010803,,511,0,511,,,,,,
Total,,,,,,,1344,0,1344,3,0,3
68,"Govt Boys High School , Jhanbi Wahin Part-II Female(P)",jhanbi Wahin,218010801,,,,0,497,497,0,2,2
"",jhanbi Wahin,218010802,,0,196,196,,,,,,
"",jhanbi Wahin,218010803,,0,361,361,,,,,,
Total,,,,,,,0,1054,1054,0,2,2
69,"Govt Boys Primary School , Ain Wain Part-I (P)",Ain Wahin,218010804,,,,549,404,953,1,1,2
Total,,,,,,,549,404,953,1,1,2
70,"Govt Boys Primary School , Ain Wain Part-II (P)",Ain Wahin,218010805,,,,254,190,444,2,1,3
"",Kotla Murrad Ali,218010904,,431,321,752,,,,,,
Total,,,,,,,685,511,1196,2,1,3
71,"Govt Girls  Primary School , Basti Nala at JhokeAaheer.(P)",Bakhri,218010704,,,,649,459,1108,2,2,4
"",Bakhri,218010705,,49,39,88,,,,,,
"",Jhook Aheer,218010706,,269,184,453,,,,,,
Total,,,,,,,967,682,1649,2,2,4
72,"Govt Boys Primary School , Peer Sukha(P)",Jass,218010710,,,,626,472,1098,2,2,4
"",Jass,218010711,,494,329,823,,,,,,
Total,,,,,,,1120,801,1921,2,2,4
73,"Govt Girls  Primary School , Khan da Khoo.(P)",Jass,218010712,,,,435,355,790,1,1,2
"",Jass,218010713,,193,133,326,,,,,,
Total,,,,,,,628,488,1116,1,1,2
74,"Basic Health Unit , Shahpur Phull.(P)",Shah Pur Phul,218010701,,,,548,473,1021,1,1,2
75,"Govt Girls Elementary Model School , Shahpur phull(P)",Shah Pur Phul,218010702,,,,294,237,531,1,1,2,,
"",Shah Pur Phul,218010703,,318,182,500,,,,,,,,
Total,,,,,,,612,419,1031,1,1,2,,
76,Govt Girls Primary School Goal.(P),Goal,218010707,,,,495,359,854,2,1,3,,
"",Goal,218010708,,358,267,625,,,,,,,,
Total,,,,,,,853,626,1479,2,1,3,,
77,"Govt Girls  Primary School , Basti Saidan.(P)",Goal,218010709,,,,451,334,785,1,1,2,,
Total,,,,,,,451,334,785,1,1,2,,
78,"Govt. Boys Primary School, Muhammad Pur at QadirpurDhakku (P)",Qadir Pur Dhakoo,218010609,,,,420,320,740,2,2,4,,
"",Qadir Pur Dhakoo,218010610,,638,493,1131,,,,,,,,
Total,,,,,,,1058,813,1871,2,2,4,,
79,"Govt Boys Primary School, Basti Mud at Tibbi WaddanPart-I (P)",Tibbi Wadan,218010604,,,,477,347,824,2,1,3,,
"",Tibbi Wadan,218010605,,265,162,427,,,,,,,,
Total,,,,,,,742,509,1251,2,1,3,,
"",,Tibbi Wadan,218010606,,,,361,248,609,,,,Govt. Girls Pri,"ary School, Tibbi Wasawa"
80,"Govt Boys Primary School , Basti Mud at Tibbi WaddanPart-II (P)",Tibbi Wadan,218010607,,,,150,80,230,1,1,2,,
"",Tibbi Wadan,218010608,,8,3,11,,,,,,,,
Total,,,,,,,519,331,850,1,1,2,,
81,"Govt Boys Elementary School , Seekar(P)",Seekar,218010601,,,,293,237,530,1,1,2,,
"",Seekar,218010602,,382,267,649,,,,,,,,
"",Seekar,218010603,,98,66,164,,,,,,,,
Total,,,,,,,773,570,1343,1,1,2,,
82,"Govt Girls  Primary School , Tibba Raher at DurajianWala (P)",Tibba Rahar,218010510,,,,577,488,1065,1,1,2,,
Total,,,,,,,577,488,1065,1,1,2,,
83,"Govt Boys Model Primary School, Ismail Pur Part-I (P)",Ismail Pur,218010501,,,,403,303,706,2,1,3,,
"",Ismail Pur,218010502,,345,249,594,,,,,,,,
Total,,,,,,,748,552,1300,2,1,3,,
84,"Govt Boys Model Primary School, Ismail Pur Part-II (P)",Ismail Pur,218010503,,,,544,445,989,1,1,2,,
Total,,,,,,,544,445,989,1,1,2,,
85,"Govt Girls  Model Primary School, Ismail Pur (P)",Ismail Pur,218010504,,,,550,399,949,1,1,2,,
86,"Govt Girls  Primary School, Sarai. No.1 Part-I (P)",Sarai,218010505,,,,251,0,251,3,0,3
"",Sarai,218010506,,467,0,467,,,,,,
"",Sarai,218010507,,581,0,581,,,,,,
Total,,,,,,,1299,0,1299,3,0,3
87,"Govt Girls  Primary School, Sarai. No.1 Part-II (P)",Sarai,218010508,,,,668,506,1174,2,2,4
"",Sarai,218010509,,257,184,441,,,,,,
Total,,,,,,,925,690,1615,2,2,4
88,"Govt Girls  Primary School, Sarai. No.2 (P)",Sarai,218010505,,,,0,210,210,0,2,2
"",Sarai,218010506,,0,341,341,,,,,,
"",Sarai,218010507,,0,405,405,,,,,,
Total,,,,,,,0,956,956,0,2,2
89,"Govt Elementary School, Hasil wala at Pai Wagna(P)",Pai Wagna,218010902,,,,479,386,865,2,2,4
"",Pai Wagna,218010903,,473,357,830,,,,,,
Total,,,,,,,952,743,1695,2,2,4
90,"Basic Health Unit , Nawaz Abad  (Dakhna Gharoo) Part-I(P)",Dakhna Gharoo,218030101,,,,322,261,583,2,1,3
"",Dakhna Gharoo,218030102,,369,276,645,,,,,,
Total,,,,,,,691,537,1228,2,1,3
91,"Basic Health Unit , Nawaz Abad  (Dakhna Gharoo) Part-II (P)",Dakhna Gharoo,218030103,,,,701,563,1264,2,1,3
Total,,,,,,,701,563,1264,2,1,3
92,"Govt. Girls  Primary School , Basti Gharoo at GhaniWala.(P)",Dakhna Gharoo,218030104,,,,314,258,572,1,1,2
"",Dakhna Gharoo,218030105,,377,321,698,,,,,,
Total,,,,,,,691,579,1270,1,1,2
93,"Govt Girls High School, Nathay Wala.(P)",Dakhna Gharoo,218030106,,,,108,72,180,1,1,2
"",Dakhna Gharoo,218030108,,384,311,695,,,,,,
Total,,,,,,,492,383,875,1,1,2
94,"Govt Girls  Primary School, Peer Da Killa.(P)",Dakhna Gharoo,218030107,,,,886,600,1486,2,1,3
Total,,,,,,,886,600,1486,2,1,3
95,"Govt Girls  Primary School , Basti Khudai.(P)",Dakhna Gharoo,218030109,,,,385,259,644,1,1,2
Total,,,,,,,385,259,644,1,1,2
96,"Govt Girls  Primary School, Shah Abu Tahir at MachiWagha.(P)",Machi Wahgah,218031201,,,,348,304,652,1,1,2
97,"Govt Girls  Primary School, Wahind Sarmani at JindPeer.(P)",Wahind Sarmani,218031203,,,,756,506,1262,1,1,2
Total,,,,,,,756,506,1262,1,1,2
98,"Govt Boys Primary School, Wahind Sarmani at BapperWala Part-I. (P)",Wahind Sarmani,218031204,,,,725,546,1271,2,1,3
Total,,,,,,,725,546,1271,2,1,3
99,"Govt Boys Primary School, Wahind Sarmani at BapperWala Part-II. (P)",Wahind Sarmani,218031205,,,,390,299,689,1,1,2
Total,,,,,,,390,299,689,1,1,2
100,"Govt Boys Primary School, Wigha Mal.(P)",Wigha Mal,218030703,,,,570,468,1038,2,1,3
"",,Wigha Mal,218030704,,387,283,670,,,,,
Total,,,,,,,957,751,1708,2,1,3
101,"Govt Girls  High School, Tibbi Waddan at Wigha Mal.(P)",Mochi Wali,218030701,,,,331,254,585,2,1,3
"",,Mochi Wali,218030702,,440,379,819,,,,,
Total,,,,,,,771,633,1404,2,1,3
102,"Govt Primary School, dera Mehro. Part-I (P)",Dera Mehroo,218030207,,,,257,216,473,2,1,3
"",,Dera Mehroo,218030208,,363,320,683,,,,,
Total,,,,,,,620,536,1156,2,1,3
103,"Govt Primary School, dera Mehro. Part-II (P)",Dera Delawar,218030209,,,,472,324,796,1,1,2
Total,,,,,,,472,324,796,1,1,2
104,"Govt Boys High School, Massa Kotha. Part-I (P)",Massa Kotha,218030201,,,,324,232,556,1,1,2
"",,Massa Kotha,218030202,,403,341,744,,,,,
Total,,,,,,,727,573,1300,1,1,2
105,"Govt Girls High School, Massa Kotha.(P)",Massa Kotha,218030203,,,,206,146,352,2,2,4
"",,Massa Kotha,218030204,,189,156,345,,,,,
"",,Massa Kotha,218030205,,508,408,916,,,,,
Total,,,,,,,903,710,1613,2,2,4
106,"Govt Boys High School, Massa kotha Part-II (P)",Massa Kotha,218030206,,,,586,502,1088,1,1,2
Total,,,,,,,586,502,1088,1,1,2
107,Govt. primary School Raana Wahin,Rana Wahin,218031301,,,,1421,0,1421,4,0,4
"",,Rana Wahin,218031302,,495,0,495,,,,,
Total,,,,,,,1916,0,1916,4,0,4
108,"Govt Boys Primary School , Rana Wahin,(P)",Rana Wahin,218031301,,,,0,1191,1191,0,3,3
109,"Govt Girls  Elementary School, Chah Charhoi Wala atRana Wahin. Female(P)",Mushraf Wahin,218031303,,,,178,163,341,1,1,2,
"",,Rana Wahin,218031302,,495,411,906,,,,,,
Total,,,,,,,673,574,1247,1,1,2,
110,"Govt Boys Primary School, Miran Pur Male(P)",Bela Wahgha,218031304,,,,343,0,343,2,0,2,
"",,Bela Wahgha,218031305,,50,0,50,,,,,,
"",,Bela Wahgha,218031306,,722,0,722,,,,,,
Total,,,,,,,1115,0,1115,2,0,2,
111,"Govt Boys Primary School, Bela Wagha Female(P)",Bela Wahgha,218031304,,,,0,295,295,0,2,2,
"",,Bela Wahgha,218031305,,0,53,53,,,,,,
"",,Bela Wahgha,218031306,,0,525,525,,,,,,
Total,,,,,,,0,873,873,0,2,2,
112,"Govt Boys Primary School, Zirak Wahin.(P)",Zirak Wahin,218031001,,,,347,247,594,1,1,2,
"",,Zirak Wahin,218031002,,392,325,717,,,,,,
Total,,,,,,,739,572,1311,1,1,2,
113,"Govt Boys Primary School, Basti Mehmood at (BastiShapta)(P)",Dera Lala,218031003,,,,370,278,648,2,2,4,
"",,Basti Jalal,218031004,,251,202,453,,,,,,
"",,Gull  pur,218031006,,56,41,97,,,,,,
"",,Hassa Joyia,218031005,,79,62,141,,,,,,
"",,Kot Kora Jhanda,218031007,,185,146,331,,,,,,
Total,,,,,,,941,729,1670,2,2,4,
114,"Govt Girls  Primary School, Kund Ahmed Asar(P)",Chak Qadirpur,218030806,,,,382,276,658,2,1,3,
"",,Jamal pur,218030609,,293,205,498,,,,,,
"",,Kund Ahmed Asar,218030608,,134,88,222,,,,,,
Total,,,,,,,809,569,1378,2,1,3,
115,"Govt Boys High School, Qadir Pur Chimna. PrimaryPortion (P)",Qadir Pur Chimna,218030601,,,,267,210,477,1,1,2,
"",,Qadir Pur Chimna,218030602,,303,235,538,,,,,,
Total,,,,,,,570,445,1015,1,1,2,
116,"Govt Boys High School, Qadir Pur Chimna.Part-I(P)",Bahar,218030610,,,,103,74,177,2,2,4,
"",,Qadir Pur Chimna,218030603,,687,474,1161,,,,,,
"",,Qadir Pur Chimna,218030604,,356,254,610,,,,,,
Total,,,,,,,1146,802,1948,2,2,4,
117,"Govt Boys Primary School, Shah Abu Tahir Basti KikarWala.(P)",Shah Adbu Tahir,218030605,,,,290,213,503,2,2,4,
"",,Shah Adbu Tahir,218030606,,594,461,1055,,,,,,
"",,Shah Adbu Tahir,218030607,,201,144,345,,,,,,
Total,,,,,,,1085,818,1903,2,2,4,
118,"Govt Boys Primary School, Daim kot (P)",Kot Daim,218030807,,,,606,408,1014,2,1,3,
"",,Kot Daim,218030808,,298,199,497,,,,,,
Total,,,,,,,904,607,1511,2,1,3,
119,"Govt Boys Primary School, Sikandar Abad(P)",Challay Wahin,218030801,,,,764,593,1357,1,1,2,
Total,,,,,,,764,593,1357,1,1,2,
120,Union Council Office Chellay Wahin Female(P),Challay Wahin,218030802,,,,0,404,404,0,3,3,
Challay Wahin,218030803,,0,482,482,,,,,,,,
Challay Wahin,218030804,,0,183,183,,,,,,,,
Challay Wahin,218030805,,0,328,328,,,,,,,,
121,Uncion Council Office Chellay Wahin Male(P),Challay Wahin,218030802,,,,593,0,593,4,0,4
"",,Challay Wahin,218030803,,652,0,652,,,,,
"",,Challay Wahin,218030804,,307,0,307,,,,,
"",,Challay Wahin,218030805,,360,0,360,,,,,
Total,,,,,,,1912,0,1912,4,0,4
122,"Govt Boys Primary School, Pipli(P)",Pipli,218031104,,,,287,144,431,1,1,2
"",,Pipli,218031105,,423,304,727,,,,,
Total,,,,,,,710,448,1158,1,1,2
