"",Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
173,"GOVERNMENT BOYS ELEMENTARYSCHOOL,   WADHAN  (T)",WADHAN,263010701,-,-,,729,585,1314,2,1,3
83 Total,,,,-,-,-,729,585,1314,2,1,3
174,"GOVERNMENT GIRLS ELEMENTRYSCHOOL, WADHAN (P)",WADHAN,263010702,-,-,,569,0,569,3,0,3
"",,WADHAN,263010703,-,-,,261,0,261,,,
"",,WADHAN,263010704,-,-,,190,0,190,,,
"",,WADHAN,263010705,-,-,,225,0,225,,,
84 Total,,,,-,-,-,1245,0,1245,3,0,3
175,"(156) GOVERNMENT GIRLSELEMENTRY SCHOOL, WADHAN (P)",WADHAN,263010702,-,-,,0,441,441,0,2,2
"",,WADHAN,263010703,-,-,,0,218,218,,,
"",,WADHAN,263010704,-,-,,0,106,106,,,
"",,WADHAN,263010705,-,-,,0,161,161,,,
85 Total,,,,-,-,-,0,926,926,0,2,2
176,"GOVERNMENT BOYS ELEMENTARYSCHOOL, CHHANT  (T)",CHHANT,263010801,-,-,,348,310,658,2,2,4
"",,CHHANT,263010802,-,-,,255,197,452,,,
"",,TAHI,263010803,-,-,,167,111,278,,,
"",,CHHANT,263010806,-,-,,267,224,491,,,
86 Total,,,,-,-,-,1037,842,1879,2,2,4
177,"GOVERNMENT MODEL PRIMARYSCHOOL,GAGA  (T)",GAGA,263010804,-,-,,229,194,423,1,1,2
"",,CHAK GANGA DAS,263010805,-,-,,84,55,139,,,
"",,PAHARI KASLI,263011101,-,-,,119,84,203,,,
87 Total,,,,-,-,-,432,333,765,1,1,2
178,"GOVERNMENT BOYS PRIMARYSCHOOL, ZAINPUR(Male) (T)",ZAIN PUR,263010901,-,-,,190,0,190,3,0,3
"",,ZAIN PUR,263010902,-,-,,211,0,211,,,
"",,ZAIN PUR,263010903,-,-,,218,0,218,,,
"",,ZAIN PUR,263010904,-,-,,395,0,395,,,
"",,ZAIN PUR,263010905,-,-,,202,0,202,,,
"",,ZAIN PUR,263010906,-,-,,346,0,346,,,
88 Total,,,,-,-,-,1562,0,1562,3,0,3
