"",PP,Sr#,Polling Station Name,PS Type,"Block
Code",Area,Male Vote,Female Vote,Total Vote,"Male
Booth","Female
Booth","Total
Booth"
میبل ڈگر، چاہ خدایاروالہ
میبل نشیب پکا، چاہ خدایاروالہ","252
248
280
78
858","152
166
162
61
541","404
414
442
139
1399",2,1,3

"",89,33,Govt Boy High School Maibal      PS-2,Combined,"141040104
141040107","میبل ڈگر،گلاب خیل
میبل ڈگر، آرائیاں والہ","418
201
619","315
136
451","733
337
1070",1,1,2

"",89,34,Govt Girls Higher Secondery School Maibal,Combined,"141030601
141040101
141040102","میبل نشیب کچا
میبل ڈگر، محلہ میتلانوالہ
میبل ڈگر، محلہ میتلانوالہ","70
615
250
935","46
438
234
718","116
1053
484
1653",2,2,4

"",89,35,"Govt High School Maibal
(Primary Section)",Combined,"141040105
141040106","میبل ڈگر،ریلوے اسٹیشن
میبل ڈگر،شیخانوالہ","189
328
517","142
247
389","331
575
906",1,1,2

"",89,36,Union Council Office Maibal Daggar,Combined,"141040103
141040112
141040113
141040114","میبل ڈگر،ریلوے اسٹیشن
میبل ڈگر،ریلوے اسٹیشن
میبل ڈگر،ریلوے اسٹیشن
میبل ڈگر،ریلوے اسٹیشن","303
143
13
72
531","197
110
6
55
368","500
253
19
127
899",1,1,2

"",89,37,"Govt. Boys Elementary School Hattaran Wala
(Janubi)",Combined,"141040303
141040304","ٹنڈا تھل نمبر 1
ٹنڈا تھل نمبر 1","473
469
942","344
261
605","817
730
1547",2,1,3

"",89,38,Govt. Boys Primary School Tinda Thal,Combined,"141040301
141040305
141040901","ٹنڈا تھل نمبر 1
ٹنڈا تھل نمبر 1
ٹنڈا تھل نمبر 2","167
450
9
626","110
332
15
457","277
782
24
1083",1,1,2

"",89,39,Bangla Dhudhi Head (Canal Rest House),Combined,141040302,ٹنڈا تھل نمبر 1,"282
282","200
200","482
482",1,1,2

"",89,40,"Govt Boys Primary School Kalwal Daggar No-
1",Combined,"141030502
141030504
141030505","کلول ڈ گر، محلہ مانجھے خیل
کلول ڈ گر، محلہ قائم خیل والہ
کلول ڈ گر","416
252
310
978","357
205
162
724","773
457
472
1702",2,1,3

89,41,"Govt Boys Primary School Kalwal Daggar No-
1",Combined,"141030501
141030503
141030506","کلول ڈ گر،منگوچنگڑانوالہ
کلول ڈ گر، محلہ شیرعباس والہ
کلول نشیب","368
370
82
820","295
276
76
647","663
646
158
1467",2,1,3,

"",89,42,"Govt. Boys Primary School Chak, No. 27-
28/ML",Combined,"141040401
141040402","چک نمبر 27 ایم ایل
چک نمبر 28 ایم ایل","216
214
430","166
156
322","382
370
752",1,1,2

"",89,43,Govt. (Girls) Primary School Chak No. 29/ML,Combined,"141040502
141040602","جک نمبر 30ایم ایل
چک نمبر32 ایم ایل","339
186
525","263
134
397","602
320
922",1,1,2

"",89,44,Govt. Boys High School Chak No. 30/31ML,Combined,"141040501
141040601","چک نمبر 29ایم ایل
چک نمبر 31ایم ایل","342
314
656","272
196
468","614
510
1124",2,1,3

"",89,45,Govt. Boys Primary School Chak No. 5/RH,Combined,"141040504
141040603
141040604
141040804","چک نمبر6 آر ایچ
چک نمبر 4 آر ایچ
چک نمبر5 آر ایچ
چک نمبر3 آر ایچ","61
141
111
75
388","45
116
87
59
307","106
257
198
134
695",1,1,2

"",89,46,Govt. Boys Primary School Chak NO. 47/DB,Combined,"141050901
141050902
141050903","چک نمبر 47 ڈی بی،علی خیل، ڈیرہ سلطان والہ
چک نمبر 47 ڈی بی،علی خیل، ڈیرہ سلطان والہ
چک نمبر 46 ڈی بی،علی خیل، ڈیرہ سلطان والہ","378
349
274
1001","291
261
208
760","669
610
482
1761",2,2,4

"",89,47,Govt. Boys Primary School Chak NO. 62/DB,Combined,"141050905
141051001","چک نمبر 64 ڈی بی، علی خیل، ڈیرہ سلطان والہ
چک نمبر 62 ڈی بی، علی خیل، ڈیرہ سلطان والہ","517
487
1004","395
373
768","912
860
1772",2,2,4

"",89,48,Govt. Boys Primary School Chak NO. 65/DB,Combined,141050906,چک نمبر 65 ڈی بی، علی خیل، ڈیرہ سلطان والہ,"505
505","412
412","917
917",1,1,2

"",89,49,Govt. Boys Primary School Chak NO. 48/DB,Combined,141050904,چک نمبر 48 ڈی بی، علی خیل، ڈیرہ سلطان والہ,"394
394","348
348","742
742",1,1,2

"",89,50,Govt. Boys Primary School Chak NO. 63/DB,Combined,"141051006
141051007","چک نمبر 63 ڈی بی، علی خیل، ڈیرہ سلطان والہ
چک نمبر 63 ڈی بی، علی خیل، ڈیرہ سلطان والہ","64
523
587","50
398
448","114
921
1035",1,1,2

"",89,51,Govt. Boys Primary School Chak NO. 61/DB,Combined,"141051002
141051003","چک نمبر61 ڈی بی، علی خیل، ڈیرہ سلطان والہ
چک نمبر61 ڈی بی، علی خیل، ڈیرہ سلطان والہ","376
307
683","258
210
468","634
517
1151",2,1,3

"",89,52,"Govt. Model Elementry School Chak NO.
60/DB",Combined,141051004,علی خیل، ڈیرہ سلطان والہ، علی خیل، ڈیرہ سلطان والہ،,"474
474","358
358","832
832",1,1,2

"",89,53,Govt. Model Primary School Chak NO. 58/DB,Combined,"141051005
141060505","چک نمبر 58 ڈی بی، علی خیل، ڈیرہ سلطان والہ
چک نمبر 59 ڈی بی","217
275
492","160
207
367","377
482
859",1,1,2

"",89,54,Govt. Boys Primary School Chak NO. 55/DB,Combined,141060801,چک نمبر 55 ڈی بی,"393
393","317
317","710
710",1,1,2

"",89,55,Govt Girls Primary School Dira Bashir Kichi,Combined,141060804,چک نمبر 4 ٹی ڈبلیو,"131
131","86
86","217
217",1,1,2

"",89,56,"Govt. Boys High School Chak, NO. 56-57/DB",Combined,"141060802
141060803","چک نمبر 56 ڈی بی
چک نمبر 57 ڈی بی","422
229
651","312
222
534","734
451
1185",2,1,3

89,57,Govt. Boys High School Soha Jhung,Combined,"141060304
141060305
141060306","سوہا جھنج
سوہا جھنج
سوہا جھنج","219
294
247
760","192
210
213
615","411
504
460
1375",2,1,3,

"",89,58,"Govt. Girls Primary School, Soha Jhung.",Combined,"141060301
141060302
141060303","سوہا جھنج
سوہا جھنج
سوہا جھنج","328
246
215
789","268
138
139
545","596
384
354
1334",2,1,3

"",89,59,Govt. Boys Elementary School Bittee,Combined,"141060401
141060403","بٹی نمبر1
بٹی نمبر1","253
235
488","177
185
362","430
420
850",1,1,2

"",89,60,Govt. Boys Elementary School Bittee,Combined,"141060404
141060405","بٹی نمبر1
بٹی نمبر1","335
441
776","289
427
716","624
868
1492",2,1,3

"",89,61,Govt Boys Primary School Manjhir,Combined,141060402,بٹی نمبر1,"430
430","384
384","814
814",1,1,2

"",89,62,Govt. Boys Elementary School Noora PS-1,Male,"141050101
141050102
141050103
141050201
141050202","جنڈانوالہ نمبر ،1 نورا شریف
جنڈانوالہ نمبر ،1 نورا شریف
جنڈانوالہ نمبر ،1 نورا شریف
جنڈانوالہ نمبر  ،2 نورا شریف
جنڈانوالہ نمبر ،2 نورا شریف","563
478
356
243
110
1750","0
0","563
478
356
243
110
1750",3,0,3

"",89,63,Govt. Boys Elementary School Noora PS-2,Female,"141050101
141050102
141050103
141050201
141050202","جنڈانوالہ نمبر ،1 نورا شریف
جنڈانوالہ نمبر ،1 نورا شریف
جنڈانوالہ نمبر ،1 نورا شریف
جنڈانوالہ نمبر  ،2 نورا شریف
جنڈانوالہ نمبر ،2 نورا شریف","0
0","510
435
281
215
89
1530","510
435
281
215
89
1530",0,3,3

"",89,64,Govt. Boys Primary School Angra Shumali,Combined,141050203,جنڈانوالہ نمبر ،2 شہیداں شمالی، انگراجنوبی,"404
404","345
345","749
749",1,1,2

"",89,65,Govt. Boys Primary School Angra Janubi,Combined,"141050204
141050301","جنڈانوالہ نمبر ،2 شہیداں شمالی، انگراجنوبی
جنڈانوالہ نمبر ،3 شہیداں شمالی، ورکانوالہ","361
293
654","296
229
525","657
522
1179",2,1,3

"",89,66,Govt. Model Primary School Thallan Wala,Combined,"141050401
141050501
141050502","جنڈانوالہ نمبر ،4 پھلے والہ
جنڈانوالہ نمبر ،5 پھلے والہ
جنڈانوالہ نمبر ،5 شہیداں شمالی سیالانوالہ، بہاری غربی","364
299
220
883","297
226
148
671","661
525
368
1554",2,1,3

"",89,67,Govt. Boys Primary School Daina Wala,Combined,"141050402
141050403","جنڈانوالہ نمبر ،4 ڈینہ والہ، کلیرانوالہ
جنڈانوالہ نمبر ،4 پھلے والہ","296
96
392","250
74
324","546
170
716",1,1,2

"",89,68,Govt. Girls Elementary School Shaheedan,Combined,"141050503
141050504","جنڈانوالہ نمبر ،5 شہیداں شمالی سیالانوالہ، بہاری غربی
جنڈانوالہ نمبر ،5 شہیداں شمالی سیالانوالہ، بہاری غربی","528
341
869","451
311
762","979
652
1631",2,2,4

"",89,69,"Govt. (Girls) Primary School Pahoran Wala
(No. 2)",Combined,141050601,جنڈانوالہ نمبر ،6 پہوڑانوالہ، سوٹے والہ,"270
270","211
211","481
481",1,1,2

"",89,70,Govt. Boys Primary School Bahari Sharqi,Combined,"141050604
141050607
141050608
141050609","جنڈانوالہ نمبر ،6 بہاری شرقی، غربی
جنڈانوالہ نمبر ،6 بہاری شرقی، غربی
جنڈانوالہ نمبر ،6 بہاری شرقی، غربی
جنڈانوالہ نمبر ،6 بہاری شرقی، غربی","273
22
293
50
638","233
28
250
42
553","506
50
543
92
1191",2,1,3

89,71,Govt. Girls Elementary School Shahian Wala,Combined,"141050205
141050206","جنڈانوالہ نمبر  ،2 شاہیانوالہ
جنڈانوالہ نمبر  ،2 شاہیانوالہ","481
277
758","387
226
613","868
503
1371",2,1,3,

"",89,72,Govt. Boys Primary School Sameena Wala,Combined,"141050703
141050704
141050705","جنڈانوالہ نمبر ،7 سیمانوالہ
جنڈانوالہ نمبر ،7 سیمانوالہ
جنڈانوالہ نمبر ،7علی خیل، بلوچانوالہ","319
265
294
878","265
215
242
722","584
480
536
1600",2,1,3

"",89,73,Govt. Model Primary School Ali Khail,Combined,"141050706
141050707
141050708
141050709","جنڈانوالہ نمبر ،7علی خیل، ڈیرہ سلطان والہ
جنڈانوالہ نمبر ،7علی خیل، ڈیرہ سلطان والہ
جنڈانوالہ نمبر ،7علی خیل، ڈیرہ سلطان والہ
جنڈانوالہ نمبر ،7علی خیل، ڈیرہ سلطان والہ","104
138
33
75
350","88
123
27
67
305","192
261
60
142
655",1,1,2

"",89,74,Govt Boys Secondary School Fazil,Combined,"141060101
141060102","فاضل
فاضل","367
510
877","278
450
728","645
960
1605",2,1,3

"",89,75,"Govt. Boys Primary School Khushhal Khailan
Wala",Combined,"141050701
141050702","جنڈانوالہ نمبر ،7 چاہ کھیڑانوالہ
جنڈانوالہ نمبر 7","327
4
331","226
9
235","553
13
566",1,1,2

"",89,76,"Govt. Boys Elementary School Fateh Khan
Wala (Baloch Wala)",Combined,"141050602
141050603
141050605
141050606","جنڈانوالہ نمبر ،6 آہیرانوالہ، فتح خان بلوچ
جنڈانوالہ نمبر ،6 آہیرانوالہ، فتح خان بلوچ
جنڈانوالہ نمبر ،6 آہیرانوالہ، فتح خان بلوچ
جنڈانوالہ نمبر ،6 آہیرانوالہ، فتح خان بلوچ","17
266
5
378
666","43
198
13
290
544","60
464
18
668
1210",2,1,3

"",89,77,Govt. Girls High School Fazil,Combined,"141060103
141060104","فاضل
فاضل","286
374
660","279
346
625","565
720
1285",2,1,3

"",89,78,Govt. Girls Elementary School Ratri,Combined,141060203,ریتڑی,"656
656","572
572","1228
1228",2,1,3

"",89,79,Govt. Boys High School Ratri,Combined,"141060201
141060202","ریتڑی
ریتڑی","427
577
1004","317
508
825","744
1085
1829",2,2,4

"",89,80,Govt. Boys Elementary School Khasoore,Combined,"141021101
141021102
141021107","رکھ خسور
رکھ خسور
خسور","182
51
124
357","93
33
100
226","275
84
224
583",1,1,2

"",89,81,Govt.Girls Primary School Khasoor,Combined,"141021103
141021106","خسور
خسور","93
436
529","88
349
437","181
785
966",1,1,2

"",89,82,Govt. Boys High School Rakh Ghulaman,Combined,"141020901
141020902
141020903
141020904
141021001
141021002
141021003","چک نمبر 20 ایم ایل
چک نمبر 21ایم ایل
چک نمبر 22ایم ایل
چک نمبر 23ایم ایل
چک نمبر 24ایم ایل
چک نمبر 25ایم ایل
چک نمبر 26ایم ایل","42
68
137
21
70
47
202
587","35
35
102
11
60
35
159
437","77
103
239
32
130
82
361
1024",1,1,2

"",89,83,"Govt. Model School Gul Baig Wala (Kharrotan
Wala)",Combined,"141020101
141020102","ڈیلی نامدار نمبر ،1چاہ اعوان والہ گلبازوالہ
ڈیلی نامدار نمبر ،1سوہے والہ","419
267
686","332
160
492","751
427
1178",2,1,3

89,84,Govt. Girls Elementary School Daily Namdar,Combined,"141020104
141020105","ڈیلی نامدار نمبر ،1 چاندنی چوک
ڈیلی نامدار نمبر ،1ڈیلی شہر","433
302
735","299
237
536","732
539
1271",2,1,3,

"",89,85,Govt. Boys High School Daily Namdar,Combined,"141020108
141020109","ڈیلی نامدار نمبر 1 شہر
ڈیلی نامدار نمبر 1 شہر","85
657
742","58
569
627","143
1226
1369",2,1,3

"",89,86,Govt. Boys High School Daily Namdar,Combined,"141020103
141020106
141020107
141020110","ڈیلی نامدار نمبر ،1یاسین والہ
ڈیلی نامدار نمبر ،1بابری مسجد
ڈیلی نامدار نمبر ،1 عباسیانوالہ
ڈیلی نامدار نمبر 1","158
287
34
256
735","104
218
23
175
520","262
505
57
431
1255",2,1,3

"",89,87,Govt. Boys Primary School Daki,Combined,"141020201
141020202","ڈیلی نامدار نمبر ،2 ڈاکی رنگو خیل
ڈیلی نامدار نمبر ،2 ڈاکی رنگو خیل","224
272
496","176
187
363","400
459
859",1,1,2

"",89,88,Govt. Boys Primary School Daki,Combined,141020203,ڈیلی نامدار نمبر ،2 خائن والہ,"543
543","360
360","903
903",1,1,2

"",89,89,Govt. Model Primary School Patti wala,Combined,"141020301
141020302
141020303","غلاماں نمبر ،1بھٹھا وانڈھامروت
غلاماں نمبر ،1 روڈی، پٹی والہ
غلاماں نمبر ،1 روڈی، پٹی والہ","165
507
305
977","133
429
213
775","298
936
518
1752",2,2,4

"",89,90,Govt. Boys Primary School Lachman Wala,Combined,"141020304
141020401
141020402","غلاماں نمبر ،1 بھونانوالہ
غلاماں نمبر،2ذمے والہ، لچھمن والہ
غلاماں نمبر،2ذمے والہ، لچھمن والہ","162
309
434
905","141
246
325
712","303
555
759
1617",2,1,3

"",89,91,Govt. Boys High School Zammay Wala,Combined,"141020403
141020404","غلاماں نمبر،2ذمے والہ
غلاماں نمبر،2ذمے والہ، داؤدوالہ","347
436
783","253
369
622","600
805
1405",2,1,3

"",89,92,"Govt. Boys Primary School Awana Wala
Janubi",Combined,"141020405
141020406
141020407","غلاماں نمبر،2 ذمے والہ، دورٹہ
غلاماں نمبر،2نوراشرف والہ، ذمے والہ
غلاماں نمبر،2ذمے والہ، رہداریاں والہ","329
220
596
1145","224
162
403
789","553
382
999
1934",2,2,4

"",89,93,Govt. Girls Primary School Naswarian Wala,Combined,"141020408
141020409","غلاماں نمبر،2ذمے والہ
غلاماں نمبر،2 چاہ فتح خان والہ، آرائیانوالہ،اعوانانوالہ
جنوبی","391
136
527","277
93
370","668
229
897",1,1,2

"",89,94,Govt Boys Elementary School Mahloo Wala,Combined,"141020413
141021104
141021105","غلاماں نمبر،2 سوہے والہ ڈھڈیاں والہ
خسور
خسور","316
222
440
978","264
148
325
737","580
370
765
1715",2,1,3

"",89,95,"Govt. Boys Higher Secondary School Ashraf
Wala",Combined,"141020410
141020411
141020412","غلاماں نمبر،2ذمے والہ،سردارے والہ
غلاماں نمبر،2ذمے والہ،سردارے والہ
غلاماں نمبر،2 سوہے والہ","486
185
236
907","346
141
200
687","832
326
436
1594",2,1,3

"",89,96,Govt. Girls Elementary School Rodi,Male,"141020308
141020309
141020310","غلاماں نمبر ،1 روڈی، ممبراسلام دین والی
غلاماں نمبر ،1 روڈی، مسجدگلزار مدینہ
غلاماں نمبر ،1 روڈی، مسجدگلزار مدینہ","576
542
223
1341","0
0","576
542
223
1341",2,0,2

89,97,Govt. Boys Primary School Rodi,Female,"141020305
141020306
141020307","غلاماں نمبر ،1 روڈی
غلاماں نمبر ،1 روڈی
غلاماں نمبر ،1 روڈی","0
0","236
488
393
1117","236
488
393
1117",0,2,2,

"",89,98,Govt. Boys High School Rodi,Male,"141020305
141020306
141020307","غلاماں نمبر ،1 روڈی
غلاماں نمبر ،1 روڈی
غلاماں نمبر ،1 روڈی","334
582
455
1371","0
0","334
582
455
1371",2,0,2

"",89,99,"Govt.Boys Primary School Awan Wala
Shumali.",Combined,141020503,غلاماں نمبر،3 اعوانانوالہ شمالی، حسن والہ,"388
388","303
303","691
691",1,1,2

"",89,100,Govt. Boys Primary School Hassan Khan Wala,Combined,"141020501
141020502","غلاماں نمبر،3 حسن والہ
غلاماں نمبر،3 حسن والہ","783
163
946","675
145
820","1458
308
1766",2,2,4

"",89,101,Govt. Model Primary School Asghar Abad,Combined,141020505,غلاماں نمبر،3اصغرآباد، لودھراں والہ,"418
418","327
327","745
745",1,1,2

"",89,102,"Govt. Boys Primary School Mehmood Wala
No. 1",Combined,"141020601
141020603
141020604","غلاماں نمبر،4 دادؤ
غلاماں نمبر،4 محمود والہ
غلاماں نمبر،4 دادؤوالہ، محمود والہ","265
67
60
392","219
45
58
322","484
112
118
714",1,1,2

"",89,103,Govt. Boys Elementary School Dadoo Wala,Combined,141020602,غلاماں نمبر،4 دادؤ والہ، ترگڑانوالہ,"595
595","486
486","1081
1081",1,1,2

"",89,104,Govt Girls Higher Secondery School Rodi,Female,"141020308
141020309
141020310","غلاماں نمبر ،1 روڈی، ممبراسلام دین والی
غلاماں نمبر ،1 روڈی، مسجدگلزار مدینہ
غلاماں نمبر ،1 روڈی، مسجدگلزار مدینہ","0
0","472
394
178
1044","472
394
178
1044",0,2,2

"",89,105,Govt. Boys Elementary School Ghulaman,Combined,"141020605
141020606
141020607
141020609
141020610","غلاماں نمبر،4 شہر
غلاماں نمبر،4 شہر
غلاماں نمبر،4 شہر
غلاماں نمبر،4 لودھرانوالہ
غلاماں نمبر،4 چنگڑانوالہ","28
328
210
99
327
992","17
219
181
75
263
755","45
547
391
174
590
1747",2,2,4

"",89,106,Govt Girls Elementary School Ghulaman,Combined,"141020608
141020611","غلاماں نمبر،4 شہر
غلاماں نمبر،4غلاماں شہر","163
436
599","145
311
456","308
747
1055",1,1,2

"",89,107,Govt. Boys High School Jahan Wala,Combined,"141020703
141020801
141020802","غلاماں نمبر ،5 سوانسیانوالہ
غلاماں نمبر ،06 غلاماں شہر
غلاماں نمبر ،06 محمود والہ جہان والہ","113
121
344
578","94
88
288
470","207
209
632
1048",1,1,2

"",89,108,Govt. Boys Primary School Tarragran Wala,Combined,"141020504
141020701
141020702
141020803","غلاماں نمبر،3 کندیانوالہ
غلاماں نمبر ،5 کندیانوالہ
غلاماں نمبر ،5ترگڑانوالہ دادو والہ
غلاماں نمبر ،06 شہرغلاماں","193
378
142
116
829","135
278
90
59
562","328
656
232
175
1391",2,1,3

"",89,109,Govt. Boys Primary School Choori,Combined,"141010607
141010608
141010609","ہیتو نمبر 1
ہیتو نمبر ،1چوڑھی
ہیتو نمبر ،1چوڑھی","262
231
512
1005","211
184
416
811","473
415
928
1816",2,2,4

89,110,"Govt. Boys Elementary Primary School Saeed
Wala",Male,"141010601
141010602
141010603","ہیتو نمبر ،1وانڈھی قادر آباد
ہیتو نمبر ،1سعید والہ
ہیتو نمبر ،1سعید والہ","429
254
831
1514","0
0","429
254
831
1514",3,0,3,

"",89,111,Basic Health Center Saeed Wala.,Combined,"141010604
141010605
