9,"Government Girls PrimarySchool Daduana",Daduana Kuhna,156070404,-,-,,329,273,602,1,1,2
"",,Pipli Wala,156070405,-,-,,149,97,246,,,
"",,Jahan Khan,156070406,-,-,,77,43,120,,,
9 Total,,,,-,-,-,555,413,968,1,1,2
10,"Government Model PrimarySchool (Boys Campus) Dosera",Dosera,156070501,-,-,,400,266,666,2,2,4
"",,Dosera,156070502,-,-,,554,493,1047,,,
10 Total,,,,-,-,-,954,759,1713,2,2,4
11,"Government Model PrimarySchool (Girls Campus) Dosera",Dosera,156070503,-,-,,342,298,640,1,1,2
"",,Dosera,156070504,-,-,,228,179,407,,,
11 Total,,,,-,-,-,570,477,1047,1,1,2
12,"Government Boys ElementrySchool Ratta Matta (Primary",Ratta Matta Janubi,156070601,-,-,,945,0,945,2,0,2
"",,Ratta Matta Janubi,156070602,-,-,,330,0,330,,,
12 Total,,,,-,-,-,1275,0,1275,2,0,2
13,"Government Boys ElementrySchool Ratta Matta (Middle",Ratta Matta Janubi,156070601,-,-,,0,692,692,0,2,2
"",,Ratta Matta Janubi,156070602,-,-,,0,218,218,,,
13 Total,,,,-,-,-,0,910,910,0,2,2
14,"Government Girls PrimarySchool Matta",Ratta Matta Janubi,156070603,-,-,,281,171,452,1,1,2
"",,Ratta Matta Janubi,156070604,-,-,,284,200,484,,,
14 Total,,,,-,-,-,565,371,936,1,1,2
15,"Government Boys PrimarySchool Ratta Kalan",Ratta Matta Shumali,156070701,-,-,,837,557,1394,2,1,3
15 Total,,,,-,-,-,837,557,1394,2,1,3
16,"Government Girls HighSchool Ratta Kalan",Ratta Matta Shumali,156070702,-,-,,427,311,738,2,1,3
"",,Ratta Matta Shumali,156070704,-,-,,482,314,796,,,
16 Total,,,,-,-,-,909,625,1534,2,1,3
17,"Government Boys ElementrySchool Ratta Matta",Ratta Matta Shumali,156070703,-,-,,416,327,743,1,1,2
Ratta Matta Shumali,156070706,-,-,,192,170,362,,,,,
Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson theelectoral roll incase electoralarea isbifurcated","Number of voters assignedto polling station","Number of pollingbooths",,,,,,
"",,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
18,Basic Health Unit Ratta Matta,Ratta Matta Shumali,156070705,-,-,,454,389,843,2,1,3
"",,Ratta Matta Shumali,156070707,-,-,,381,244,625,,,
18 Total,,,,-,-,-,835,633,1468,2,1,3
19,"Government Boys HighSchool Shah Jewana",Shah Jewana,156070801,-,-,,1107,0,1107,3,0,3
"",,Shah Jewana,156070802,-,-,,470,0,470,,,
"",,Shah Jewana,156070803,-,-,,70,0,70,,,
19 Total,,,,-,-,-,1647,0,1647,3,0,3
20,"Government Girls HighSchool Shah Jewana",Shah Jewana,156070801,-,-,,0,999,999,0,3,3
"",,Shah Jewana,156070802,-,-,,0,414,414,,,
"",,Shah Jewana,156070803,-,-,,0,80,80,,,
20 Total,,,,-,-,-,0,1493,1493,0,3,3
21,"Government Boys High ShahJewana (Primary Portion)",Shah Jewana,156070804,-,-,,506,483,989,1,1,2
21 Total,,,,-,-,-,506,483,989,1,1,2
22,"Government Boys High ShahJewana (Primary Portion)",Shah Jewana,156070805,-,-,,458,441,899,1,1,2
22 Total,,,,-,-,-,458,441,899,1,1,2
23,"Canal Rest House PakkaBanglaw Shah Jewana",Shah Jewana,156070806,-,-,,434,0,434,2,0,2
"",,Shah Jewana,156070807,-,-,,280,0,280,,,
"",,Shah Jewana,156070808,-,-,,258,0,258,,,
23 Total,,,,-,-,-,972,0,972,2,0,2
24,"Canal Rest House PakkaBanglaw Shah Jewana",Shah Jewana,156070806,-,-,,0,363,363,0,2,2
"",,Shah Jewana,156070807,-,-,,0,224,224,,,
"",,Shah Jewana,156070808,-,-,,0,202,202,,,
24 Total,,,,-,-,-,0,789,789,0,2,2
25,"Government Boys HighSchool Ali Pur",Ali Pur,156070901,-,-,,324,0,324,3,0,3
Ali Pur,156070902,-,-,,242,0,242,,,,,
Ali Pur,156070903,-,-,,624,0,624,,,,,
Sialan Wala,156070904,-,-,,466,0,466,,,,,
Zinda Shah,156070905,-,-,,24,0,24,,,,,
Jhalar Wahab Shah,156070906,-,-,,23,0,23,,,,,
Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson theelectoral roll incase electoralarea isbifurcated","Number of voters assignedto polling station","Number of pollingbooths",,,,,,
"",,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
26,"Government Girls HighSchool Ali Pur",Ali Pur,156070901,-,-,,0,205,205,0,2,2
"",,Ali Pur,156070902,-,-,,0,179,179,,,
"",,Ali Pur,156070903,-,-,,0,460,460,,,
"",,Sialan Wala,156070904,-,-,,0,364,364,,,
"",,Zinda Shah,156070905,-,-,,0,10,10,,,
"",,Jhalar Wahab Shah,156070906,-,-,,0,20,20,,,
26 Total,,,,-,-,-,0,1238,1238,0,2,2
27,"Government Boys PrimarySchool Mongar",Mongar,156071001,-,-,,326,238,564,1,1,2
27 Total,,,,-,-,-,326,238,564,1,1,2
28,"Government Boys PrimarySchool Sher Garh",Shair Garh,156071002,-,-,,560,530,1090,1,1,2
28 Total,,,,-,-,-,560,530,1090,1,1,2
29,"Government Boys ElementrySchool Wadan",Wadan,156071101,-,-,,246,199,445,1,1,2
"",,Wadan,156071102,-,-,,268,193,461,,,
29 Total,,,,-,-,-,514,392,906,1,1,2
30,"Government Boys ElementrySchool Wadan",Wadan,156071103,-,-,,340,281,621,2,1,3
"",,Wadan,156071104,-,-,,252,192,444,,,
"",,Wadan,156071105,-,-,,197,137,334,,,
30 Total,,,,-,-,-,789,610,1399,2,1,3
31,"Government Boys PrimarySchool Abid Sttad Kot",Kot Dharaman,156071106,-,-,,464,360,824,2,2,4
"",,Kot Dharaman,156071107,-,-,,398,305,703,,,
31 Total,,,,-,-,-,862,665,1527,2,2,4
32,"Government Boys HighSchool Chund Bharwana",Chund Bharwana,156080101,-,-,,446,285,731,2,1,3
"",,Chund Bharwana,156080102,-,-,,486,188,674,,,
32 Total,,,,-,-,-,932,473,1405,2,1,3
33,"Government Boys HighSchool Chund Bharwana",Chund Bharwana,156080103,-,-,,206,348,554,2,1,3
"",,Chund Bharwana,156080109,-,-,,496,321,817,,,
33 Total,,,,-,-,-,702,669,1371,2,1,3
34,"Government Girls MiddleSchool Chund Bharwana",Chund Bharwana,156080104,-,-,,307,229,536,2,2,4
Chund Bharwana,156080105,-,-,,149,102,251,,,,,
Chund Bharwana,156080106,-,-,,469,379,848,,,,,
Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson theelectoral roll incase electoralarea isbifurcated","Number of voters assignedto polling station","Number of pollingbooths",,,,,,
"",,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
35,"Government Girls MiddleSchool Chund Bharwana",Chund Bharwana,156080110,-,-,,78,76,154,1,1,2
"",,Chund Bharwana,156080111,-,-,,105,96,201,,,
"",,Chund Bharwana,156080112,-,-,,116,102,218,,,
35 Total,,,,-,-,-,299,274,573,1,1,2
36,"Government Girls PrimarySchool Budhi Thatti",Budhi Thatti,156080107,-,-,,533,424,957,1,1,2
"",,Budhi Thatti,156080108,-,-,,149,133,282,,,
36 Total,,,,-,-,-,682,557,1239,1,1,2
37,"Government Girls PrimarySchool Chak Hamza Wala",Chak Syedan Wala,156080201,-,-,,467,380,847,1,1,2
37 Total,,,,-,-,-,467,380,847,1,1,2
38,"Government Girls PrimarySchool Chak Hamza Wala",Chak Hamza,156080204,-,-,,606,337,943,2,1,3
"",,Chak Hamza,156080205,-,-,,212,114,326,,,
38 Total,,,,-,-,-,818,451,1269,2,1,3
39,"Government Girls PrimarySchool Chak Balouchan Wala",Chak Balouchan Wala,156080202,-,-,,536,401,937,1,1,2
"",,Chak Balouchan Wala,156080203,-,-,,145,86,231,,,
39 Total,,,,-,-,-,681,487,1168,1,1,2
40,"Government Boys PrimarySchool Rasool Pur",Chak Rasool Pur,156080206,-,-,,271,175,446,1,1,2
"",,Chak Rasool Pur,156080207,-,-,,330,228,558,,,
40 Total,,,,-,-,-,601,403,1004,1,1,2
41,"Government Boys ElementrySchool Pabbar Wala",Pabbar Wala,156080301,-,-,,342,237,579,1,1,2
"",,Pabbar Wala,156080303,-,-,,101,83,184,,,
41 Total,,,,-,-,-,443,320,763,1,1,2
42,"Office Union Council PabbarWala",Pabbar Wala,156080304,-,-,,703,461,1164,2,1,3
"",,Pabbar Wala,156080305,-,-,,201,147,348,,,
42 Total,,,,-,-,-,904,608,1512,2,1,3
43,"Government Boys PrimarySchool Iqbal Nagar",Pabbar Wala,156080302,-,-,,588,465,1053,1,1,2
43 Total,,,,-,-,-,588,465,1053,1,1,2
44,"Government Boys PrimarySchool Haveli Dewan",Haveli Dewan,156080306,-,-,,605,399,1004,1,1,2
Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson theelectoral roll incase electoralarea isbifurcated","Number of voters assignedto polling station","Number of pollingbooths",,,,,,
"",,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
45,"Government Boys PrimarySchool Qutab Awan",Qutab,156080401,-,-,,543,404,947,2,1,3
"",,Qutab,156080402,-,-,,208,137,345,,,
"",,Thatti Said Barham,156080403,-,-,,148,83,231,,,
45 Total,,,,-,-,-,899,624,1523,2,1,3
46,"Government Girls PrimarySchool Onara",Onara,156080404,-,-,,545,413,958,1,1,2
46 Total,,,,-,-,-,545,413,958,1,1,2
47,"Government Boys PrimarySchool Bair Wali",Bair Wali,156080501,-,-,,344,232,576,2,1,3
"",,Bair Wali,156080502,-,-,,437,327,764,,,
47 Total,,,,-,-,-,781,559,1340,2,1,3
48,"Government Model PrimarySchool (Boys Campus)  TurbatHaji Shah",Turbat Haji Shah,156080603,-,-,,689,463,1152,1,1,2
48 Total,,,,-,-,-,689,463,1152,1,1,2
49,"Government Model PrimarySchool (Girls Campus)  Turbat",Jangal Qutab,156080504,-,-,,90,47,137,1,1,2
"",,Turbat Haji Shah,156080604,-,-,,429,239,668,,,
49 Total,,,,-,-,-,519,286,805,1,1,2
50,"Government Boys PrimarySchool Sharih",Sharinh,156080601,-,-,,559,405,964,2,2,4
"",,Sharinh,156080602,-,-,,598,397,995,,,
50 Total,,,,-,-,-,1157,802,1959,2,2,4
51,"Government Girls PrimarySchool Hissam",Hissam,156080701,-,-,,363,297,660,1,1,2
"",,Hissam,156080702,-,-,,71,46,117,,,
"",,Hissam,156080703,-,-,,93,79,172,,,
"",,Hissam,156080704,-,-,,50,39,89,,,
51 Total,,,,-,-,-,577,461,1038,1,1,2
52,"Government Girls ElemantrySchool Nawan Thatha",Hissam,156080705,-,-,,98,76,174,1,1,2
"",,Hissam,156080706,-,-,,242,213,455,,,
"",,Hissam,156080707,-,-,,166,142,308,,,
52 Total,,,,-,-,-,506,431,937,1,1,2
53,"Government Boys ElemantrySchool Kot Ahmad Yar",Mahar Wali,156080708,-,-,,571,475,1046,1,1,2
Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson theelectoral roll incase electoralarea isbifurcated","Number of voters assignedto polling station","Number of pollingbooths",,,,,,
"",,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
54,"Government Boys ElemantrySchool Kot Ahmad Yar",Mahar Wali,156080709,-,-,,290,205,495,1,1,2
"",,Mahar Wali,156080710,-,-,,177,130,307,,,
54 Total,,,,-,-,-,467,335,802,1,1,2
55,"Government Girls HighSchool Mandi Shah Jewana",Mahar Wali,156080711,-,-,,0,302,302,0,2,2
"",,Mahar Wali,156080712,-,-,,0,262,262,,,
"",,Mahar Wali,156080713,-,-,,0,273,273,,,
55 Total,,,,-,-,-,0,837,837,0,2,2
56,"Government Girls HighSchool Mandi Shah Jewana",Mahar Wali,156080711,-,-,,331,0,331,2,0,2
"",,Mahar Wali,156080712,-,-,,280,0,280,,,
"",,Mahar Wali,156080713,-,-,,370,0,370,,,
56 Total,,,,-,-,-,981,0,981,2,0,2
57,"Government Boys HigherSecondary School MandiShah Jewana",Mahar Wali,156080714,-,-,,625,510,1135,1,1,2
57 Total,,,,-,-,-,625,510,1135,1,1,2
58,"Government Girls PrimarySchool Mahar Wali",Mahar Wali,156080715,-,-,,415,287,702,2,1,3
"",,Mahar Wali,156080716,-,-,,201,183,384,,,
58 Total,,,,-,-,-,616,470,1086,2,1,3
59,"Government Girls PrimarySchool Mahar Wali",Mahar Wali,156080717,-,-,,530,388,918,1,1,2
59 Total,,,,-,-,-,530,388,918,1,1,2
60,"Government Boys PrimarySchool Ramana",Ramana,156080718,-,-,,314,272,586,2,1,3
"",,Ramana,156080719,-,-,,572,396,968,,,
60 Total,,,,-,-,-,886,668,1554,2,1,3
61,"Government Girls PrimarySchool Ghazi Abad",Ramana,156080720,-,-,,350,275,625,2,1,3
"",,Ramana,156080721,-,-,,466,398,864,,,
61 Total,,,,-,-,-,816,673,1489,2,1,3
62,"Government Girls PrimarySchool Ghazi Abad",Ramana,156080722,-,-,,542,461,1003,1,1,2
Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson theelectoral roll incase electoralarea isbifurcated","Number of voters assignedto polling station","Number of pollingbooths",,,,,,
"",,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
63,"Government Boys PrimarySchool Kangra",Kangra,156080503,-,-,,368,313,681,2,1,3
"",,Chak Doulat Khan,156080723,-,-,,210,142,352,,,
"",,Chak Doulat Khan,156080724,-,-,,219,164,383,,,
63 Total,,,,-,-,-,797,619,1416,2,1,3
64,"Government Girls ElementarySchool Kari Wala",Kari Wala,156080801,-,-,,292,213,505,2,1,3
"",,Kari Wala,156080802,-,-,,426,315,741,,,
64 Total,,,,-,-,-,718,528,1246,2,1,3
65,"Government Girls ElementarySchool Kari Wala",Kari Wala,156080803,-,-,,282,178,460,2,2,4
"",,Kari Wala,156080804,-,-,,283,213,496,,,
"",,Kari Wala,156080805,-,-,,414,280,694,,,
65 Total,,,,-,-,-,979,671,1650,2,2,4
66,"Government Boys PrimarySchool Chah Fateh Darya",Kari Wala,156080806,-,-,,524,372,896,2,1,3
"",,Kari Wala,156080807,-,-,,227,168,395,,,
66 Total,,,,-,-,-,751,540,1291,2,1,3
67,"Government Boys PrimarySchool Tahli Latif Pur",Tahli Doulat Khan,156080901,-,-,,127,109,236,2,2,4
"",,Latif Pur,156080902,-,-,,268,179,447,,,
"",,Latif Pur,156080903,-,-,,628,465,1093,,,
67 Total,,,,-,-,-,1023,753,1776,2,2,4
68,"Government Boys PrimarySchool Shah Murad",Chak Bhattian,156080904,-,-,,418,239,657,2,1,3
"",,Shah Murad,156081102,-,-,,375,232,607,,,
68 Total,,,,-,-,-,793,471,1264,2,1,3
69,"Government Boys PrimarySchool Ghorri Wala",Ghorri Wala,156081001,-,-,,465,299,764,2,1,3
"",,Kot Mohla,156081002,-,-,,163,84,247,,,
"",,Jhanda,156081003,-,-,,106,62,168,,,
69 Total,,,,-,-,-,734,445,1179,2,1,3
70,"Government Boys PrimarySchool Mahabli Sultan",Mahabli,156081101,-,-,,447,340,787,1,1,2
"",,Bhawan Viran,156081103,-,-,,112,77,189,,,
70 Total,,,,-,-,-,559,417,976,1,1,2
71,"Government Boys ElementrySchool Bhoon",Kotla Afghana,156090101,-,-,,61,44,105,1,1,2
Bhoon,156090105,-,-,,327,279,606,,,,,
Bhoon,156090106,-,-,,42,24,66,,,,,
Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson theelectoral roll incase electoralarea isbifurcated","Number of voters assignedto polling station","Number of pollingbooths",,,,,,
"",,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
72,"Government Girls HighSchool Bhoon",Bhoon,156090102,-,-,,247,199,446,1,1,2
"",,Bhoon,156090103,-,-,,217,165,382,,,
72 Total,,,,-,-,-,464,364,828,1,1,2
73,"Government Girls HighSchool Bhoon",Bhoon,156090104,-,-,,548,475,1023,1,1,2
73 Total,,,,-,-,-,548,475,1023,1,1,2
74,"Government Boys PrimarySchool Jhok Daya",Jaan Muhammad Kuhna,156090107,-,-,,37,26,63,2,2,4
"",,Jhok Daya,156090108,-,-,,391,296,687,,,
"",,Bonga Tatari,156090109,-,-,,231,216,447,,,
"",,Jan Muhammad Nau,156090602,-,-,,278,205,483,,,
74 Total,,,,-,-,-,937,743,1680,2,2,4
75,"Government Boys PrimarySchool Bindi Haidan",Ghous Pur,156090201,-,-,,238,165,403,2,2,4
"",,Thatti Panju,156090202,-,-,,77,48,125,,,
"",,Bindi Haidan,156090205,-,-,,141,101,242,,,
"",,Bindi Haidan,156090206,-,-,,196,149,345,,,
"",,Kot Khushal,156090207,-,-,,183,139,322,,,
"",,Kot Khushal,156090208,-,-,,50,39,89,,,
75 Total,,,,-,-,-,885,641,1526,2,2,4
76,"Government Boys PrimarySchool Attuana",Attuana,156090203,-,-,,214,181,395,1,1,2
"",,Attuana,156090204,-,-,,256,210,466,,,
76 Total,,,,-,-,-,470,391,861,1,1,2
77,"Government Girls PrimarySchool Duaba",Duaba,156090301,-,-,,763,529,1292,1,1,2
77 Total,,,,-,-,-,763,529,1292,1,1,2
78,"Government Boys PrimarySchool Haidan",Haidan,156090302,-,-,,590,456,1046,2,1,3
"",,Haidan,156090303,-,-,,286,231,517,,,
78 Total,,,,-,-,-,876,687,1563,2,1,3
79,"Government Girls PrimarySchool Boori",Boori,156090401,-,-,,225,201,426,2,1,3
"",,Boori,156090402,-,-,,459,382,841,,,
79 Total,,,,-,-,-,684,583,1267,2,1,3
80,"Government Boys PrimarySchool Dhorri Wala",Dhorri Wala,156090403,-,-,,572,461,1033,2,1,3
Jhangir Pur,156090406,-,-,,99,74,173,,,,,
Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson theelectoral roll incase electoralarea isbifurcated","Number of voters assignedto polling station","Number of pollingbooths",,,,,,
"",,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
81,"Government Girls PrimarySchool Pattai Illan Wali",Bhutta,156090404,-,-,,44,27,71,2,1,3
"",,Bhokani,156090405,-,-,,100,53,153,,,
"",,Patai Illan Wali,156090407,-,-,,550,403,953,,,
81 Total,,,,-,-,-,694,483,1177,2,1,3
82,"Government Boys HighSchool Long Shumali",Long Shumali,156090501,-,-,,612,0,612,2,0,2
"",,Aqil Pur,156090507,-,-,,577,0,577,,,
82 Total,,,,-,-,-,1189,0,1189,2,0,2
83,"Government Boys HighSchool Long Shumali",Long Shumali,156090501,-,-,,0,437,437,0,2,2
"",,Aqil Pur,156090507,-,-,,0,430,430,,,
83 Total,,,,-,-,-,0,867,867,0,2,2
84,"Government Girls PrimaryZafar Colony",Dholka,156090502,-,-,,426,304,730,2,2,4
"",,Dholka,156090503,-,-,,401,335,736,,,
84 Total,,,,-,-,-,827,639,1466,2,2,4
85,"Government Girls PrimarySchool Koolar",Koolar,156090508,-,-,,479,356,835,1,1,2
85 Total,,,,-,-,-,479,356,835,1,1,2
86,"Government Girls ElementarySchool Dholka Colony",Dholka,156090504,-,-,,254,0,254,2,0,2
"",,Dholka,156090505,-,-,,332,0,332,,,
"",,Dholka,156090506,-,-,,394,0,394,,,
86 Total,,,,-,-,-,980,0,980,2,0,2
87,"Government Girls ElementarySchool Dholka Colony",Dholka,156090504,-,-,,0,198,198,0,2,2
"",,Dholka,156090505,-,-,,0,258,258,,,
"",,Dholka,156090506,-,-,,0,324,324,,,
87 Total,,,,-,-,-,0,780,780,0,2,2
88,"Government Boys PrimarySchool Nidha Ghar",Mari Khokhran,156090601,-,-,,131,83,214,2,2,4
"",,Nidha Ghar,156090603,-,-,,295,239,534,,,
"",,Nidha Ghar,156090604,-,-,,405,303,708,,,
88 Total,,,,-,-,-,831,625,1456,2,2,4
89,"Government Boys HighSchool Kot Essa Shah",Kot Essa Shah,156090701,-,-,,665,457,1122,1,1,2
Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson theelectoral roll incase electoralarea isbifurcated","Number of voters assignedto polling station","Number of pollingbooths",,,,,,
"",,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
90,"Government Boys HighSchool (Primary Portion) KotEssa Shah",Kot Essa Shah,156090702,-,-,,558,444,1002,1,1,2
90 Total,,,,-,-,-,558,444,1002,1,1,2
91,"Government Girls HighSchool Kot Essa Shah",Kot Essa Shah,156090703,-,-,,372,285,657,2,1,3
"",,Kot Essa Shah,156090704,-,-,,293,270,563,,,
91 Total,,,,-,-,-,665,555,1220,2,1,3
92,"Government Girls PrimarySchool Sargana",Sargana,156090705,-,-,,431,339,770,1,1,2
"",,Sargana,156090706,-,-,,111,76,187,,,
"",,Qureshi,156090709,-,-,,39,34,73,,,
92 Total,,,,-,-,-,581,449,1030,1,1,2
93,"Government Girls PrimarySchool Dhokar",Dhokar,156090707,-,-,,385,317,702,1,1,2
"",,Jhok Usman,156090708,-,-,,288,217,505,,,
93 Total,,,,-,-,-,673,534,1207,1,1,2
94,"Government Boys PrimarySchool Piro",Piro,156090801,-,-,,621,492,1113,1,1,2
94 Total,,,,-,-,-,621,492,1113,1,1,2
95,"Government Boys ElementrySchool Bhairo",Bhairo,156090803,-,-,,371,326,697,1,1,2
95 Total,,,,-,-,-,371,326,697,1,1,2
96,"Government Boys ElementrySchool Bhairo",Bhairo,156090804,-,-,,560,453,1013,1,1,2
96 Total,,,,-,-,-,560,453,1013,1,1,2
97,"Government Girls ElementrySchool Bhairo",Bhairo,156090802,-,-,,436,335,771,1,1,2
97 Total,,,,-,-,-,436,335,771,1,1,2
98,"Government Girls ElementrySchool Bhairo",Bhairo,156090805,-,-,,464,342,806,2,1,3
"",,Bhairo,156090806,-,-,,227,160,387,,,
98 Total,,,,-,-,-,691,502,1193,2,1,3
99,"Government Boys MiddleSchool Kalera",Tibba Dhup Sari,156100101,-,-,,442,278,720,2,1,3
Kalera,156100601,-,-,,491,379,870,,,,,
Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson theelectoral roll incase electoralarea isbifurcated","Number of voters assignedto polling station","Number of pollingbooths",,,,,,
"",,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
100,"Government Girls PrimarySchool Sabbar",Sabbar,156100103,-,-,,439,318,757,1,1,2
100 Total,,,,-,-,-,439,318,757,1,1,2
101,"Government Boys PrimarySchool Laghari",Mal Sultan,156100102,-,-,,133,108,241,1,1,2
"",,Laghari,156100104,-,-,,418,331,749,,,
"",,Bhagat Ram Jus,156100105,-,-,,132,90,222,,,
101 Total,,,,-,-,-,683,529,1212,1,1,2
102,"Government Boys HighSchool Lau",Lau,156100201,-,-,,305,251,556,1,1,2
"",,Lau,156100202,-,-,,79,66,145,,,
"",,Lau,156100203,-,-,,279,256,535,,,
102 Total,,,,-,-,-,663,573,1236,1,1,2
103,"Government Girls PrimarySchool Bindi Lal Mureed",Subhaga,156100204,-,-,,101,68,169,1,1,2
"",,Bindi Lal Mureed,156100205,-,-,,98,72,170,,,
"",,Bindi Lal Mureed,156100206,-,-,,165,106,271,,,
"",,Bindi Lal Mureed,156100207,-,-,,194,144,338,,,
"",,Thatta Kameera,156100208,-,-,,112,88,200,,,
103 Total,,,,-,-,-,670,478,1148,1,1,2
104,"Government Boys PrimarySchool Douka Balouchan",Doka Balouchan,156100301,-,-,,298,183,481,2,2,4
"",,Doka Balouchan,156100302,-,-,,314,214,528,,,
"",,Douka Balouchan,156100303,-,-,,168,79,247,,,
"",,Douka Balouchan,156100304,-,-,,28,19,47,,,
"",,Chandia Faraz,156100306,-,-,,181,113,294,,,
104 Total,,,,-,-,-,989,608,1597,2,2,4
105,"Government Boys PrimarySchool Bhamb",Bhamb,156100305,-,-,,571,412,983,2,2,4
"",,Moonda,156100307,-,-,,493,342,835,,,
105 Total,,,,-,-,-,1064,754,1818,2,2,4
106,"Government Girls HighSchool Chatta",Chatta,156100401,-,-,,394,0,394,2,0,2
"",,Chatta,156100402,-,-,,514,0,514,,,
106 Total,,,,-,-,-,908,0,908,2,0,2
107,"Government Boys PrimarySchool Jamal Wala",Chatta,156100401,-,-,,0,305,305,0,2,2
Chatta,156100402,-,-,,0,391,391,,,,,
Sr. No.,"No. and Name of PollingStation",In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson theelectoral roll incase electoralarea isbifurcated","Number of voters assignedto polling station","Number of pollingbooths",,,,,,
"",,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
108,"Government Boys PrimarySchool Mazari",Mazari,156100504,-,-,,142,131,273,2,1,3
"",,Mazari,156100505,-,-,,520,375,895,,,
108 Total,,,,-,-,-,662,506,1168,2,1,3
109,"Government Boys HighSchool (Middle Portion)Chatta",Chatta,156100403,-,-,,308,224,532,1,1,2
"",,Chatta Dilawari,156100404,-,-,,4,1,5,,,
"",,Denar,156100405,-,-,,158,113,271,,,
