16,,,"Islam Nagar Sui GasRoad",185030401,,,342,342,Female,,,,
16,,,"Gulzar Colony ChowkIslam Nagar",185030402,,,222,222,Female,,,,
16,,,Aziz Colony,185030201,,,461,461,Female,,,,
16 Total,,,,,,,0,1345,1345,0,3,3,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"","Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
17,"Astro Girls High School, Main Bazar MuhammadiMasjid, Lajpat Road. ()",,,"Aziz Colony Gali No.16-17",185030203,,691,,691,3,0,3,Male
17,,,"Itifaq Colony LajpatNagar",185030403,,514,,514,Male,,,,
17 Total,,,,,,,1205,0,1205,3,0,3,
18,"Astro Girls High School, Main Bazar MuhammadiMasjid, Lajpat Road. ()",,,"Itifaq Colony LajpatNagar",185030403,,,425,425,0,2,2,Female
18,,,"Aziz Colony Gali No.16-17",185030203,,,587,587,Female,,,,
18 Total,,,,,,,0,1012,1012,0,2,2,
19,"Millat Modle High School, Mustafa Street 34Islamia Colony Wandala Road, Shahdara Lahore.()",,,"Aziz Colony WandalaRoad",185030101,,776,,776,4,0,4,Male
19,,,"Aziz Colony IslamaiColony",185030102,,364,,364,Male,,,,
19,,,Wandala Road,185030103,,743,,743,Male,,,,
19 Total,,,,,,,1883,0,1883,4,0,4,
20,"New Muslim Modle School Near Masjid AnayatGhoshia Near Aziz Colony Shahdara Lahore  ()",,,Wandala Road,185030103,,,653,653,0,3,3,Female
20,,,"Aziz Colony WandalaRoad",185030101,,,606,606,Female,,,,
20,,,"Aziz Colony IslamaiColony",185030102,,,270,270,Female,,,,
20 Total,,,,,,,0,1529,1529,0,3,3,
21,"Millat Modle High School, Mustafa Street 34Islamia Colony Wandala Road, Shahdara Lahore.()",,,"Aziz Colony Gali No.21-25",185030104,,418,323,741,2,2,4,Combined
21,,,"Aziz Colony WandalaRoad Gali No.22",185030204,,507,431,938,Combined,,,,
21 Total,,,,,,,925,754,1679,2,2,4,
22,"Quest Modle High School Sir Shahab ParkShahdara Lahore  ()",,,Aziz Colony Islam Nagar,185030404,,719,,719,3,0,3,Male
22,,,"Aziz Colony ItifaqColony",185030405,,635,,635,Male,,,,
22 Total,,,,,,,1354,0,1354,3,0,3,
23,"Quest Modle High School Sir Shahab ParkShahdara Lahore                     ()",,,"Aziz Colony ItifaqColony",185030405,,,529,529,0,3,3,Female
23,,,Aziz Colony Islam Nagar,185030404,,,568,568,Female,,,,
23 Total,,,,,,,0,1097,1097,0,3,3,
24,"Ravi Cresent Modle High School St# 09, LajpatRoad Shahdara Lahore   ()",,,"Gali No.7,8,11,12 SarShahab Park",185030406,,154,,154,3,0,3,Male
24,,,"Gali No.7,8,11,12 SarShahab Park",185030408,,705,,705,Male,,,,
24,,,Lajpat Road Shahdara,185030303,,650,,650,Male,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
25,"Ravi cresent Modle High School st# 09, lajpatRoad Shahdara Lahore  ()",,,Lajpat Road Shahdara,185030303,,,539,539,0,3,3,Female
25,,,"Gali No.7,8,11,12 SarShahab Park",185030406,,,118,118,Female,,,,
25,,,"Gali No.7,8,11,12 SarShahab Park",185030408,,,587,587,Female,,,,
25 Total,,,,,,,0,1244,1244,0,3,3,
26,"City District Govt.. High School Boys, Islam NagarShahdara Lahore (Permanent) ()",,,Gali No.3-7 Lajpat Nagar,185030407,,633,,633,4,0,4,Male
26,,,Shahab Park Aziz Colony,185030301,,332,,332,Male,,,,
26,,,"Shahab park WandalaRoad",185030302,,551,,551,Male,,,,
26 Total,,,,,,,1516,0,1516,4,0,4,
27,"CDG Girls Middle School, Islam Nagar Shahdara ()",,,Gali No.3-7 Lajpat Nagar,185030407,,,494,494,0,3,3,Female
27,,,Shahab Park Aziz Colony,185030301,,,270,270,Female,,,,
27,,,"Shahab park WandalaRoad",185030302,,,521,521,Female,,,,
27 Total,,,,,,,0,1285,1285,0,3,3,
28,"Nusrat Modle School Sui-Gas Road, nearMuhammadi Chowk, Shahdara Lahore. ()",,,"Rasool Nagar Wandalaroad",185030304,,357,,357,3,0,3,Male
28,,,Dolat Khan Nagar,185030305,,586,,586,Male,,,,
28,,,"Rasool Nagar DolatKhan Road",185030306,,465,,465,Male,,,,
28 Total,,,,,,,1408,0,1408,3,0,3,
29,"Nusrat Modle School Sui-Gas Road, nearMuhammadi Chowk, Shahdara Lahore. ()",,,"Rasool Nagar Wandalaroad",185030304,,,312,312,0,3,3,Female
29,,,"Rasool Nagar DolatKhan Road",185030306,,,404,404,Female,,,,
29,,,Dolat Khan Nagar,185030305,,,525,525,Female,,,,
29 Total,,,,,,,0,1241,1241,0,3,3,
30,"Al-Suffa Foundation School English Ilam DinColony Shahdara Lahore. ()",,,"ilam Din Colony KasarTown",185040401,,264,,264,4,0,4,Male
30,,,"ilam Din Colony KasarTown",185040407,,529,,529,Male,,,,
30,,,Allama Iqbal Colony,185040402,,983,,983,Male,,,,
30 Total,,,,,,,1776,0,1776,4,0,4,
31,"Al-Suffa Foundation School English Ilam DinColony Shahdara Lahore. ()",,,"ilam Din Colony KasarTown",185040401,,,93,93,0,3,3,Female
31,,,"ilam Din Colony KasarTown",185040407,,,508,508,Female,,,,
31,,,Allama Iqbal Colony,185040402,,,805,805,Female,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
32,"CDG Primary School Machis Factory, Lahore ()",,,Allama Iqbal Colony,185040403,,1,2,3,2,2,4,Combined
32,,,Allama Iqbal Colony,185040408,,815,647,1462,Combined,,,,
32 Total,,,,,,,816,649,1465,2,2,4,
33,"City District Govt.Girls High School, G.T.Road,Shahdara Lahore. (Permanent) ()",,,Layrics Colony,185040404,,259,,259,3,0,3,Male
33,,,Layrics Colony,185040406,,976,,976,Male,,,,
33 Total,,,,,,,1235,0,1235,3,0,3,
34,"City District Govt..Girls High School, G.T.Road,Shahdara Lahore. (Permanent) ()",,,Gareeb Nagar railway,185040405,,,356,356,0,3,3,Female
34,,,Layrics Colony,185040404,,,313,313,Female,,,,
34,,,Layrics Colony,185040406,,,769,769,Female,,,,
34 Total,,,,,,,0,1438,1438,0,3,3,
35,"Behbood Association Primary School, Islampura,Shahdara ()",,,Islamia Colony Shahdara,185040301,,655,,655,2,0,2,Male
35,,,Gali No.9-15 islamapura,185040202,,335,,335,Male,,,,
35 Total,,,,,,,990,0,990,2,0,2,
36,"City District Govt..Girls High School, G.T.Road,Shahdara Lahore. (Permanent) ()",,,"Gali No1-8,3 Islampura",185040201,,708,,708,3,0,3,Male
36,,,Gareeb Nagar railway,185040405,,507,,507,Male,,,,
36 Total,,,,,,,1215,0,1215,3,0,3,
37,"City District Govt..Girls High School, G.T.Road,Shahdara Lahore. (Permanent) ()",,,Islamia Colony Shahdara,185040301,,,568,568,0,3,3,Female
37,,,Gali No.9-15 islamapura,185040202,,,297,297,Female,,,,
37,,,"Gali No1-8,3 Islampura",185040201,,,570,570,Female,,,,
37 Total,,,,,,,0,1435,1435,0,3,3,
38,"Govt. Boys High School, Street No.25, JinnahRoad, Islampura,  Shahdara Lahore.  (Permanent)()",,,Gali No.70-80 Islampura,185040203,,744,628,1372,2,2,4,Combined
38 Total,,,,,,,744,628,1372,2,2,4,
39,"Govt Collage of Technology Potry Tevta MatchFactory Shahdara Lahore Lahore ()",,,"Gali No. 39-55Islampura",185040205,,656,,656,4,0,4,Male
39,,,Choudary Colony,185040304,,408,,408,Male,,,,
39,,,Machis Factory,185040204,,595,,595,Male,,,,
39 Total,,,,,,,1659,0,1659,4,0,4,
40,"Govt collage of technology potry tevta matchfactory Shahdara Lahore ()",,,Machis Factory,185040204,,,559,559,0,3,3,Female
40,,,"Gali No. 39-55Islampura",185040205,,,541,541,Female,,,,
40,,,Choudary Colony,185040304,,,325,325,Female,,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",41,"Govt. Boys High School, Street No.25, JinnahRoad, Islampura,  Shahdara Lahore.  (Permanent)()",,,New Islamia Colony,185040302,,435,,435,4,0,4,Male
"",41,,,Choudary Colony,185040303,,444,,444,Male,,,,
"",41,,,"Islam Pura MachisFactory",185040101,,769,,769,Male,,,,
"",41,,,Mugal Park G.T Road,185040102,,140,,140,Male,,,,
"",41 Total,,,,,,,1788,0,1788,4,0,4,
"",42,"Govt. Boys High School, Street No.25, JinnahRoad, Islampura,  Shahdara Lahore.  (Permanent)()",,,New Islamia Colony,185040302,,,297,297,0,3,3,Female
"",42,,,Choudary Colony,185040303,,,355,355,Female,,,,
"",42,,,"Islam Pura MachisFactory",185040101,,,585,585,Female,,,,
"",42,,,Mugal Park G.T Road,185040102,,,96,96,Female,,,,
"",42 Total,,,,,,,0,1333,1333,0,3,3,
"",43,"CDG Middle School Barkat Town ShahdaraLahore  ()",,,Ali Park,185040108,,2522,,2522,4,0,4,Male
"",43 Total,,,,,,,2522,0,2522,4,0,4,
"",44,"CDG Middle School barkat town Shahdara Lahore()",,,Ali Park,185040105,,211,,211,2,0,2,Male
"",44,,,Ali Park,185040109,,0,,0,Male,,,,
"",44 Total,,,,,,,211,0,211,2,0,2,
"",45,"Ideal Public School St# 10, Barkat Town ShahdaraLahore Lahore ()",,,Ali Park,185040105,,,192,192,0,4,4,Female
"",45,,,Ali Park,185040108,,,1747,1747,Female,,,,
"",45,,,Ali Park,185040109,,,0,0,Female,,,,
"",45 Total,,,,,,,0,1939,1939,0,4,4,
"",46,"Govt. Boys Primary School School WeavingFactory, Shahdara Lahore.  (Permanent)             ()",,,Faisal park,185040104,,1543,,1543,3,0,3,Male
"",46,,,Faisal park,185040107,,0,,0,Male,,,,
"",46 Total,,,,,,,1543,0,1543,3,0,3,
"",47,"Govt..Boys Primary School School, WeavingFactory, Shahdara Lahore.  (Permanent) ()",,,Faisal park,185040104,,,1235,1235,0,3,3,Female
"",47,,,Faisal park,185040107,,,0,0,Female,,,,
"",47 Total,,,,,,,0,1235,1235,0,3,3,
"",48,"Govt. .Boys Primary School School, WeavingFactory, Shahdara Lahore.   (Permanent)()",,,Ghosia Street Faisal Park,185040103,,,674,674,0,2,2,Female
"",48,,,Ghosia Street Faisal Park,185040106,,,151,151,Female,,,,
"",48 Total,,,,,,,0,825,825,0,2,2,
"",49,"CDG Girls Midle School, Machis Factory ()",,,Ghosia Street Faisal Park,185040103,,867,,867,3,0,3,Male
"",49,,,Ghosia Street Faisal Park,185040106,,221,,221,Male,,,,
"",49 Total,,,,,,,1088,0,1088,3,0,3,
"",50,"City District Govt. High School, Haji Kot, KalaKhatai Road, Shahadra, Lahore ()",,,Main Bazar Haji Kot,185050301,,435,300,735,2,2,4,Combined
"",50,,,"Kala Khatai Road HajiKot",185050302,,533,397,930,Combined,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
51,"City District Govt. High School, Haji Kot, KalaKhatai Road, Shahadra, Lahore ()",,,"Choudary Street HajiKot",185050303,,417,297,714,2,2,4,Combined
51,,,Zafar Street Haji Kot,185050304,,640,491,1131,Combined,,,,
51 Total,,,,,,,1057,788,1845,2,2,4,
52,"Al-Farooq High School, Javaid Park, Kala KhataiRoad, Shahara ()",,,"Javed Park Gali No.7,8",185050202,,260,161,421,2,2,4,Combined
52,,,"Javed Park Kala KhataiRoad",185050201,,585,405,990,Combined,,,,
52 Total,,,,,,,845,566,1411,2,2,4,
53,"Govt. Girls Primary School Javaid Par, Kala KhataiRoad, Shahdara Lahore, Lahore.  (Permanent) ()",,,"Javed park Gali No.1,3",185050203,,418,319,737,2,2,4,Combined
53,,,Javed Park Gali no.5,185050204,,451,352,803,Combined,,,,
53 Total,,,,,,,869,671,1540,2,2,4,
54,"Govt. Girls Primary School Muslim Colony AliPark Shahdara Lahore Lahore ()",,,"Qabristan Road BarkatTown",185050405,,293,,293,2,0,2,Male
54,,,"Qabristan Road BarkatTown",185050406,,52,,52,Male,,,,
54,,,"Barkat Town SundarStreet",185050404,,481,,481,Male,,,,
54 Total,,,,,,,826,0,826,2,0,2,
55,"Govt. Girls Primary School Muslim Colony AliPark Shahdara Lahore ()",,,"Ghosia Street BarkatTown",185050402,,756,,756,4,0,4,Male
55,,,"Barkat Town Gali No.11-14 Randhawa Street",185050401,,508,,508,Male,,,,
55,,,"Barkat Town PhatakNo.14,15",185050403,,384,,384,Male,,,,
55 Total,,,,,,,1648,0,1648,4,0,4,
56,"Shah Millat School System, Ali Park Shahdara,Lahore ()",,,"Barkat Town Gali No.11-14 Randhawa Street",185050401,,,352,352,0,4,4,Female
56,,,"Barkat Town SundarStreet",185050404,,,349,349,Female,,,,
56,,,"Qabristan Road BarkatTown",185050405,,,219,219,Female,,,,
56,,,"Qabristan Road BarkatTown",185050406,,,40,40,Female,,,,
56,,,"Ghosia Street BarkatTown",185050402,,,569,569,Female,,,,
56,,,"Barkat Town PhatakNo.14,15",185050403,,,306,306,Female,,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",57,"Federal Urdu University of Arts, Science andTechnology, Nain Sukh, Shahdara ()",,,Al Jannat Road Sagian,185080201,,467,,467,4,0,4,Male
"",57,,,Nai Abadi Sagian,185080202,,488,,488,Male,,,,
"",57,,,Main Bazar Nain Sukh,185080203,,674,,674,Male,,,,
"",57 Total,,,,,,,1629,0,1629,4,0,4,
"",58,"Govt. Public Modle High School for Boys, NainSukh, Shahdara Lahore.  (Permanent) ()",,,Main Bazar Nain Sukh,185080203,,,540,540,0,4,4,Female
"",58,,,Nai Abadi Sagian,185080202,,,370,370,Female,,,,
"",58,,,Al Jannat Road Sagian,185080201,,,371,371,Female,,,,
"",58,,,Chara Chowk Nain Sukh,185080204,,,333,333,Female,,,,
"",58 Total,,,,,,,0,1614,1614,0,4,4,
"",59,"Government Girls  Primary School Barkat Town,Sagian ()",,,Chara Chowk Nain Sukh,185080204,,377,,377,2,0,2,Male
"",59,,,"Bismillah Chowk NainSukh",185080101,,571,,571,Male,,,,
"",59 Total,,,,,,,948,0,948,2,0,2,
"",60,"Govt. Public Modle High School for Boys NainSukh, Shahdara Lahore, Lahore.  (Permanent) ()",,,Sofia Abad Nain Sukh,185080102,,303,,303,3,0,3,Male
"",60,,,Sagian Chowk,185080104,,436,,436,Male,,,,
"",60,,,Aziz Chowk,185080103,,531,,531,Male,,,,
"",60 Total,,,,,,,1270,0,1270,3,0,3,
"",61,"Govt. Public Modle High School for Boys NainSukh, Shahdara Lahore, Lahore.  (Permanent) ()",,,Itfaq Chowk,185080106,,228,,228,4,0,4,Male
"",61,,,Main Bazar Sagian,185080105,,455,,455,Male,,,,
"",61,,,"Mohalla Ghosia NainSukh",185080205,,745,,745,Male,,,,
"",61,,,Mohalla Ghosia,185080206,,375,,375,Male,,,,
"",61 Total,,,,,,,1803,0,1803,4,0,4,
"",62,"Govt Girls High School Nain Sukh, Al Jant RoadShahdara ()",,,Main Bazar Sagian,185080105,,,330,330,0,3,3,Female
"",62,,,Itfaq Chowk,185080106,,,153,153,Female,,,,
"",62,,,"Mohalla Ghosia NainSukh",185080205,,,536,536,Female,,,,
"",62,,,Mohalla Ghosia,185080206,,,276,276,Female,,,,
"",62 Total,,,,,,,0,1295,1295,0,3,3,
"",63,"Govt Girls High School Nain Sukh, Al Jant RoadShahdara ()",,,"Bismillah Chowk NainSukh",185080101,,,436,436,0,3,3,Female
"",63,,,Sofia Abad Nain Sukh,185080102,,,230,230,Female,,,,
"",63,,,Aziz Chowk,185080103,,,384,384,Female,,,,
"",63,,,Sagian Chowk,185080104,,,341,341,Female,,,,
"",63 Total,,,,,,,0,1391,1391,0,3,3,
"",64,"City District Govt. High School for Boys , MerajPark, Shahdara Lahore. (Permanent) ()",,,Ali Block,185080701,,818,,818,3,0,3,Male
"",64,,,Tariq Colony,185080704,,508,,508,Male,,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",65,"Govt. Girls P/S, Barkat Town ()",,,Abu Bakkar Block,185080702,,534,461,995,2,1,3,Combined
"",65 Total,,,,,,,534,461,995,2,1,3,
"",66,"City District Govt.. High School for Boys , MerajPark, Shahdara Lahore. (Permanent) ()",,,Ali Block,185080701,,,631,631,0,2,2,Female
"",66,,,Tariq Colony,185080704,,,425,425,Female,,,,
"",66 Total,,,,,,,0,1056,1056,0,2,2,
"",67,"City District Govt.. High School for Boys , MerajPark, Shahdara Lahore. (Permanent) ()",,,Ilam Din Block,185080706,,,350,350,0,2,2,Female
"",67,,,Ilam Din Block,185080705,,,578,578,Female,,,,
"",67 Total,,,,,,,0,928,928,0,2,2,
"",68,"Govt. Girls P/S, Barkat Town ()",,,Ilam Din Block,185080706,,476,,476,3,0,3,Male
"",68,,,Ilam Din Block,185080705,,712,,712,Male,,,,
"",68 Total,,,,,,,1188,0,1188,3,0,3,
"",69,"XEN Office Farukhabad Sub Division Wasa 25 No.Stop Shahdara Lahore ()",,,Deray Deendara'n,185080802,,535,352,887,2,2,4,Combined
"",69,,,"Ahata Sheikh GhulamMuhammad",185080801,,420,283,703,Combined,,,,
"",69 Total,,,,,,,955,635,1590,2,2,4,
"",70,"XEN Office Farukhabad Sub Division Wasa 25 No.Stop Shahdara Lahore ()",,,Shama Colony,185080803,,667,576,1243,2,2,4,Combined
"",70,,,"Mohalla Jafari MarajPark",185080703,,284,216,500,Combined,,,,
"",70,,,"Mohalla Jafari MarajPark",185080708,,0,0,0,Combined,,,,
"",70 Total,,,,,,,951,792,1743,2,2,4,
"",71,"Sui Gas Office Chowk BegumKot ShahdaraLahore  ()",,,Cha Cheembay wala,185080302,,794,,794,4,0,4,Male
"",71,,,Cha Cheembay wala,185080303,,456,,456,Male,,,,
"",71,,,Shoukat Colony,185080606,,17,,17,Male,,,,
"",71,,,Jalal Park Begum Kot,185080304,,226,,226,Male,,,,
"",71 Total,,,,,,,1493,0,1493,4,0,4,
"",72,"Sui Gas Office Chowk BegumKot ShahdaraLahore  ()",,,Cha Cheembay wala,185080302,,,518,518,0,2,2,Female
"",72,,,Cha Cheembay wala,185080303,,,270,270,Female,,,,
"",72,,,Jalal Park Begum Kot,185080304,,,158,158,Female,,,,
"",72,,,Shoukat Colony,185080606,,,17,17,Female,,,,
"",72 Total,,,,,,,0,963,963,0,2,2,
"",73,"CDG Dispensary, Begum Kot, Shahdara Lahore ()",,,"Cha Cheembay walaBegum Kot",185080301,,758,,758,4,0,4,Male
"",73,,,Mohalla Ghoraiya,185080603,,724,,724,Male,,,,
"",73 Total,,,,,,,1482,0,1482,4,0,4,
"",74,"Fatima Memorial Dispensor, Nain Sukh,Shahdrah, Lahore ()",,,Mohalla Peera'n,185080604,,147,117,264,1,1,2,Combined
"",74,,,Mohalla Peera'n,185080707,,326,278,604,Combined,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
75,"CDG Dispensary, Begum Kot, Shahdara Lahore ()",,,"Cha Cheembay walaBegum Kot",185080301,,,535,535,0,2,2,Female
75,,,Mohalla Ghoraiya,185080603,,,529,529,Female,,,,
75 Total,,,,,,,0,1064,1064,0,2,2,
76,"Campus of Education Shoukat Colony,BegumKot, Shahdara Lahore. ()",,,Main Bazar Farkh Abad,185080406,,695,453,1148,2,1,3,Combined
76 Total,,,,,,,695,453,1148,2,1,3,
77,"CDG Boys Middle School, Farakh Abad, BaradariRoad, Shahdara, Lahore ()",,,"Farkh Abad MasoomShah Road",185080401,,698,,698,4,0,4,Male
77,,,"Farkh Abad Barah DariRoad",185080402,,787,,787,Male,,,,
77 Total,,,,,,,1485,0,1485,4,0,4,
78,"CDG Boys Middle School, Farakh Abad, BaradariRoad, Shahdara, Lahore ()",,,"Farkh Abad MasoomShah Road",185080401,,,547,547,0,3,3,Female
78,,,"Farkh Abad Barah DariRoad",185080402,,,529,529,Female,,,,
78 Total,,,,,,,0,1076,1076,0,3,3,
79,"CDG Boys Middle School, Farakh Abad, BaradariRoad, Shahdara, Lahore ()",,,Farkh Abad Begum Kot,185080403,,721,,721,4,0,4,Male
79,,,Masoom Shah Road,185080404,,420,,420,Male,,,,
79,,,Farkh Abad,185080405,,584,,584,Male,,,,
79 Total,,,,,,,1725,0,1725,4,0,4,
80,"CDG Boys Middle School, Farakh Abad, BaradariRoad, Shahdara, Lahore ()",,,Farkh Abad Begum Kot,185080403,,,498,498,0,3,3,Female
80,,,Masoom Shah Road,185080404,,,315,315,Female,,,,
80,,,Farkh Abad,185080405,,,427,427,Female,,,,
80 Total,,,,,,,0,1240,1240,0,3,3,
