S.No.,No. and Name of Polling Station,"In case of rural area","In case of urban area","S.No. of voters on the electoral roll in case electoral area is bifurcated","Male Voters","Female Voters","Total Voters","Male Booths","Female Booths","Total Booths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
156 Total,,,,,,,0,968,968,,,
157,"Boys  High School82/6 -R         (Male)",-,-,82/6 -R,208091602,-,910,0,910,2,0,2
157,,-,-,82/6 -R,208091605,-,255,0,255,,,
157 Total,,,,,,,1165,0,1165,,,
158,"Boys  High School   82/6 -R(Male)",-,-,82/6 -R,208091603,-,561,0,561,2,0,2
158,,-,-,82/6 -R,208091604,-,49,0,49,,,
158 Total,,,,,,,610,0,610,,,
159,"Boys  High School School82/6 -R         (Male)",-,-,82/6 -R,208091502,-,608,0,608,2,0,2
159,,-,-,82/6 -R,208091503,-,270,0,270,,,
159,,-,-,82/6 -R,208091504,-,63,0,63,,,
159,,-,-,82/6 -R,208091505,-,8,0,8,,,
159 Total,,,,,,,949,0,949,,,
160,"Boys  High School School82/6 -R     I    (Male)",-,-,82/6 -R,208091501,-,777,0,777,3,0,3
160,,-,-,82/6 -R,208091601,-,622,0,622,,,
160,,-,-,82/6 -R,208091606,-,0,0,0,,,
160 Total,,,,,,,1399,0,1399,,,
161,"Girls  Communty Model School 82/6 -R    -I    (Female)",-,-,82/6 -R,208091602,-,0,799,799,0,2,2
161,,-,-,82/6 -R,208091605,-,0,220,220,,,
161 Total,,,,,,,0,1019,1019,,,
162,"Girls  Communty Model School 82/6 -R    -I    (Female)",-,-,82/6 -R,208091502,-,0,539,539,0,2,2
162,,-,-,82/6 -R,208091503,-,0,184,184,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
162,,-,-,82/6 -R,208091505,-,0,10,10,,,
162 Total,,,,,,,0,766,766,,,
163,"Girls  Communty Model School 82/6 -R     -II    (Female)",-,-,82/6 -R,208091501,-,0,608,608,0,4,4
163,,-,-,82/6 -R,208091601,-,0,527,527,,,
163,,-,-,82/6 -R,208091603,-,0,498,498,,,
163,,-,-,82/6 -R,208091604,-,0,34,34,,,
163,,-,-,82/6 -R,208091606,-,0,0,0,,,
163 Total,,,,,,,0,1667,1667,,,
164,"Boys High School–I    85/6 -R      (Male)",-,-,85/6-R,208091104,-,67,0,67,2,0,2
164,,-,-,85/6-R,208091106,-,343,0,343,,,
164,,-,-,85/6-R,208091303,-,13,0,13,,,
164,,-,-,85/6-R,208091304,-,247,0,247,,,
164,,-,-,85/6-R,208091305,-,98,0,98,,,
164,,-,-,85/6-R,208091306,-,23,0,23,,,
164 Total,,,,,,,791,0,791,,,
165,"Boys High School  –I    85/6 -R(Male)",-,-,85/6-R,208091105,-,1890,0,1890,3,0,3
165 Total,,,,,,,1890,0,1890,,,
166,"Girls Middle School    85/6-R NewBuilding  - I    (Female)",-,-,85/6-R,208091204,-,0,0,0,0,2,2
166,,-,-,85/6-R,208091206,-,0,4,4,,,
166,,-,-,85/6-R,208091301,-,0,286,286,,,
166,,-,-,85/6-R,208091302,-,0,620,620,,,
166,,-,-,85/6-R,208091303,-,0,8,8,,,
166,,-,-,85/6-R,208091304,-,0,229,229,,,
166,,-,-,85/6-R,208091305,-,0,74,74,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
166 Total,,,,,,,0,1227,1227,,,
167,"Girls Middle School 85/6-R Newbuilding         (Female)",-,-,85/6-R,208091104,-,0,68,68,0,4,4
167,,-,-,85/6-R,208091105,-,0,1579,1579,,,
167,,-,-,85/6-R,208091106,-,0,296,296,,,
167 Total,,,,,,,0,1943,1943,,,
168,Boys High School  85/6--R I     (Male),-,-,85/6R,208091103,-,337,0,337,3,0,3
168,,-,-,85/6-R,208091204,-,0,0,0,,,
168,,-,-,85/6-R,208091206,-,15,0,15,,,
168,,-,-,85/6-R,208091301,-,751,0,751,,,
168,,-,-,85/6-R,208091302,-,308,0,308,,,
168,,-,-,85/6R,208091401,-,0,0,0,,,
168,,-,-,85/6R,208091402,-,0,0,0,,,
168 Total,,,,,,,1411,0,1411,,,
169,"Girls Middle School   85/6-R Newbuilding    -II  (Female)",-,-,85/6-R,208091403,-,0,172,172,0,2,2
169,,-,-,85/6-R,208091404,-,0,862,862,,,
169,,-,-,85/6-R,208091405,-,0,68,68,,,
169 Total,,,,,,,0,1102,1102,,,
170,"Girls Middle School   85/6-R Newbuilding    -II  (Female)",-,-,85/6R,208091103,-,0,242,242,0,2,2
170,,-,-,85/6-R,208091205,-,0,518,518,,,
170,,-,-,85/6R,208091401,-,0,0,0,,,
170,,-,-,85/6R,208091402,-,0,0,0,,,
170 Total,,,,,,,0,760,760,,,
171,Boys High School 85/6-R  (Male),-,-,85/6-R,208091403,-,247,0,247,2,0,2
171,,-,-,85/6-R,208091404,-,999,0,999,,,
171,,-,-,85/6-R,208091405,-,86,0,86,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
171 Total,,,,,,,1332,0,1332,,,
172,"Boys High School    85/6-RII     (Male)",-,-,85/6-R,208091004,-,222,0,222,2,0,2
172,,-,-,85/6-R,208091005,-,222,0,222,,,
172,,-,-,85/6-R,208091006,-,590,0,590,,,
172 Total,,,,,,,1034,0,1034,,,
173,"Boys High School85/6-R         (Male)",-,-,85/6-R,208091001,-,485,0,485,3,0,3
173,,-,-,85/6-R,208091002,-,408,0,408,,,
173,,-,-,85/6-R,208091003,-,658,0,658,,,
173 Total,,,,,,,1551,0,1551,,,
174,"Boys High School85/6-R   (Female)",-,-,85/6-R,208091001,-,0,32,32,0,2,2
174,,-,-,85/6-R,208091002,-,0,321,321,,,
174,,-,-,85/6-R,208091003,-,0,840,840,,,
174 Total,,,,,,,0,1193,1193,,,
175,"Girls Primary School Kot Khadam-85/6-R-V Gali No:6(Male)",-,-,85/6-R,208091201,-,770,0,770,3,0,3
175,,-,-,85/6-R,208091202,-,183,0,183,,,
175,,-,-,85/6-R,208091203,-,170,0,170,,,
175,,-,-,85/6-R,208091205,-,634,0,634,,,
175 Total,,,,,,,1757,0,1757,,,
176,"Girls Primary School Kot Farid-85/6-RVI     (Male)",-,-,85/6-R,208090902,-,310,0,310,2,0,2
176,,-,-,85/6-R,208090903,-,85,0,85,,,
176,,-,-,85/6-R,208090904,-,330,0,330,,,
176,,-,-,85/6-R,208090905,-,386,0,386,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
176 Total,,,,,,,1121,0,1121,,,
177,"Boys Primary School No. 1 Kot AllahDin 85/6-R    VII     (Male)",-,-,85/6-R,208090901,-,408,0,408,3,0,3
177,,-,-,85/6-R,208091101,-,562,0,562,,,
177,,-,-,85/6-R,208091102,-,458,0,458,,,
177 Total,,,,,,,1428,0,1428,,,
178,"Boys Primary School No. 1 Kot AllahDin 85/6-R (Female)",-,-,85/6-R,208090902,-,0,178,178,0,2,2
178,,-,-,85/6-R,208090903,-,0,53,53,,,
178,,-,-,85/6-R,208090904,-,0,427,427,,,
178,,-,-,85/6-R,208090905,-,0,379,379,,,
178,,-,-,85/6-R,208090906,-,0,15,15,,,
178 Total,,,,,,,0,1052,1052,,,
179,"Girls Primary School  Kot Allah DinNo.1-85/6-R  - IV     (Female)",-,-,85/6-R,208090901,-,0,335,335,0,2,2
179,,-,-,85/6-R,208091101,-,0,475,475,,,
179,,-,-,85/6-R,208091102,-,0,365,365,,,
179 Total,,,,,,,0,1175,1175,,,
180,"Girls Primary School No. 2Kot AllahDin,                   85/6-R   -VI(Female)",-,-,85/6-R,208091201,-,0,702,702,0,2,2
180,,-,-,85/6-R,208091202,-,0,152,152,,,
180,,-,-,85/6-R,208091203,-,0,168,168,,,
180 Total,,,,,,,0,1022,1022,,,
181,"Girls Primary School No. 2Kot AllahDin,                   85/6-R   -VI(Female)",-,-,85/6-R,208091004,-,0,180,180,0,2,2
181,,-,-,85/6-R,208091005,-,0,157,157,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
181 Total,,,,,,,0,806,806,,,
182,"Boys  High School86/6 -R  -I      (Male)",-,-,86/6 -R,208100901,-,428,0,428,3,0,3
182,,-,-,86/6 -R,208100902,-,400,0,400,,,
182,,-,-,86/6 -R,208100904,-,510,0,510,,,
182,,-,-,86/6 -R,208100905,-,0,0,0,,,
182 Total,,,,,,,1338,0,1338,,,
183,"Boys  High School  86/6 -R(Male)",-,-,86/6 -R,208100903,-,450,0,450,2,0,2
183,,-,-,86/6 -R,208101001,-,119,0,119,,,
183,,-,-,86/6 -R,208101002,-,181,0,181,,,
183 Total,,,,,,,750,0,750,,,
184,Boys  High School  86/6 -R      (Male),-,-,86/6 -R,208101005,-,463,0,463,2,0,2
184,,-,-,86/6 -R,208101006,-,703,0,703,,,
184 Total,,,,,,,1166,0,1166,,,
185,"Boys  High School  86/6 -R(Male)",-,-,86/6 -R,208100906,-,135,0,135,3,0,3
185,,-,-,86/6 -R,208100907,-,129,0,129,,,
185,,-,-,86/6 -R,208100908,-,209,0,209,,,
185,,-,-,86/6 -R,208101003,-,640,0,640,,,
185,,-,-,86/6 -R,208101004,-,412,0,412,,,
185 Total,,,,,,,1525,0,1525,,,
186,"Boys  High School86/6 -R            (Male)",-,-,86/6 -R,208101105,-,455,0,455,2,0,2
186,,-,-,86/6 -R,208101106,-,310,0,310,,,
186 Total,,,,,,,765,0,765,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
187,"Boys  High School   86/6 -R(Male)",-,-,86/6 -R,208101201,-,123,0,123,2,0,2
187,,-,-,86/6 -R,208101202,-,49,0,49,,,
187,,-,-,86/6 -R,208101203,-,172,0,172,,,
187,,-,-,86/6 -R,208101204,-,176,0,176,,,
187,,-,-,86/6 -R,208101205,-,156,0,156,,,
187,,-,-,86/6 -R,208101206,-,220,0,220,,,
187 Total,,,,,,,896,0,896,,,
188,"Boys  High School86/6 -R           (Male)",-,-,86/6 -R,208101101,-,372,0,372,3,0,3
188,,-,-,86/6 -R,208101102,-,362,0,362,,,
188,,-,-,86/6 -R,208101103,-,322,0,322,,,
188,,-,-,86/6 -R,208101104,-,488,0,488,,,
188 Total,,,,,,,1544,0,1544,,,
189,"Girls  High School  86/6 -R(Female)",-,-,86/6 -R,208100901,-,0,377,377,0,3,3
189,,-,-,86/6 -R,208100902,-,0,322,322,,,
189,,-,-,86/6 -R,208100904,-,0,451,451,,,
189,,-,-,86/6 -R,208100905,-,0,0,0,,,
189 Total,,,,,,,0,1150,1150,,,
190,"Girls  High School86/6 -R         (Female)",-,-,86/6 -R,208100903,-,0,359,359,0,3,3
190,,-,-,86/6 -R,208101001,-,0,106,106,,,
190,,-,-,86/6 -R,208101002,-,0,142,142,,,
190,,-,-,86/6 -R,208101005,-,0,452,452,,,
190,,-,-,86/6 -R,208101006,-,0,463,463,,,
190 Total,,,,,,,0,1522,1522,,,
191,"Girls  High School  86/6 -R(Female)",-,-,86/6 -R,208100906,-,0,161,161,0,3,3
191,,-,-,86/6 -R,208100907,-,0,80,80,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
191,,-,-,86/6 -R,208100908,-,0,170,170,,,
191,,-,-,86/6 -R,208101003,-,0,532,532,,,
191,,-,-,86/6 -R,208101004,-,0,371,371,,,
191 Total,,,,,,,0,1314,1314,,,
192,"Girls  High School86/6 -R     (Female)",-,-,86/6 -R,208101105,-,0,367,367,0,3,3
192,,-,-,86/6 -R,208101106,-,0,237,237,,,
192,,-,-,86/6 -R,208101201,-,0,63,63,,,
192,,-,-,86/6 -R,208101202,-,0,64,64,,,
192,,-,-,86/6 -R,208101203,-,0,117,117,,,
192,,-,-,86/6 -R,208101204,-,0,146,146,,,
192,,-,-,86/6 -R,208101205,-,0,170,170,,,
192,,-,-,86/6 -R,208101206,-,0,146,146,,,
192 Total,,,,,,,0,1310,1310,,,
193,"Girls  High  School86/6 -R     (Female)",-,-,86/6 -R,208101101,-,0,310,310,0,2,2
193,,-,-,86/6 -R,208101102,-,0,266,266,,,
193,,-,-,86/6 -R,208101103,-,0,191,191,,,
193,,-,-,86/6 -R,208101104,-,0,345,345,,,
193 Total,,,,,,,0,1112,1112,,,
194,"Boys Middle School93/6-R     (Male)",-,-,93/6-R,208101301,-,293,0,293,3,0,3
194,,-,-,93/6-R,208101307,-,965,0,965,,,
194,,-,-,93/6-R,208101308,-,127,0,127,,,
194 Total,,,,,,,1385,0,1385,,,
195,"Boys Middle School  93/6- R   I(Male)",-,-,93/6-R,208101302,-,808,0,808,4,0,4
195,,-,-,93/6-R,208101303,-,244,0,244,,,
195,,-,-,93/6-R,208101304,-,42,0,42,,,
195,,-,-,93/6-R,208101305,-,160,0,160,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
195,,-,-,93/6-R,208101306,-,233,0,233,,,
195 Total,,,,,,,1487,0,1487,,,
196,"Girls Middle School93/6-R    (Female)",-,-,93/6-R,208101301,-,0,233,233,0,2,2
196,,-,-,93/6-R,208101307,-,0,748,748,,,
196,,-,-,93/6-R,208101308,-,0,102,102,,,
196 Total,,,,,,,0,1083,1083,,,
197,"Girls Middle School  93/6-R(Female)",-,-,93/6-R,208101302,-,0,589,589,0,2,2
197,,-,-,93/6-R,208101303,-,0,116,116,,,
197,,-,-,93/6-R,208101304,-,0,68,68,,,
197,,-,-,93/6-R,208101305,-,0,150,150,,,
197,,-,-,93/6-R,208101306,-,0,198,198,,,
197 Total,,,,,,,0,1121,1121,,,
198,"Boys Middle School  95/6-R(Male)",-,-,95/6-R,208101405,-,153,0,153,3,0,3
198,,-,-,95/6-R,208101501,-,282,0,282,,,
198,,-,-,95/6-R,208101502,-,919,0,919,,,
198,,-,-,95/6-R,208101503,-,217,0,217,,,
198 Total,,,,,,,1571,0,1571,,,
199,"Boys Middle School  95/6-R(Male)",-,-,95/6-R,208101401,-,430,0,430,2,0,2
199,,-,-,95/6-R,208101402,-,255,0,255,,,
199,,-,-,95/6-R,208101403,-,51,0,51,,,
199,,-,-,95/6-R,208101404,-,124,0,124,,,
199,,-,-,95/6-R,208101504,-,113,0,113,,,
199,,-,-,95/6-R,208101505,-,151,0,151,,,
199,,-,-,95/6-R,208101506,-,40,0,40,,,
199 Total,,,,,,,1164,0,1164,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
200,"Girls Community Model ElementarySchool,   95/6-R  (Female)",-,-,95/6-R,208101405,-,0,109,109,0,3,3
200,,-,-,95/6-R,208101501,-,0,209,209,,,
200,,-,-,95/6-R,208101502,-,0,783,783,,,
200,,-,-,95/6-R,208101503,-,0,172,172,,,
200 Total,,,,,,,0,1273,1273,,,
201,"Girls Community Model ElementarySchool,   95/6-R   (Female)",-,-,95/6-R,208101401,-,0,330,330,0,2,2
201,,-,-,95/6-R,208101402,-,0,183,183,,,
201,,-,-,95/6-R,208101403,-,0,50,50,,,
201,,-,-,95/6-R,208101404,-,0,95,95,,,
201,,-,-,95/6-R,208101504,-,0,92,92,,,
201,,-,-,95/6-R,208101505,-,0,129,129,,,
201,,-,-,95/6-R,208101506,-,0,26,26,,,
201 Total,,,,,,,0,905,905,,,
"GrandTotal",,,,,,,120108,102068,222169,257,221,478
S.No.,"No. and Nameof PollingStation",In case of rural,In case of urban,"S.No. ofvoters ontheelectoral","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths"
"Name ofElectoralArea",Block Code,"Name ofElectoralArea",Block Code,,,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Boys  PrimarySchool  72/4R(Male)",72/4R,208011004,-,-,-,328,0,328,2,0,
1,,72/4R,208011005,-,-,-,445,0,445,,,
1,,72/4R,208011006,-,-,-,147,0,147,,,
1 Total,,,,,,,920,0,920,,,
2,"Boys  PrimarySchool  72/4R(Female)",72/4R,208011004,,-,-,0,368,368,0,2,
2,,72/4R,208011005,-,-,-,0,277,277,,,
2,,72/4R,208011006,-,-,-,0,120,120,,,
2 Total,,,,,,,0,765,765,,,
3,"Boys  HighSchool 78/5 -R(Male)",78/5 -R,208011001,-,-,-,1012,0,1012,2,0,
3 Total,,,,,,,1012,0,1012,,,
4,"Boys  HighSchool 78/5 -R(Male)",78/5 -R,208011002,-,-,-,341,0,341,2,0,
4,,78/5 -R,208011003,-,-,-,605,0,605,,,
4 Total,,,,,,,946,0,946,,,
5,"Govt. Girls HighSchool 78/5 -R(Female)",78/5 -R,208011001,-,-,-,0,821,821,0,3,
5,,78/5 -R,208011002,-,-,-,0,261,261,,,
5,,78/5 -R,208011003,-,-,-,0,477,477,,,
5 Total,,,,,,,0,1559,1559,,,
6,"Boys primarySchool79-80/5-R(Male)",79-80/5-R,208010801,-,-,-,308,0,308,3,0,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
6,,79-80/5-R,208010805,-,-,-,252,0,252,,,
6,,79-80/5-R,208010810,-,-,-,334,0,334,,,
6 Total,,,,,,,1252,0,1252,,,
7,"Boys  PrimarySchool79-80/-5R(Female)",79-80/5-R,208010801,-,-,-,0,244,244,0,2,
7,,79-80/5-R,208010802,-,-,-,0,293,293,,,
7,,79-80/5-R,208010805,-,-,-,0,189,189,,,
7,,79-80/5-R,208010810,-,-,-,0,242,242,,,
7 Total,,,,,,,0,968,968,,,
8,"Govt. GirlsPrimary School,79-80/5R(Combined)",79-80/5-R,208010803,-,-,-,499,389,888,2,1,
8,,79-80/5-R,208010804,-,-,-,465,286,751,,,
8 Total,,,,,,,964,675,1639,,,
9,"Rural HealthCenter81/5 -R(Male)",81/5 -R,208010806,-,-,-,809,0,809,2,0,
9 Total,,,,,,,809,0,809,,,
10,"Govt PrimarySchool 81/5-R(Male)",81/5 -R,208010807,-,-,-,561,0,561,2,0,
10,,81/5 -R,208010808,-,-,-,184,0,184,,,
10,,81/5 -R,208010809,-,-,-,207,0,207,,,
10 Total,,,,,,,952,0,952,,,
11,"Govt. Girls HighSchool 81/5 -R(Female)",81/5 -R,208010806,-,-,-,0,586,586,0,3,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
11,,81/5 -R,208010808,-,-,-,0,158,158,,,
11,,81/5 -R,208010809,-,-,-,0,145,145,,,
11 Total,,,,,,,0,1328,1328,,,
12,"Boys primarySchool  79/5 -L(Combined)",79/5 -L,208020601,-,-,-,274,216,490,1,1,
12,,79/5 -L,208020602,-,-,-,463,353,816,,,
12 Total,,,,,,,737,569,1306,,,
13,"Boys primarySchool        80/5L (Combined)",80/5 -L,208020603,-,-,-,555,479,1034,2,1,
13,,80/5 -L,208020604,-,-,-,229,228,457,,,
13 Total,,,,,,,784,707,1491,,,
14,"Boys HighSchool78/5 -L(Combined)",78/5 -L,208020701,-,-,-,466,336,802,1,1,
14 Total,,,,,,,466,336,802,,,
15,"Boys HighSchool78/5 -L(Combined)",78/5 -L,208020703,-,-,-,429,334,763,1,1,
15 Total,,,,,,,429,334,763,,,
16,"Boys HighSchool78/5 -L II(Combined)",78/5 -L,208020702,-,-,-,700,544,1244,2,1,
16 Total,,,,,,,700,544,1244,,,
17,"Boys primarySchool111/9 -L (Male)",111/9 -L,208021101,-,-,-,247,0,247,2,0,
17,,111/9 -L,208021102,-,-,-,403,0,403,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
17,,111/9 -L,208021106,-,-,-,197,0,197,,,
17 Total,,,,,,,847,0,847,,,
18,"Boys primarySchool  111/9 -L(Female)",111/9 -L,208021101,-,-,-,0,244,244,0,2,
18,,111/9 -L,208021102,-,-,-,0,304,304,,,
18,,111/9 -L,208021106,-,-,-,0,166,166,,,
18 Total,,,,,,,0,714,714,,,
19,"Boys HighSchool  111/9 -L(Male)",111/9 -L,208021103,-,-,-,399,0,399,3,0,
19,,111/9 -L,208021104,-,-,-,493,0,493,,,
19,,111/9 -L,208021105,-,-,-,446,0,446,,,
19 Total,,,,,,,1338,0,1338,,,
20,"Boys HighSchool  111/9 -L(Female)",111/9 -L,208021103,-,-,-,0,228,228,0,2,
20,,111/9 -L,208021104,-,-,-,0,501,501,,,
20,,111/9 -L,208021105,-,-,-,0,368,368,,,
20 Total,,,,,,,0,1097,1097,,,
21,"Girls MiddleSchool 87-A/6-RMehmoodWali    (Male)",87-A/6-R,208050301,-,-,-,418,0,418,2,0,
21,,87-A/6-R,208050302,-,-,-,476,0,476,,,
21 Total,,,,,,,894,0,894,,,
22,"Girls MiddleSchool 87-A/6-RMehmoodWali    (Female)",87-A/6-R,208050301,-,-,-,0,369,369,0,2,
22,,87-A/6-R,208050302,-,-,-,0,394,394,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
23,"Boys PrimarySchool87-A/6-RMadali Sharif(Male)",87-A/6-R,208050303,-,-,-,487,0,487,3,0,
23,,87-A/6-R,208050304,-,-,-,713,0,713,,,
23 Total,,,,,,,1200,0,1200,,,
24,"Girls PrimarySchool  87-A/6-RMadali Shafif(Female)",87-A/6-R,208050303,-,-,-,0,442,442,0,2,
24,,87-A/6-R,208050304,-,-,-,0,644,644,,,
24 Total,,,,,,,0,1086,1086,,,
25,"Boys HighSchool 87/6-R(Male)",87/6-R,208050305,-,-,-,478,0,478,2,0,
25,,87/6-R,208050306,-,-,-,598,0,598,,,
25 Total,,,,,,,1076,0,1076,,,
26,"Boys HighSchool 87/6-R(Male)",87/6-R,208050307,-,-,-,442,0,442,2,0,
26,,87/6-R,208050308,-,-,-,484,0,484,,,
26 Total,,,,,,,926,0,926,,,
27,"Boys HighSchool 87/6-R(Female)",87/6-R,208050307,-,-,-,0,381,381,0,2,
27,,87/6-R,208050308,-,-,-,0,427,427,,,
27 Total,,,,,,,0,808,808,,,
28,"Boys HighSchool 87/6-R(Female)",87/6-R,208050305,-,-,-,0,472,472,0,2,
28,,87/6-R,208050306,-,-,-,0,440,440,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
29,"Girls PrimarySchool 88/6-RSharqi(Combined)",88/6-R,208050404,-,-,-,578,520,1098,1,1,
29 Total,,,,,,,578,520,1098,,,
30,"Girls MiddleSchool 88/6-RGharbiNekiwala(Male)",88/6-R,208050405,-,-,-,593,0,593,3,0,
30,,88/6-R,208050406,-,-,-,720,0,720,,,
30 Total,,,,,,,1313,0,1313,,,
31,"Girls MiddleSchool 88/6-RGharbiNaikiwala   (Female)",88/6-R,208050405,-,-,-,0,522,522,0,2,
31,,88/6-R,208050406,-,-,-,0,620,620,,,
31 Total,,,,,,,0,1142,1142,,,
32,"Boys MiddleSchool    88-A/6R  Rati Tibbi(Male)",88-A/6-R,208050401,-,-,-,732,0,732,2,0,
32,,88-A/6-R,208050402,-,-,-,18,0,18,,,
32,,88-A/6-R,208050403,-,-,-,395,0,395,,,
32 Total,,,,,,,1145,0,1145,,,
33,"Boys MiddleSchool    88-A/6R  Rati Tibbi(Female)",88-A/6-R,208050401,-,-,-,0,591,591,0,2,
33,,88-A/6-R,208050402,-,-,-,0,13,13,,,
33,,88-A/6-R,208050403,-,-,-,0,351,351,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
