Sr. No,No. and Name of Polling Station,In case of rural areas,In Case of Urban Area,"S. No. of Voterson the Electoralroll in caseelectoral area isbifurcated","Number of Voters assigned topolling Station",Number of Polling Booths,,,,,,
113,"113. Government.Girls PrimarySchool Chak No.38UCC (Male)(T)**",Chak No.38UCC,198020613,,,,431,0,431,3,0,3
"",Chak No.38UCC,198020614,,,,497,0,497,,,,
"",Chak No.38UCC,198020615,,,,514,0,514,,,,
114,"114. Government.Boys PrimarySchool Chak No.38UCC (Female)(P)*",Chak No.38UCC,198020613,,,,0,424,424,0,2,2
"",Chak No.38UCC,198020614,,,,0,434,434,,,,
"",Chak No.38UCC,198020615,,,,0,345,345,,,,
115,"115. Government.Boys PrimarySchool Chak No.43 (P)*",Chak No.43,198020616,,,,354,240,594,1,1,2
Chak No.43,198020619,,,,299,225,524,,,,,
Bhurth,1  9  8  0   2  0  3  0  1,,,,721,0,721,,,,,
Bhurth,198020302,,,,495,0,495,,,,,
Bhurth,198020303,,,,395,0,395,,,,,
Qadian (BC),198020309,,,,0,0,0,,,,,
Khair Din Pur (BC),198020403,,,,2,0,2,,,,,
117,"117. Government Girls ElementarySchool Bharath",Bhurth,1  9  8  0   2  0  3  0  1,,,,0,532,532,0,2,2
"",,Bhurth,198020302,,,,0,340,340,,,
"",,Bhurth,198020303,,,,0,248,248,,,
"",,Qadian (BC),198020309,,,,0,0,0,,,
"",,Khair Din Pur (BC),198020403,,,,0,0,0,,,
"",,Kot Mool Chand,198020404,,,,0,125,125,,,
118,"118. Government.Boys PrimarySchool Karool (P)*",Bhurth,1  9  8  0   2  0  3  0  4,,,,2  7  5,0,275,3,0,3
"",,Bhurth,1  9  8  0   2  0  3  1  3,,,,2  2  3,0,223,,,
"",,Bhurth,198020305,,,,67,0,67,,,
"",,Bhurth,198020314,,,,230,0,230,,,
"",,Bhurth,198020306,,,,448,0,448,,,
"",,Jadha (BC),198020310,,,,3,0,3,,,
"",,Ali Pur (BC),198020311,,,,2,0,2,,,
"",,Rasool (BC),198020312,,,,0,0,0,,,
119,"119. Government.Boys PrimarySchool Karool. (111)",Bhurth,1  9  8  0   2  0  3  0  4,,,,0,2  2   5,225,0,2,2
"",,Bhurth,1  9  8  0   2  0  3  1  3,,,,0,1  2   9,129,,,
"",,Bhurth,198020305,,,,0,51,51,,,
"",,Bhurth,198020314,,,,0,137,137,,,
"",,Bhurth,198020306,,,,0,255,255,,,
"",,Jadha (BC),198020310,,,,0,1,1,,,
"",,Ali Pur (BC),198020311,,,,0,4,4,,,
"",,Rasool (BC),198020312,,,,0,0,0,,,
120,"120. Government.Boys PrimarySchool Bhulkhy (P)*",Kot Nathu,1  9  8   0  2  0  3 07,,,,218,126,344,2,1,3
"",,Kot Jaspat,198020308,,,,69,28,97,,,
"",,Bhulkay,198020401,,,,219,159,378,,,
"",,Bhulkay,198020402,,,,394,282,676,,,
121,"121. Government.Boys PrimarySchool Bhulkhy (P)*",Daddian,198010205,,,,532,349,881,2,1,3
"",,Kot Hadyat Ali,198010206,,,,461,248,709,,,
122,"122. Government Primary SchoolBukan Wal",Bakanwal,1  9  8  0   2  0  8  0  1,,,,1  9  8,9  0,288,1,1,2
"",,Ratni Wal (BC),198020802,,,,0,0,0,,,
"",,Shedi Wal,198020803,,,,21,17,38,,,
"",,Qazi Marali,198020804,,,,35,10,45,,,
"",,Kotli Kachi,198020805,,,,10,8,18,,,
"",,Chohan,198020806,,,,36,32,68,,,
123,"123. Canal Rest House Babakwal(T)**",Babakwal  (Shahabpura),198010202,,,,574,303,877,2,2,4
"",,Babakwal  (Shahabpura),198010203,,,,312,204,516,,,
124,"124. Canal Rest House Babakwal.(115)",Babakwal  (Shahabpura),1  9  8  0  1   0  2  0  1,,,,601,318,919,2,1,3
Chak No.40UCC,198020504,,,,911,0,911,,,,,
Chak No.40UCC,198020505,,,,467,0,467,,,,,
Chak No.40UCC,198020506,,,,0,0,0,,,,,
Chak No.40UCC,198020507,,,,0,0,0,,,,,
126,"126. Government.Boys PrimarySchool Chak No.40 UCC (Female)(T)**",Chak No.40UCC,198020504,,,,0,588,588,0,2,2
"",,Chak No.40UCC,198020505,,,,0,293,293,,,
"",,Chak No.40UCC,198020506,,,,0,0,0,,,
"",,Chak No.40UCC,198020507,,,,0,0,0,,,
"",,Chak No.40UCC,198020508,,,,0,0,0,,,
127,"127. Government.Boys PrimarySchool Chak No.42 UCC (P)*",Chak No.42UCC,198020501,,,,585,398,983,1,1,2
128,"128. Government Girls ElementarySchool Chak No.41 UCC",Chak No.41UCC,198020502,,,,383,248,631,1,1,2
"",,Chak No.41UCC,198020503,,,,382,219,601,,,
129,"129. Government.Boys PrimarySchool Chak No.39 UCC (Male)(P)*","Chak No.39UCC(Shadman Scheme)",198020601,,,,585,0,585,3,0,3
"",,"Chak No.39UCC(Shadman Scheme)",198020602,,,,507,0,507,,,
130,"130. Government.Boys PrimarySchool Chak No.39 UCC. (120)","Chak No.39UCC (GoldanCity)",198020603,,,,426,0,426,2,0,2
"Chak No.39UCC (GoldanCity)",198020604,,,,0,0,0,,,,,
"(Scheme No.3 RanaTown)",198020605,,,,10,0,10,,,,,
"(Scheme No.3 RanaTown)",198020606,,,,32,0,32,,,,,
"(Scheme No.3 RanaTown)",198020617,,,,394,0,394,,,,,
"Chak No.39UCC(Shadman Scheme)",198020601,,,,0,433,433,,,,,
"Chak No.39UCC(Shadman Scheme)",198020602,,,,0,336,336,,,,,
"Chak No.39UCC (GoldanCity)",198020603,,,,0,248,248,,,,,
"Chak No.39UCC (GoldanCity)",198020604,,,,0,0,0,,,,,
"(Scheme No.3 RanaTown)",198020605,,,,0,7,7,,,,,
"(Scheme No.3 RanaTown)",198020606,,,,0,14,14,,,,,
132,"132. Social welfare Dispansary FBlock Near Gate No.2 ShereBangal Colony Chak No.39UCC(Male) (T)**","Chak No.39UCC(Shere Bangal Colony)",198020607,,,,81,0,81,4,0,4
"",,"Chak No.39UCC(Shere Bangal Colony)",198020618,,,,142,0,142,,,
"",,"Chak No.39UCC(Shere Bangal Colony)",198020608,,,,187,0,187,,,
"",,"Chak No.39UCC(Shere Bangal Colony)",198020609,,,,188,0,188,,,
"",,"Chak No.39UCC(Shere Bangal Colony)",198020610,,,,397,0,397,,,
"",,"Chak No.39UCC(Shere Bangal Colony)",198020611,,,,299,0,299,,,
"",,"Chak No.39UCC(Shere Bangal Colony)",198020612,,,,239,0,239,,,
133,"133. Social welfare Dispansary FBlock Near Gate No.2 ShereBangal Colony Chak No.39UCC(Female) (T)**","Chak No.39UCC(Shere Bangal Colony)",198020607,,,,0,53,53,0,3,3
"Chak No.39UCC(Shere Bangal Colony)",198020618,,,,0,122,122,,,,,
"Chak No.39UCC(Shere Bangal Colony)",198020608,,,,0,153,153,,,,,
"Chak No.39UCC(Shere Bangal Colony)",198020609,,,,0,149,149,,,,,
"Chak No.39UCC(Shere Bangal Colony)",198020610,,,,0,308,308,,,,,
"Chak No.39UCC(Shere Bangal Colony)",198020611,,,,0,240,240,,,,,
"Chak No.39UCC(Shere Bangal Colony)",198020612,,,,0,188,188,,,,,
"",,Mohallah Cheena Street,1  9  9  0  8   0  3  0  1,,5  5  5,0,5  5   5,,,,,
"",,"Gulshan Tahir PuranaNarang Road",199080302,,201,0,201,,,,,
"",,Mohallah Rajpotian,199080303,,402,0,402,,,,,
135,"135. Government.Primary SchoolNo.3 Muridke (Right Wing)(Female) (P)*",,,Mohallah Cheena Street,1  9  9  0  8   0  3  0  1,,0,4  1  9,4  1   9,0,2,2
"",,,"Gulshan Tahir PuranaNarang Road",199080302,,0,178,178,,,,
"",,,Mohallah Rajpotian,199080303,,0,313,313,,,,
"",,,Latif Park,199080304,,0,380,380,,,,
136,"136. Government.Girls HigherSecondary School Muridke (LeftP/S Wing) (Male) (P)*",,,Sultan Park No.1,1  9   9  0  9  0  5  0   1,,7  4  7,0,7  4  7,3,0,3
"",,,Sultan Park No.2,199090502,,370,0,370,,,,
"",,,Sultan Park No.3,199090504,,415,0,415,,,,
137,"137. Government.Girls HigherSecondary School Muridke (RightP/S Wing) ( Male) (P)*",,,Hassan Park,199080401,,480,0,480,2,0,2
"",,,Hassan Park,199080405,,88,0,88,,,,
"",,,Easa Park,199080505,,117,0,117,,,,
"",,,Easa Park,199080508,,510,0,510,,,,
138,"138. Government.Girls HigherSecondary School Muridke (Right",,,Hassan Park,1  9   9  0  9  0  5   0  5,,472,0,472,2,0,2
"",,,Hassan Park,1  9   9  0  9  0  5   0  7,,634,0,634,,,,
139,"139. Government.Girls HigherSecondry School Muridke (MiddleBlock)(Male) (P)*",,,Muhammad Pura,1  9  9  0   8  0  4  0  3,,163,0,163,4,0,4
"",,,Muhammad Pura,1  9  9  0   8  0  4  0  6,,822,0,822,,,,
"",,,Muridke Town,199080501,,267,0,267,,,,
"",,,Sultan Park No.2,199090503,,365,0,365,,,,
"",,,Sultan Park,199090506,,31,0,31,,,,
140,"140. Government.Girls HigherSecondary School Muridke (HigherBlock) (Female) (P)*",,,Sultan Park No.1,1  9   9  0  9  0  5  0   1,,0,5   5  7,5  5  7,0,2,2
"",,,Sultan Park No.1,199090502,,0,271,271,,,,
"",,,Sultan Park No.3,199090504,,0,271,271,,,,
141,"141. Government.Girls HigherSecondary School Muridke StaffRoom Block (Left Wing) (Female)(P)*",,,Hassan Park,199080401,,0,322,322,0,2,2
"",,,Hassan Park,199080405,,0,58,58,,,,
"",,,Easa Park,199080505,,0,94,94,,,,
"",,,Easa Park,199080508,,0,321,321,,,,
"",,,Hassan Park,1  9   9  0  9  0  5   0  5,,0,482,482,,,,
"",,,Hassan Park,1  9   9  0  9  0  5   0  7,,0,304,304,,,,
142,"142. Government.Girls HigherSecondary School Muridke StaffRoom Block (Right Wing) (Female) (P)*",,,Muhammad Pura,1  9  9  0   8  0  4  0  3,,0,100,100,0,2,2
"",,,Muhammad Pura,1  9  9  0   8  0  4  0  6,,0,614,614,,,,
"",,,Muridke Town,199080501,,0,197,197,,,,
"",,,Sultan Park No.2,199090503,,0,257,257,,,,
"",,,Sultan Park,199090506,,0,23,23,,,,
143,"143. Government.Girls HigherSecondary School Muridke ( HighBlock) (Male) (P)*",,,Muridke Town,199080502,,504,0,504,4,0,4
"",,,Iqbal Park,199080504,,469,0,469,,,,
"",,,Iqbal Park,199080509,,235,0,235,,,,
"",,,Iqbal Park,199080510,,229,0,229,,,,
144,"144. Government.Girls HigherSecondary School Muridke (HighBlock) (132)",,,Mohallah Purana Janazgah,1  9  9   0  8  0  4  0   2,,282,0,282,3,0,3
"",,Mohallah M.Pura Latif Park,1  9  9  0   8  0  4  0  4,,140,0,140,,,,,
"",,Mohallah M.Pura Latif Park,1  9  9  0   8  0  4  0  7,,262,0,262,,,,,
"",,Rehman Pura No.1,199090403,,434,0,434,,,,,
"",,Mohallah Ahmad Park,199080503,,396,0,396,,,,,
146,"146. Government.Girls Tamer-e-Millat Primary School BlockMuridke Town (Female) (P)*",,,Mohallah Purana Jhanzgah,199080402,,0,220,220,0,3,3
"",,,,Mohallah Latif Park,1  9  9   0  8  0  4  0   4,,0,9   4,94,,,
"",,,,Mohallah Latif Park,1  9  9   0  8  0  4  0   7,,0,1  9   0,190,,,
"",,,,Muridke Town,199080502,,0,431,431,,,
"",,,,Iqbal Park,199080504,,0,327,327,,,
"",,,,Iqbal Park,199080509,,0,177,177,,,
"",,,,Iqbal Park,199080510,,0,147,147,,,
147,"147. Government.Girls Tamer-e-Millat Primary School MuridkeTown (Female) (P)*",,,Ahmad Park,199080503,,0,343,343,0,2,2
"",,,,Ahmad Park,199080507,,0,347,347,,,
"",,,,Mushtaq Park,199080506,,0,292,292,,,
148,"148. Tehsil MunicipalAdministration Office(Old Block)(Male) (P)*",,,Ahmad Pura No.5,199080105,,609,0,609,4,0,4
"",,,,Ahmad Pura No.4,199080202,,456,0,456,,,
"",,,,Mushtaq Park,199080506,,387,0,387,,,
149,"149. Tehsil MunicipalAdministration Office(Old Block)",,,Ahmad Pura No.1,1   9  9  0  8  0   1  0  3,,863,0,863,4,0,4
"",,,,Ahmad Pura No.3,1   9  9  0  8  0   2  0  1,,515,0,515,,,
150,"150. Vocational Training Institute,Muridke",,,Ahmad Pura No.3,199080105,,0,457,457,0,2,2
"",,,,Ahmad Pura No.4,1   9  9  0  8  0   2  0  1,,0,450,450,,,
"",,,,Ahmad Pura No.5,199080202,,0,340,340,,,
151,"151. Tehsil MunicipalAdministration Office Jinah HallWing(Female) (T)**",,,Ahmad Pura No.1,1   9  9  0  8  0   1  0  3,,0,657,657,0,2,2
"",,,,Ahmad Pura No.2,199080104,,0,266,266,,,
"",,,,Ahmad Pura No.2,199080108,,0,518,518,,,
152,"152. Tehsil MunicipalAdministration Office Nadra Wing",,,Ahmad Pura No.2,199080104,,335,0,335,3,0,3
"",,,,Ahmad Pura No.2,199080108,,671,0,671,,,
153,"153. Government.BoysElementary School No.1Mandranwala Mohallah HabibGanj Muridke (Male) (P)*",,,Rasool Nagar,1   9  9  0 80102,,696,0,696,4,0,4
"",,,,Rasool Nagar,1   9  9  0 80107,,204,0,204,,,
"",,,,Mohallah Sheikhan,199090401,,593,0,593,,,
"",,,,Mohallah Muslim Ganj,199090402,,269,0,269,,,
154,"154. Dastkari School MohalaSheikhan Muridke (Female) (P)*",,,Rasool Nagar,199080102,,0,487,487,0,3,3
"",,,,Rasool Nagar,199080107,,0,190,190,,,
"",,,,Mohallah Sheikhan,199090401,,0,521,521,,,
"",,,,Mohallah Muslim Ganj,199090402,,0,215,215,,,
155,"155. Office Market CommitteeMuridke (Female) (P)*",,,Habib Park/Jinnah Park,1  9  9   0  8  0  1  0   1,,0,241,241,0,2,2
"",,,,Habib Park/Jinnah Park,1  9  9   0  8  0  1  0   6,,0,286,286,,,
156,"156. Government.BoysElementary School No.1",,,Habib Park/Jinnah Park,1  9  9   0  8  0  1  0   1,,196,0,196,2,0,2
"",,,,Habib Park/Jinnah Park,1  9  9   0  8  0  1  0   6,,481,0,481,,,
157,"157. Tehsil HeadquarterHospital,Muridke(Male) (P)*",,,Chahil Gardan,199080203,,447,0,447,3,0,3
"",,Nazam Park,199080204,,620,0,620,,,,,
"",,Hospital Colony,199080205,,249,0,249,,,,,
"",,Hospital Colony,199080206,,171,0,171,,,,,
"",,Chahil Gardan,199080203,,0,328,328,,,,,
"",,Nazam Park,199080204,,0,468,468,,,,,
"",,Hospital Colony,199080205,,0,163,163,,,,,
159,"159. Canal Rest House Muridke(Back side) (Male) (P)**",,,Balal Park No.1,1  9  9  0  7   0  5  0  1,,329,0,329,2,0,2
"",,,,Balal Park No.2,199070502,,244,0,244,,,
"",,,,Balal Park No.3,199070503,,315,0,315,,,
160,"160. Canal Rest House Muridke(Front side)(Female) (P)*",,,Balal Park No.1,1  9  9  0  7   0  5  0  1,,0,286,286,0,2,2
"",,,,Balal Park No.2,199070502,,0,198,198,,,
"",,,,Balal Park No.3,199070503,,0,249,249,,,
161,"161. Government.Girls ElemantaryGulshan Zafar Muridke (Male) (P)*",,,Gulshan Zafar Colony,1  9  9  0   7  0  3  0  3,,794,0,794,3,0,3
"",,,,Gulshan Zafar Colony,1  9  9  0   7  0  3  0  7,,59,0,59,,,
"",,,,Balal Park No.5,199070506,,211,0,211,,,
162,"162. Government Girls HighSchool Canal Park, Gulshan Zafar",,,Balal Park No.4,199070505,,790,0,790,3,0,3
"",,,,Balal Park No.6,199070507,,366,0,366,,,
163,"163. Government.Girls HighSchool, Canal Park Gulshan ZafarMuridke (Female) (P)*",,,Gulshan Zafar Colony,1  9  9  0   7  0  3  0  3,,0,607,607,0,3,3
"",,,,Gulshan Zafar Colony,1  9  9  0   7  0  3  0  7,,0,55,55,,,
"",,,,Balal Park No.4,199070505,,0,599,599,,,
"",,,,Balal Park No.5,199070506,,0,157,157,,,
"",,,,Balal Park No.6,199070507,,0,304,304,,,
164,"164. Sub-Divisional Officer WapdaCanal Park Muridke (Male) (P)*",,,Basra Colony No.1,1  9   9  0  7  0  4   0  3,,1402,0,1402,3,0,3
"",,,,Basra Colony No.1,1  9   9  0  7  0  4   0  7,,0,0,0,,,
165,"165. Sub-Divisional Officer WapdaCanal Park Muridke (Male) (P)*",,,Basra Colony No.2,1  9   9  0  7  0  4   0  4,,374,0,374,3,0,3
"",,,,Basra Colony No.2,1  9   9  0  7  0  4   0  8,,206,0,206,,,
"",,,,Basra Colony No.4,199070405,,513,0,513,,,
"",,,,Basra Colony No.3,199070504,,244,0,244,,,
166,"166. Sub-Divisional Officer WapdaDivision, Canal Park, Muridke",,,Basra Colony No.1,1  9   9  0  7  0  4   0  3,,0,922,922,0,4,4
"",,,,Basra Colony No.1,1  9   9  0  7  0  4   0  7,,0,51,51,,,
"",,,,Basra Colony No.4,199070405,,0,379,379,,,
"",,,,Basra Colony No.4,199070504,,0,169,169,,,
167,"167. Government.Boys PrimarySchool Basra Colony Muridke(Male) (P)*",,,Rahmania Colony,1  9  9  0  7   0  3  0  2,,283,0,283,2,0,2
"",,,,Dhakam Pura,199070401,,503,0,503,,,
"",,,,Dhakam Pura,199070406,,437,0,437,,,
168,"168. Government.Boys PrimarySchool Basra Colony Muridke",,,Rahmania Colony,199070301,,543,0,543,2,0,2
"",,,,Tamber Markeet,199070402,,599,0,599,,,
169,"169. Government.Boys PrimarySchool Firdous Colony NearTimber Markeet Muridke(Female)(P)*",,,Rahmania Colony,1  9  9  0  7   0  3  0  1,,0,3  9  5,3  9   5,0,4,4
"",,,,Rahmania Colony,199070302,,0,200,200,,,
"",,,,Dhakam Pura,199070401,,0,445,445,,,
"",,,,Dhakam Pura,199070406,,0,262,262,,,
170,"170. Government.Boys PrimarySchool Firdous Colony NearTimber Markeet Muridke. (155)",,,Timber Market,199070402,,0,450,450,0,2,2
"",,,,Basra Colony No.2,199070404,,0,258,258,,,
"",,,,Basra Colony No.2,199070408,,0,118,118,,,
171,"171. Government.Jinaz Gah QilaMaseeta,Hadoke (Male) (P)*",,,Hadokey,199070106,,444,0,444,3,0,3
"",,Hadokey,199070109,,330,0,330,,,,,
"",,Mohallah Sultania Hadokey,199070107,,797,0,797,,,,,
"",,Hadokey,199070104,,338,0,338,,,,,
173,"173. Government.Boys PrimarySchool Qila Maseeta Hadoke(Male) (P)*",,,"Qila Maseta HadokeyGhosia Colony",199070103,,825,0,825,3,0,3
"",,,,"Qila Maseta HadokeyGhosia Colony",199070108,,430,0,430,,,
"",,,,Hadokey Muridke,199070203,,218,0,218,,,
174,"174. Government.Girls PrimarySchool Hadoke (Female) (P)*",,,Hadokey Qila Maseta,1  9  9  0  7   0  1  0  5,,0,666,666,0,3,3
"",,,,Hadokey,199070106,,0,332,332,,,
"",,,,Hadokey,199070109,,0,209,209,,,
175,"175. Government Boys PrimarySchool Qila Maseeta, Muridke.(159)",,,Hadokey,199070104,,0,265,265,0,3,3
"",,,,Mohallah Sultani Hadokey,199070107,,0,604,604,,,
176,"176. Government Degree CollegeMuridke",,,"Qila Maseta HadokeyGhosia Colony",199070103,,0,624,624,0,4,4
"",,,,"Qila Maseta HadokeyGhosia Colony",199070108,,0,316,316,,,
"",,,,Hadokey Muridke,199070203,,0,140,140,,,
"",,,,Hadokey,199070304,,0,337,337,,,
177,"177. Government.Boys PrimarySchool No.2 Qazafi Park Muridke(Male) (P)*",,,Hadokey Ghosia Colony,1  9  9  0  7   0  1  0  1,,409,0,409,4,0,4
"",,,,Hadokey Muridke,199070201,,458,0,458,,,
"",,,,Hadokey Muridke,199070207,,460,0,460,,,
178,"178. Government Girls DegreeCollege, Muridke (161)",,,Hadokey Havi Pura,1  9  9   0  7  0  1  0   2,,458,0,458,3,0,3
"",,,,Hadokey Tar Bazar,199070204,,521,0,521,,,
179,"179. Government Degree College,Muridke",,,Hadokey Abbas Pura,199070206,,314,0,314,4,0,4
"",,,,Hadokey,199070304,,382,0,382,,,
"",,,,Mohallah Hadokey,199070305,,650,0,650,,,
180,"180. Government Primary SchoolNo. 2, Behind Thana SadarMuridke (Male) (T)**",,,Hadokey Muridke,1  9  9   0  7  0  2  0   2,,280,0,280,3,0,3
"",,,,Hadokey Qila Maseta,199070205,,630,0,630,,,
"",,,,Hadokey Muridke,199070306,,473,0,473,,,
181,"181. Government.Boys HighSchool Qila Maseeta Hadoke(Female) (P)*",,,Hadokey Havi Pura,1  9  9   0  7  0  1  0   2,,0,341,341,0,3,3
"",,,,Hadokey Qila Maseta,199070205,,0,436,436,,,
"",,,,Hadokey Abbas Pura,199070206,,0,205,205,,,
"",,,,Mohallah Hadokey,199070305,,0,488,488,,,
182,"182. Government.Boys HighSchool Qila Maseta Hadoke(Female) (P)*",,,Hadokey Ghosia Colony,1  9  9  0  7   0  1  0  1,,0,2  9  6,296,0,4,4
"",,,,Hadokey Muridke,199070201,,0,278,278,,,
"",,,,Hadokey Muridke,199070207,,0,344,344,,,
"",,,,Hadokey Muridke,199070202,,0,200,200,,,
"",,,,Hadokey Tar Bazar,199070204,,0,325,325,,,
"",,,,Hadokey Muridke,199070306,,0,319,319,,,
183,"183. Government Ali AbbasShaheed Higher Secondary School,Muridke",,,Quazafi Park,199090106,,675,540,540,1,1,2
"",,Canal Park No.3,199070603,,594,0,594,,,,,
"",,Canal Park No.5,199070605,,466,0,466,,,,,
185,"185. Government Ali AbbasShaheed Higher Secondary School(Sir Syed Block) Muridke",,,Canal Park No.1,1  9  9  0  7  0  6  0  2,,4   9  6,0,4  9  6,3,0,3
"",,,,Canal Park No.3,199070604,,425,0,425,,,
"",,,,Ashrafi Chowk Piran Mandi,199090101,,459,0,459,,,
186,"186. Government Ali AbbasShaheed Higher Secondary School(Chemistry Lab) Muridke",,,Piran Mandi,1  9  9   0  9  0  1  0   3,,0,3   3  4,3  3  4,0,3,3
"",,,,Qazafi Park,199090105,,0,463,463,,,
"",,,,Qazafi Park,199090107,,0,351,351,,,
187,"187. Government Ali AbbasShaheed Higher Secondary School(Jinnah Block-I) Muridke",,,Piran Mandi,1  9  9   0  7  0  6  0   1,,4  8  9,0,4  8  9,4,0,4
"",,,,Piran Mandi,199090102,,937,0,937,,,
"",,,,Piran Mandi,199090103,,440,0,440,,,
188,"188. Government Ali Abbas HigherSecondary School (Jinnah Block-2)Muridke",,,Qazafi Park,1  99090104,,647,519,1166,1,1,2
189,"189. Government Ali Abbas HigherSecondary School (Bio Lab HigherBlock) Muridke",,,Piran Mandi,199070601,,0,397,397,0,4,4
"",,,,Canal Park No.1,199070602,,0,426,426,,,
"",,,,Ashrafi Chowk Piran Mandi,1  9   9  0  9  0  1   0  1,,0,3   6  7,3  6  7,,,
"",,,,Piran Mandi,199090102,,0,709,709,,,
190,"190. Government Ali Abbas HigherSecondary School (Iqbal Block)",,,Qazafi Park,1  99090105,,598,0,598,2,0,2
"",,,,Qazafi Park,199090107,,487,0,487,,,
191,"191. Government.Primary SchoolCanal Park Muridke (Female) (P)*",,,Canal Park No.2,1  9  9  0  7  0  6  0  3,,0,494,494,0,4,4
"",,,,Canal Park No.3,199070604,,0,402,402,,,
"",,,,Canal Park No.4,199070605,,0,181,181,,,
"",,,,Canal Park No.4,199070606,,0,695,695,,,
192,"192. Government.Girls ElementarySchool Daoke (Female) (P)*",,,Old Daokey,1  9   9  0  9  0  3   0  1,,0,430,430,0,3,3
"",,Old Daokey,1  9  9  0  5  2   1  0  8,,,,0,83,83,,,
"",,Old Daokey,1  9  9  0  5  2   1  0  9,,,,0,22,22,,,
"",,Old Daokey,1  9  9  0  5  2   1  1  0,,,,0,97,97,,,
"",,Old Daokey,1  9  9  0  5  2   1  1  1,,,,0,60,60,,,
"",,Old Daokey,1  9  9  0  5  2   1  1  2,,,,0,69,69,,,
"",,Old Daokey,1  9  9  0  5  2   1  1  3,,,,0,43,43,,,
"",,,,Old Daokey,199090302,,0,196,196,,,
"",,,,Old Daokey,199090303,,0,317,317,,,
193,"193. Government.Boys PrimarySchool Dahoke (Male) (P)*",,,Old Daokey,1  9   9  0  9  0  3   0  1,,524,0,524,4,0,4
Old Daokey,1  9  9  0  5  2   1  0  8,,,,120,0,120,,,,,
Old Daokey,1  9  9  0  5  2   1  0  9,,,,28,0,28,,,,,
Old Daokey,1  9  9  0  5  2   1  1  0,,,,157,0,157,,,,,
Old Daokey,1  9  9  0  5  2   1  1  1,,,,89,0,89,,,,,
Old Daokey,1  9  9  0  5  2   1  1  2,,,,115,0,115,,,,,
Old Daokey,1  9  9  0  5  2   1  1  3,,,,97,0,97,,,,,
"",,Old Daokey,199090302,,285,0,285,,,,,
"",,Old Daokey,199090303,,484,0,484,,,,,
"",,Daokey,1  9  9  0  9  0   2  0  3,,0,459,459,,,,,
"",,Daokey,1  9  9  0  9  0   2  0  7,,0,241,241,,,,,
"",,Muzaim Park,199090204,,0,280,280,,,,,
195,"195. Sui Gas Office Muridke(Male) (P)*",,,Daokey,1  9  9  0  9  0   2  0  3,,6   7  2,0,6  7  2,3,0,3
"",,,,Daokey,1  9  9  0  9  0   2  0  7,,3   2  0,0,3  2  0,,,
"",,,,Noor Pur Daokey,199090305,,107,0,107,,,
196,"196. Government Girls PrimarySchool Daokey. (178)",,,Moazam Park,199090204,,406,0,406,3,0,3
"",,,,Daokey,199090205,,697,0,697,,,
197,"197. Government.Girls HigherSecondary School MuridkePrincipal Office Block (179)",,,Noor Pur Daokey,199090305,,0,57,57,0,3,3
"",,,,Rehman Pura No.1,199090403,,0,317,317,,,
"",,,,Rehman Pura No.3,199090405,,0,585,585,,,
198,"198. Government.Girls ElementarySchool Rehmanpura (Female) (P)*",,,Rehman Pura No.2,1   9  9  0  9  0   4  0  4,,0,2  1  0,210,0,3,3
"",,,,Rehman Pura No.4,199090406,,0,279,279,,,
"",,,,Rehman Pura No.5,199090407,,0,527,527,,,
199,"199. New Building TMA, (LeftPortion) Muridke (Male) (T)**",,,Rehman Pura No.2,1   9  9  0  9  0   4  0  4,,3  0   6,0,306,3,0,3
"",,,,Rehman Pura No.4,199090406,,363,0,363,,,
"",,,,Rehman Pura No.5,199090407,,741,0,741,,,
200,"200. Government.SpecialEducation Centre (Male) (P)*",,,Rehman Pura No.3,199090405,,727,0,727,2,0,2
201,"201. New Building TMA, (RightPortion) Muridke (Male) (T)**",,,Rehman Pura Daokey,1   9  9  0  9  0   2  0  1,,585,0,585,4,0,4
"",,,,Daokey,199090202,,457,0,457,,,
"",,,,Daokey,199090206,,632,0,632,,,
"",,,,Jalal Town,199090304,,222,0,222,,,
202,"202. Government Degree College,Muridke",,,Rehman Pura Daokey,1   9  9  0  9  0   2  0  1,,0,391,391,0,2,2
"",,,,Daokey,199090202,,0,438,438,,,
"",,,,Daokey,199090206,,0,375,375,,,
"",,,,Jalal Town,199090304,,0,167,167,,,
203,"203. Basic Health Centre Lambray(Male) (P)*",Lambray,199050401,,,,366,0,366,2,0,2
"",,Lambray,199050403,,,,463,0,463,,,
204,"204. Government.Boys MiddleSchool Lambray (Female) (P)*",Lambray,199050401,,,,0,284,284,0,2,2
"",,Lambray,199050403,,,,0,384,384,,,
205,"205. Government GirlsCommunity Model School, Mari",Mari Challean,199050402,,,,293,204,497,1,1,2
"",,Mari Challean,199050404,,,,412,228,640,,,
206,"206. Government.Boys HighSchool Tipiala Dost Muhammad(P)*",Tipiala Dost Muhammad,199050601,,,,257,167,424,1,1,2
"",,Tipiala Dost Muhammad,199050602,,,,426,296,722,,,
207,"207. Government.Boys HighSchool Tipiala Dost Muhammad(P)*",Tipiala Dost Muhammad,199050603,,,,245,170,415,1,1,2
Tipiala Dost Muhammad,199050604,,,,304,210,514,,,,,
Tipiala Dost Muhammad,199050605,,,,495,358,853,,,,,
Tipiala Dost Muhammad,199050606,,,,158,73,231,,,,,
