"Polling Station Serial No",Polling Station Name,Electoral Area,Block Code,Male Voters,"Female Voters","Total Voters","Male Booths","Female Booths","Total Booths","Polling Station Type"
"",,"Basti Molvi Hiyat NearRailway Phatak",220070403,0,318,318,,,,
4,"M.C Primary SchoolNo-7 -B OldKhanewal.","House FaisalImam/ShabnamCinema/Chah Niazi",220070201,0,471,471,0,2,2,Female
"",,"WalaHouse FaisalImam/ShabnamCinema/Chah Niazi",220070206,0,471,471,,,,
"",,WalaHabat Kot/Fareed Abad,220070202,0,218,218,,,,
"",,"Chah Niazi Wala/StationRoad Old Kharkhana",220070404,0,148,148,,,,
5,"Govt. CommunityModel GP School(Old Khanewal)(II-Port)","Old Khanewal/MohallahChiti Khoti",220070302,704,607,1311,2,1,3,Combined
"Old Khanewal/MohallahChiti Khoti",220070308,704,607,1311,,,,,,
"",Khanewal.,"Mohallah Bhatian/ OldKhanewal",220070304,0,260,260,,,,
7,"Gvot.GirlsPry.SchoolFaridabad","Bhatta Zafar Ullah /Fareed Abad",220070101,0,420,420,0,2,2,Female
"Rajpah NankPur/Mohallah PharianWala",220070102,0,102,102,,,,,,
Sirjia Town /Basti,220070103,0,45,45,,,,,,
Basti Sirajia,220070104,0,92,92,,,,,,
"MushtaqColony/Railway Phatak",220070203,0,204,204,,,,,,
"Bhatta Zafar Ullah /Fareed Abad",220070101,510,0,510,,,,,,
"Rajpah NankPur/Mohallah PharianWala",220070102,153,0,153,,,,,,
Sirjia Town /Basti,220070103,66,0,66,,,,,,
"",,"MushtaqColony/Railway Phatak",220070203,260,0,260,,,,
9,"Govt. Boys HighSchool AhmadNagar","Mohallah FareedAbad/Bhatta AbdulMajid",220070204,657,530,657,1,1,2,Combined
"",,"Mohallah FareedAbad/Bhatta AbdulMajid",220070205,657,530,657,,,,
10,"Office of the Districtofficer RoadKhanewal.","Mohallah Farukh Abad /Old Khanewal",220070303,553,0,553,2,0,2,Male
"",,"Mohallah Bhatian/ OldKhanewal",220070304,255,0,255,,,,
11,"Office of the Districtofficer RoadKhanewal","Old Khanewal/Mohallah Qazian",220070301,492,400,892,1,1,2,Combined
12,"Govt. Boys PrimarySchool Pari Wala No1 (Basti Aziz Abad)",Aziz Abad,220070105,502,398,900,1,1,2,Combined
Lahore Mor Khanewal,220070305,101,0,101,,,,,,
"Basti Kot HaqNawaz/Old Khanewal",220070306,361,0,361,,,,,,
"",,"Lhr Mor GulistanColony/Basti Kot HaqNawaz",220070309,405,0,405,,,,
"",,Basti Kot Madina,220070401,292,0,292,,,,
14,"C.T.M. Girls PrimarySchool Khanewal",Lahore Mor Khanewal,220070305,0,98,98,0,2,2,Female
"Basti Kot HaqNawaz/Old Khanewal",220070306,0,256,256,,,,,,
"Lhr Mor GulistanColony/Basti Kot HaqNawaz",220070307,0,353,353,,,,,,
"Lhr Mor GulistanColony/Basti Kot HaqNawaz",220070309,0,353,353,,,,,,
Basti Kot Madina,220070401,0,248,248,,,,,,
"Yousaf Abad NearChawni Khanewal",220070501,262,0,262,,,,,,
Basti Khalil Abad,220070502,380,0,380,,,,,,
"",,"Railway Landhi/RailwayColony",220070504,688,0,688,,,,
16,"M.C.Boys Middle  6-B School,RailwaysColony, Khanewal","Yousaf Abad NearChawni Khanewal",220070501,0,211,211,0,2,2,Female
"",,Basti Khalil Abad,220070502,0,315,315,,,,
"",,"Basti Khalil Abad / OadBasti",220070503,0,341,341,,,,
"",,"Railway Landhi/RailwayColony",220070504,0,471,471,,,,
17,"Govt . Public HighSchool, (Westportion)Khanewal",Islam Park/Vehari Adda,220080204,718,0,718,2,0,2,Male
"Civil Line/ChirctianColony",220080303,544,0,544,,,,,,
Yousaf Park,220080304,20,0,20,,,,,,
Islam Park/Vehari Adda,220080204,0,586,586,,,,,,
"",,Yousaf Park,220080304,0,18,18,,,,
19,"Govt .Boys ModelHigh SchoolKhanewal,(AcadmicWing)",Chan Shah Town,220080101,735,0,735,2,0,2,Male
"",,Chan Shah Town,220080106,735,0,735,,,,
"",,Chan Shah Town,220080102,372,0,372,,,,
"",,"Chan ShahTown/Quarters Hospital",220080105,104,0,104,,,,
20,"Govt .Boys ModelHigh SchoolKhanewal, (Hostel)",Chan Shah Town,220080101,0,514,514,0,2,2,Female
Chan Shah Town,220080106,0,514,514,,,,,,
Chan Shah Town,220080102,0,301,301,,,,,,
"Chan ShahTown/Quarters Hospital",220080105,0,84,84,,,,,,
"",Portion),"Mohallah NizamAbad/Railway Stand",220080104,40,41,81,,,,
22,"Govt .Girls MiddleSchool, Railways (IstPortion)","Sleeper Colony/ JamiaAbad",220090201,288,0,288,3,0,3,Male
"",,Mujahid Abad,220090202,598,0,598,,,,
"",,Railway Quarters,220090203,287,0,287,,,,
"",,"Locoshed / RailwayColony",220090204,241,0,241,,,,
23,"Govt .Girls MiddleSchool, Railways(IIst Portion)","Sleeper Colony/ JamiaAbad",220090201,0,227,227,0,2,2,Female
Mujahid Abad,220090202,0,483,483,,,,,,
Railway Quarters,220090203,0,256,256,,,,,,
"Locoshed / RailwayColony",220090204,0,223,223,,,,,,
"",,Mohallah Nizam Abad,220090105,572,0,572,,,,
"",,Mohallah Nizam Abad,220090109,572,0,572,,,,
"",,Mohallah Nizam Abad,220090106,112,0,112,,,,
"",,"Rehman Colony/ IrshadColony",220090107,413,0,413,,,,
"",,"Rehman Colony/ IrshadColony",220090110,413,0,413,,,,
25,"Govt .Boys PrySchool, Peoplescolony, Khanewal","Peoples Colony / XBlock",220090108,359,351,359,1,1,2,Combined
"",,"Peoples Colony / XBlock",220090111,359,351,359,,,,
26,"Govt .Boys PrySchool, Peoplescolony, Khanewal","Peoples Colony/ WBlock",220090205,532,445,532,1,1,2,Combined
Mohallah Nizam Abad,220090104,0,206,206,,,,,,
"",,Mohallah Nizam Abad,220090109,0,462,462,,,,
"",,Mohallah Nizam Abad,220090106,0,77,77,,,,
"",,"Rehman Colony/ IrshadColony",220090107,0,335,335,,,,
"",,"Rehman Colony/ IrshadColony",220090110,0,335,335,,,,
28,"Govt . VocationalCollege Khanewal(Ist Portion)","Hakeem Abad / CivilLine",220090304,615,0,615,2,0,2,Male
"",,"Hakeem Abad / CivilLine",220090305,615,0,615,,,,
29,"Govt . VocationalCollege Khanewal(IIst Portion)","Hakeem Abad / CivilLine",220090304,0,616,616,0,2,2,Female
"Hakeem Abad / CivilLine",220090305,0,616,616,,,,,,
Block No-14-15,220080401,503,0,503,,,,,,
"",,"Shadman Town/ GreeenTown",220080608,642,0,642,,,,
31,"MincipalStadium,Khanewal","Stadium Road/ GareebAbad",220080607,548,486,1034,1,1,2,Combined
32,"Govt .Girls PrySchool, ShadmanTown,Gharibabad,Khanewal",Block No-14-15,220080401,0,429,429,0,2,2,Female
"",,"Stadium Road/ GareebAbad",220080605,0,510,510,,,,
"",,"Stadium Road/ GareebAbad",220080608,0,510,510,,,,
33,"Govt . CommerceCollege, Khanewal",3 Marla Scheem,220090206,157,138,295,1,1,2,Combined
"",,Peoples Colony/ Z Block,220090207,417,392,809,,,,
34,"Office of UsharZakat, Khanewal","Clony No-1/MinarMasjid",220080603,346,0,346,2,0,2,Male
"Colony No-1/ NoorMasjid",220080606,601,0,601,,,,,,
"","Stadium Road,Khanewal","Colony No-1/ NoorMasjid",220080606,0,495,495,,,,
36,"Govt .Girls PrySchool, Block No 11Near Jamia Iniytia","Block No-10,11",220080405,705,0,705,2,0,2,Male
37,"Khanewal  (Part-1) Govt .Girls PrySchool,Block.No.11, Jamia","Block No-10,11",220080405,0,614,614,0,2,2,Female
38,"Inayatia, Gate.No.02 Govt .Girls ModelHigh School, MainGate(Ist Portion Kwl,","Block-3,4,7,8",220080305,1562,0,1562,3,0,3,Male
"",,"Block-3,4,7,8",220080307,1562,0,1562,,,,
39,"Govt .Girls ModelHigh School, (OfficePortion) Khanewal,","Block-3,4,7,8",220080305,0,1309,1309,0,2,2,Female
"",,"Block-3,4,7,8",220080307,0,1309,1309,,,,
40,"M.C.Boys MiddleSchool 1-B,Khanewal.","BLOCK NO. 12,16",220080402,333,0,333,1,0,1,Male
41,"M.C.Girls HighSchool, Khanewal.","BLOCK NO. 12,16",220080402,0,302,302,0,1,1,Female
"",,"KharkhanaShakoor/Azeem Town",220080202,800,0,800,,,,
"",,"KharkhanaShakoor/Azeem Town",220080205,800,0,800,,,,
43,"Office of AsstDirector Live Stock,Khanewal",Lakar Mandi/Islam Park,220080201,0,46,46,0,2,2,Female
"",,"KharkhanaShakoor/Azeem Town",220080202,0,628,628,,,,
"",,"KharkhanaShakoor/Azeem Town",220080205,0,628,628,,,,
44,"Office of MarketCommittee,Khanewal.",Lakar Mandi/Islam Park,220080203,753,0,753,2,0,2,Male
45,"Office of MarketCommittee,Khanewal",Lakar Mandi/Islam Park,220080203,0,587,587,0,2,2,Female
46,"M.C.Boys PrySchool 2-B, BlockNo.6, Khanewal","BLOCK NO. 1,2,5,6",220080306,2420,0,2420,4,0,4,Male
"BLOCK NO. 1,2,5,6",220080308,2420,0,2420,,,,,,
48,"M.C.Boys PrySchool 2-B BlockNo.6, Khanewal","BLOCK NO. 1,2,5,6",220080306,0,1958,1958,0,4,4,Female
"",,"BLOCK NO. 1,2,5,6",220080308,0,1958,1958,,,,
"",,"BLOCK NO. 1,2,5,6",220080309,0,1958,1958,,,,
49,"Govt .Boys PrySchool Mehra Abad(Khokharabad)KWL.","Madina Colony /Khuram Pura",220090301,185,0,185,2,0,2,Male
"Madina Colony /Khuram Pura",220090302,121,0,121,,,,,,
Khuram Pura,220090303,334,0,334,,,,,,
Khuram Pura,220090306,334,0,334,,,,,,
Khokra Abad,220090401,260,0,260,,,,,,
Khokra Abad,220090402,409,0,409,,,,,,
""
""
"",KWL.,Raheem Town,220090403,270,179,270,,,,
"",,MC Khanewal,220090406,1,0,1,,,,
"",,Khokra Abad,220090605,326,233,326,,,,
51,"Govt .Girls PrySchool,Khokharabad","Madina Colony /Khuram Pura",220090301,0,118,118,0,2,2,Female
"Madina Colony /Khuram Pura",220090302,0,81,81,,,,,,
Khuram Pura,220090303,0,309,309,,,,,,
Khuram Pura,220090306,0,309,309,,,,,,
Khokra Abad,220090401,0,215,215,,,,,,
Khokra Abad,220090402,0,315,315,,,,,,
"",Portion),Basti Abbas Nagar,220090504,365,0,365,,,,
"",,Basti Abbas Nagar,220090505,295,0,295,,,,
"",,Jaswant Nagar,220090601,590,0,590,,,,
"",,Kamran Colony,220090604,267,0,267,,,,
53,"Govt .Deaf & Dumb,School, AbassNagar, Khanewal(IInd Portion)",Shadab Town,220090404,0,75,75,0,2,2,Female
Basti Abbas Nagar,220090504,0,293,293,,,,,,
Basti Abbas Nagar,220090505,0,206,206,,,,,,
Jaswant Nagar,220090601,0,479,479,,,,,,
Kamran Colony,220090604,0,246,246,,,,,,
"",,"Clony/No-1/ChokFarooq Azam",220080704,626,0,626,,,,
55,"Govt .Boys DegreeCollege, Kwl (IIndPort)","Colony No-1/MohallahLoharan",220080703,0,185,185,0,2,2,Female
"",,"Clony/No-1/ChokFarooq Azam",220080704,0,481,481,,,,
56,"Govt .Girls DegreeCollege Khanewal,","Colony No-1/ BilaliMasjid",220080705,137,94,231,1,1,2,Combined
57,"Govt .Boys DegreeCollege Khanewal,(Hostal)","Sargana House/ColonyNo-2",220080501,966,0,966,3,0,3,Male
"Sargana House/ColonyNo-2",220080504,966,0,966,,,,,,
Clony No-2/Civil Line,220080503,701,0,701,,,,,,
Clony No-2/Civil Line,220080505,701,0,701,,,,,,
"Sargana House/ColonyNo-2",220080501,0,737,737,,,,,,
59,"Govt .Girls DegreeCollege Khanewal,(Hostal)",Clony No-2/Civil Line,220080503,0,555,555,0,2,2,Female
"",,Clony No-2/Civil Line,220080505,0,555,555,,,,
60,"Office DistrictEducation Officer(Secondry)Khanewal,",RCA Colony/Civil Line,220080301,50,42,92,1,1,2,Combined
"",,Civil Line,220080302,76,69,145,,,,
"",,Civil Line,220080502,90,70,160,,,,
61,"M.C.Girls PrySchool, Kutia(IstPortion)","Kot MohammadHusssain",220090501,646,0,646,2,0,2,Male
"Kot MohammadHusssain",220090506,646,0,646,,,,,,
"Kot MohammadHusssain",220090502,274,0,274,,,,,,
Madina Town,220090503,272,0,272,,,,,,
"",,"Kot MohammadHusssain",220090506,0,560,560,,,,
"",,"Kot MohammadHusssain",220090502,0,205,205,,,,
"",,Madina Town,220090503,0,257,257,,,,
63,"M.C Boys PrySchool,11/B,Colony.No.3Khanewal",Colony No-3,220080901,346,0,346,2,0,2,Male
Colony No-3,220080902,303,0,303,,,,,,
Colony No-3,220080903,223,0,223,,,,,,
Colony No-3,220080904,348,0,348,,,,,,
"Colony No-3/MultaniDarbar",220080905,232,160,392,,,,,,
"Colony No-3/MultaniDarbar",220080906,249,200,449,,,,,,
65,"M.C Boys PrySchool,11/B,Colony.No.3Khanewal","Colony No-3/MultaniDarbar",220080908,306,233,539,2,2,4,Combined
"",,Colony No-3,220081007,103,72,175,,,,
66,"M.C Boys PrySchool,11/B,Colony.No.3Khanewal",Jaswant Nagar,220090602,1259,0,1259,2,0,2,Male
"",,Jaswant Nagar,220090608,1259,0,1259,,,,
67,"M.C.Girls PrySchool Near JaswantNagar Chowk,Colony No.3,Khanewal",Jaswant Nagar,220090602,0,966,966,0,2,2,Female
Jaswant Nagar,220090608,0,966,966,,,,,,
Colony No-3,220080901,0,301,301,,,,,,
Colony No-3,220080902,0,243,243,,,,,,
Colony No-3,220080903,0,175,175,,,,,,
"",,"Colony No-3/MultaniDarbar",220080905,0,160,160,,,,
"",,"Colony No-3/MultaniDarbar",220080906,0,200,200,,,,
69,"Tehsil Office,Khanewal",Jaswant Nagar,220090603,123,0,123,2,0,2,Male
Al-Haram City,220090606,133,0,133,,,,,,
"Makkah Town FaisalTown",220090607,508,0,508,,,,,,
"Makkah Town FaisalTown",220090609,508,0,508,,,,,,
"Ameen Town / ColonyNo-3",220081002,42,0,42,,,,,,
Jaswant Nagar,220090603,0,102,102,,,,,,
Al-Haram City,220090606,0,96,96,,,,,,
"",,"Makkah Town FaisalTown",220090609,0,372,372,,,,
"",,"Ameen Town / ColonyNo-3",220081002,0,32,32,,,,
71,"Office PASCOGodown,Colony.No.3 (IstPortion)","Colony No-1/ SadiqyaMasjd",220080601,383,0,383,2,0,2,Male
"",,"Colony No-3/ MehboobMasjid",220080604,311,0,311,,,,
"",,Colony No-3,220080805,143,0,143,,,,
72,"Office PASCOGodown,Colony.No.3 (IIstPortion)","Colony No-1/ SadiqyaMasjd",220080601,0,316,316,0,2,2,Female
"Colony No-3/ MehboobMasjid",220080604,0,266,266,,,,,,
Colony No-3,220080805,0,124,124,,,,,,
Colony No-3,220080802,334,0,334,,,,,,
""
""
"",,Colony No-3,220081005,86,0,86,,,,
"",,Colony No-3,220081006,716,0,716,,,,
"",,Colony No-3,220081009,716,0,716,,,,
74,"Govt .Girls HassanModel High School,(Part-II)",Colony No-3,220080802,0,240,240,0,2,2,Female
Colony No-3,220081004,0,216,216,,,,,,
Colony No-3,220081005,0,74,74,,,,,,
Colony No-3,220081006,0,573,573,,,,,,
Colony No-3,220081009,0,573,573,,,,,,
"Colony No-3/ MakiMasjid",220080801,208,0,208,,,,,,
"",,Maki Masjid,220080806,507,0,507,,,,
76,"Govt .Girls MiddleSchool Kot Beerbal(Pry Portion)",Colony No-3/Kot Birbal,220080909,756,591,1347,2,2,4,Combined
"",,Colony No-3/Kot Birbal,220080911,756,591,1347,,,,
"",,Kot Birbal/Ameen Town,220080910,299,231,630,,,,
77,"Govt .Girls MiddleSchool Kot Beerbal(Pry Portion)","Colony No-3/ MakiMasjid",220080801,0,141,141,0,2,2,Female
"",,Maki Masjid,220080804,0,427,427,,,,
"",,Maki Masjid,220080806,0,427,427,,,,
78,"Mc.Boys PrimarySchool No-4 (LalSchool) Khanewal",Colony No-3/ Islam Pura,220080707,712,546,1258,2,1,3,Combined
Colony No-3/ Islam Pura,220080708,712,546,1258,,,,,,
"",,"Rehmania Masjid /Colony No-3",220080803,283,220,503,,,,
"",,Colony No-3,220081003,233,203,436,,,,
80,"Govt .Girls PrySchool, Kot AllahSingh, Near PoliceWelfare PetrolPump, Kwl",Kot Alla Singh,220081201,492,0,492,2,0,2,Male
"",,Kot Alla Singh,220081205,492,0,492,,,,
"",,Kot Alla Singh,220081202,213,0,213,,,,
"",,Green Town,220081203,329,0,329,,,,
"",,Green Town,220081204,263,0,263,,,,
81,"M.C.Girls PrySchool Marzipura",Islam Pura,220081101,471,0,471,2,0,2,Male
Islam Pura,220081102,326,0,326,,,,,,
"",,Islam Pura,220081106,310,227,537,,,,
"",,Islam Pura,220081107,199,154,353,,,,
83,"Govt .Boys MiddleSchool, KambohNagar (Ist Part)Khanewal",Kot Alla Singh,220081201,0,385,385,0,2,2,Female
"",,Kot Alla Singh,220081205,0,385,385,,,,
"",,Kot Alla Singh,220081202,0,184,184,,,,
"",,Green Town,220081203,0,283,283,,,,
"",,Green Town,220081204,0,196,196,,,,
84,"Govt .Boys MiddleSchool, KambohNagar(IIndPort)Khanewal",Islam Pura,220081101,0,382,382,0,2,2,Female
Islam Pura,220081102,0,262,262,,,,,,
"",,Marzi Pura,220081008,940,0,940,,,,
86,"Govt .Girls PrySchool Beri walaGravyard",Marzi Pura,220081104,614,474,1088,2,1,3,Combined
"",,Marzi Pura,220081105,251,200,451,,,,
87,"Govt .Boys PrySchool MarzipuraNo.1",Marzi Pura,220081001,0,707,707,0,2,2,Female
"",,Marzi Pura,220081008,0,707,707,,,,
88,"Govt .Girls PrimarySchool, Tariqabad,Khanewal (Part-1)",Tariq Abad/Block No-9,220080404,765,0,765,2,0,2,Male
89,"Govt .Girls PrimarySchool, Tariqabad,Khanewal (Part-1)","Mohallah Bilal/TariqAbad",220080406,1120,883,2003,2,2,4,Combined
"",,"Mohallah Bilal/TariqAbad",220080407,1120,883,2003,,,,
90,"Govt .Girls PrimarySchool, Tariqabad,Khanewal    (Part-II)",Tariq Abad/Block No-9,220080404,0,699,699,0,2,2,Female
"",,"Imam Bargah/Colony No1",220080602,658,0,658,,,,
"",,Colony No-1,220080701,220,0,220,,,,
"",,"Noor Masjid/ Colony No1",220080702,315,0,315,,,,
92,"M.C.Govt . PrySchool,   5/BGhareebabadStadium Road,  GateNo.2, Kwl",Block No.13,220080403,0,143,143,0,2,2,Female
"Imam Bargah/Colony No1",220080602,0,531,531,,,,,,
Colony No-1,220080701,0,183,183,,,,,,
"Noor Masjid/ Colony No1",220080702,0,256,256,,,,,,
Afzal Town,220090101,113,98,211,,,,,,
Gulbarg No-1,220090102,250,203,453,,,,,,
94,"Govt .Boys MiddleSchool, 88/10-R",Chak No.88/10-R,220090801,283,192,475,1,1,2,Combined
"",,Chak No.88/10-R,220090802,319,242,561,,,,
"",,Chak No.88/10-R,220090803,175,117,292,,,,
95,"Govt .Girls MiddleSchool 88/10-RKhanewal",Chak No.88/10-R,220090805,690,464,1154,1,1,2,Combined
96,"Govt .Girls MiddleSchool 88/10-RKhanewal",Chak No.88/10-R,220090804,319,222,541,2,1,3,Combined
"",,Chak No.88/10-R,220090806,435,326,761,,,,
97,"Govt .Girls PrySchool    88-A/10-R",Chak No.88A/10-R,220010506,208,177,385,1,1,2,Combined
"",,Chak No.88A/10-R,220010507,423,329,752,,,,
98,"Govt .Girls PrySchool    88-A/10-R",Chak No.88A/10-R,220010505,504,359,863,1,1,2,Combined
"",,Chak No.168/10-R,220010531,550,448,998,,,,
100,"Govt .Boys PrySchool, 168/10-R",Chak No.168/10-R,220010514,1490,0,1490,3,0,3,Male
Chak No.168/10-R,220010515,1490,0,1490,,,,,,
Chak No.168/10-R,220010516,1490,0,1490,,,,,,
Chak No.168/10-R,220010526,1490,0,1490,,,,,,
Chak No.168/10-R,220010527,1490,0,1490,,,,,,
Chak No.168/10-R,220010528,1490,0,1490,,,,,,
Chak No.168/10-R,220010529,1490,0,1490,,,,,,
Chak No.168/10-R,220010530,1490,0,1490,,,,,,
"",Chak No.168/10-R,220010515,0,1149,1149,,,,
Chak No.168/10-R,220010516,0,1149,1149,,,,,
Chak No.168/10-R,220010526,0,1149,1149,,,,,
Chak No.168/10-R,220010527,0,1149,1149,,,,,
Chak No.168/10-R,220010528,0,1149,1149,,,,,
Chak No.168/10-R,220010529,0,1149,1149,,,,,
Chak No.168/10-R,220010530,0,1149,1149,,,,,
Chak No.168/10-R,220010519,267,210,477,,,,,
Chak No.168/10-R,220010532,267,210,477,,,,,
"",,Chak No.168/10-R,220010533,507,338,845,,,,
"",,Chak No.168/10-R,220010534,507,338,845,,,,
103,"Govt .Girls MiddleSchool, 168/10-R(Part-I)",Chak No.168/10-R,220010518,978,732,1710,2,1,3,Combined
104,"Govt .Girls MiddleSchool, 168/10-R(Part-II)",Chak No.168/10-R,220010521,769,580,1349,2,1,3,Combined
Chak No.168/10-R,220010522,769,580,1349,,,,,,
Chak No.168/10-R,220010535,769,580,1349,,,,,,
Chak No.168/10-R,220010536,769,580,1349,,,,,,
Chak No.168/10-R,220010537,769,580,1349,,,,,,
Chak No.168/10-R,220010538,769,580,1349,,,,,,
106,"Govt .Boys PrySchool 90/10-R",Chak No.90/10-R,220090903,367,341,708,2,1,3,Combined
"",,Chak No.90/10-R,220090904,415,311,726,,,,
"",,Chak No.90/10-R,220090905,415,311,726,,,,
107,"Govt .Boys PrySchool,84/10-R (Part1)",Chak No.84/10-R,220090702,365,329,694,1,1,2,Combined
108,"Govt .Boys PrySchool 90/10-R",Chak No.90/10-R,220090901,898,0,898,2,0,2,Male
"",,Chak No.90/10-R,220090902,898,0,898,,,,
109,"Govt .Girls PrySchool 90/10-R",Chak No.90/10-R,220090901,0,721,721,0,2,2,Female
"",,Chak No.90/10-R,220090902,0,721,721,,,,
110,"Govt .Boys PrySchool,84/10-R (Part1)",Chak No.84/10-R,220090701,728,566,1294,2,1,3,Combined
"",,Chak No.84/10-R,220090704,285,203,488,,,,
112,"Govt .GirlsCommunity ModelSchool 84/10-R.",Chak No.84/10-R,220090705,555,489,1044,1,1,2,Combined
"",,Chak No.84/10-R,220090706,176,164,340,,,,
113,"Govt Boys PrimarySchool TukraVenoi(Zakhira Kwl)",Zakhira Khanewal,220030202,809,713,1522,2,2,4,Combined
"",,Zakhira Khanewal,220030203,809,713,1522,,,,
114,"Govt Boys PrimarySchool  JinnahColony Zakhira Kwl",Zakhira Khanewal,220030201,419,349,768,1,1,2,Combined
115,"Colony Pirowal  Govt .Boys PrySchool, 83-85/10-R",Chak No.85/10-R,220020107,445,0,445,2,0,2,Male
Chak No.83/10-R,220020108,406,0,406,,,,,,
Chak No.83/10-R,220020109,25,25,50,,,,,,
"",,Chak No.83/10-R,220020111,769,543,1312,,,,
117,"Govt .Girls MiddleSchool, 83-85/10-R)",Chak No.85/10-R,220020107,0,318,318,0,2,2,Female
"",,Chak No.83/10-R,220020108,0,312,312,,,,
118,"Govt .Boys MiddleSchool 87/10-R",Chak No.87/10-R,220020206,414,370,784,1,1,2,Combined
119,"Govt .Boys MiddleSchool 87/10-R",Chak No.87/10-R,220020205,187,145,332,1,1,2,Combined
Chak No.87/10-R,220020207,345,275,620,,,,,,
Chak No.86/10-R,220020201,480,0,480,,,,,,
Chak No.86/10-R,220020202,413,0,413,,,,,,
Chak No.86/10-R,220020203,181,0,181,,,,,,
"",,Chak No.75/10-R,220020208,71,0,71,,,,
121,"Govt .Girls PrySchool 86-75/10-R",Chak No.86/10-R,220020201,0,396,396,0,2,2,Female
"",,Chak No.86/10-R,220020202,0,330,330,,,,
"",,Chak No.86/10-R,220020203,0,150,150,,,,
"",,Chak No.86/10-R,220020204,0,107,107,,,,
"",,Chak No.75/10-R,220020208,0,48,48,,,,
122,"Govt .Boys HighSchool, 81-82/10-R(Ist Portion)",Chak No.82/10-R,220020112,641,0,641,2,0,2,Male
Chak No.82/10-R,220020113,512,0,512,,,,,,
Chak No.82/10-R,220020114,273,0,273,,,,,,
"",,Chak No.82/10-R,220020113,0,401,401,,,,
"",,Chak No.82/10-R,220020114,0,173,173,,,,
124,"Govt .Boys PrySchool, 167/10-R",Chak No.167/10-R,220020401,360,0,360,2,0,2,Male
"",,Chak No.167/10-R,220020402,422,0,422,,,,
"",,Chak No.167/10-R,220020403,720,0,720,,,,
125,"Govt .Girls PrySchool, 167/10-R",Chak No.167/10-R,220020401,0,243,243,0,2,2,Female
Chak No.167/10-R,220020402,0,330,330,,,,,,
Chak No.167/10-R,220020403,0,580,580,,,,,,
Chak No.93/10-R,220020404,195,0,195,,,,,,
"",,Chak No.93/10-R,220020406,349,0,349,,,,
"",,Chak No.93/10-R,220020407,223,0,223,,,,
127,"Govt .Girls MiddleSchool, 93/10-R",Chak No.93/10-R,220020404,0,120,120,0,2,2,Female
"",,Chak No.93/10-R,220020405,0,338,338,,,,
"",,Chak No.93/10-R,220020406,0,238,238,,,,
"",,Chak No.93/10-R,220020407,0,135,135,,,,
128,"Govt .Girls HighSchool, 92/10-R",Chak No.92/10-R,220020408,272,195,467,1,1,2,Combined
Chak No.92/10-R,220020409,348,311,659,,,,,,
Chak No.92/10-R,220020410,618,541,1159,,,,,,
130,"Govt .Middle SchoolDinywala, KhanewalKohna",Khanewal Kohna,220070603,340,0,340,3,0,3,Male
"",,Khanewal Kohna,220070605,459,0,459,,,,
"",,Khanewal Kohna,220070606,844,0,844,,,,
"",,Khanewal Kohna,220070607,844,0,844,,,,
131,"Govt .Girls MiddleSchool Dinywala,Khanewal Kohna",Khanewal Kohna,220070603,0,240,240,0,2,2,Female
"",,Khanewal Kohna,220070605,0,408,408,,,,
"",,Khanewal Kohna,220070606,0,568,568,,,,
"",,Khanewal Kohna,220070607,0,568,568,,,,
132,"Govt .Boys PrySchool,    15/ V -IIAdhi Wala",Khanewal Kohna,220070602,439,319,758,1,1,2,Combined
"",,Khanewal Kohna,220070604,347,287,634,,,,
134,"Govt .Boys PrySchool Chah BelyWala,Nanik Pur",Nank Pur,220050101,384,274,658,1,1,2,Combined
"",,Nank Pur,220050102,251,170,421,,,,
135,"Govt .Girls MiddleSchool , AhmadNagar (Part-I)",Nank Pur,220050103,1062,860,1922,2,2,4,Combined
Nank Pur,220050104,1062,860,1922,,,,,,
Nank Pur,220050113,1062,860,1922,,,,,,
Nank Pur,220050114,1062,860,1922,,,,,,
Nank Pur,220050107,45,17,45,,,,,,
Nank Pur,220050105,375,278,653,,,,,,
137,"Govt .Boys HighSchool, Nanik Pur(Part-I)",Nank Pur,220050110,481,366,847,1,1,2,Combined
138,"Govt .Boys HighSchool, Nanik Pur(IInd Portion)",Nank Pur,220050108,352,0,352,2,0,2,Male
"",,Nank Pur,220050109,430,0,430,,,,
"",,Nank Pur,220050115,430,0,430,,,,
"",,Nank Pur,220050111,256,0,256,,,,
139,"Govt. Boys PrimarySchool No-1 BastiAziz Abad",Nank Pur,220050108,0,251,251,0,2,2,Female
Nank Pur,220050109,0,318,318,,,,,,
Nank Pur,220050115,0,318,318,,,,,,
Nank Pur,220050111,0,223,223,,,,,,
141,"Govt .Boys PrySchool Bherowal",Hayat Pur,220050202,503,407,910,1,1,2,Combined
142,"Govt .Boys PrySchool Bherowal",Hayat Pur,220050203,440,329,769,1,1,2,Combined
143,"Govt .Girls PrySchool 20/ V",Chak No.20/V,220050112,593,442,1035,1,1,2,Combined
144,"Govt .Boys PrySchool Solgi",Solgi,223020601,803,538,1341,2,1,3,Combined
145,"Govt .Boys PrySchool,Veer Gerh",Veer Garh,223020602,574,0,574,2,0,2,Male
"",,Veer Garh,223020603,479,0,479,,,,
146,"Govt .Boys PrySchool,Veer Gerh",Veer Garh,223020602,0,486,486,0,2,2,Female
Veer Garh,223020603,0,395,395,,,,,,
Kot Molchand,223020401,554,0,554,,,,,,
