"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",170,"Lal Din Memoprial School Ladhay Shah ChowkMajeed park Shahdara Lahore ()",,,Majeed Park Maraj Park,185090401,,143,115,258,2,1,3,Combined
"",170,,,Majeed Park Maraj Park,185090407,,532,354,886,Combined,,,,
"",170 Total,,,,,,,675,469,1144,2,1,3,
"",171,"Govt.Girls Middle School, Dhair Shahdra,Lahore.(Permanent) ()",,,Begum da Bagh,185090403,,392,263,655,2,2,4,Combined
"",171,,,Begum da Bagh,185090408,,239,127,366,Combined,,,,
"",171,,,Begum da Bagh,185090409,,245,190,435,Combined,,,,
"",171 Total,,,,,,,876,580,1456,2,2,4,
"",172,"Al-Noor Group School & College, Purana NarowalRoad, Shadrah Town, Lahore ()",,,"Mohalla Baba BandooqSaain",185090404,,1001,,1001,2,0,2,Male
"",172 Total,,,,,,,1001,0,1001,2,0,2,
"",173,"House of Knowledge School System Acadmy,Paracha Kothi, Shahdrah Town, Lahore ()",,,"Mohalla Baba BandooqSaain",185090410,,511,,511,2,0,2,Male
"",173,,,"Mohalla Baba BandooqSaain",185090411,,329,,329,Male,,,,
"",173 Total,,,,,,,840,0,840,2,0,2,
"",174,"Govt.Boys Primary School, Dhair, Shahdra(Permanent) ()",,,"Mohalla Baba BandooqSaain",185090404,,,670,670,0,3,3,Female
"",174,,,"Mohalla Baba BandooqSaain",185090410,,,363,363,Female,,,,
"",174,,,"Mohalla Baba BandooqSaain",185090411,,,237,237,Female,,,,
"",174 Total,,,,,,,0,1270,1270,0,3,3,
"",175,"Wapda Ahatta Work Shop G.T Road shadhraLahore  (Permanent) ()",,,Floor Mills Area,185100103,,856,708,1564,2,2,4,Combined
"",175,,,,0,,,,0,Combined,,,,
"",175,,,,0,,,,0,Combined,,,,
"",175 Total,,,,,,,856,708,1564,2,2,4,
"",176,"Wapda Ahatta Work Shop G.T Road shadhraLahore  (Permanent) ()",,,Muslim Park,185100305,,1023,,1023,4,0,4,Male
"",176,,,Maqbara Jhangir,185100306,,619,,619,Male,,,,
"",176 Total,,,,,,,1642,0,1642,4,0,4,
"",177,"Wapda Ahatta Work Shop G.T Road shadhraLahore (Permanent) ()",,,Muslim Park,185100305,,,816,816,0,3,3,Female
"",177,,,Maqbara Jhangir,185100306,,,476,476,Female,,,,
"",177 Total,,,,,,,0,1292,1292,0,3,3,
"",178,"Al-Mukhtar Grammar School and Kids Campus,Saraj Park St. No. 7, Shahdara ()",,,Siraj Park Shoro Khothi,185100302,,496,357,853,2,2,4,Combined
"",178,,,"Siraj Park Gali No.2,3",185100304,,491,322,813,Combined,,,,
"",178 Total,,,,,,,987,679,1666,2,2,4,
"",179,"Al-Mukhtar Grammar School and Kids Campus,Saraj Park St. No. 7, Shahdara ()",,,Rajpoot Park,185100203,,376,295,671,2,2,4,Combined
"",179,,,Siraj Park Gali No.5-12,185100303,,557,399,956,Combined,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"","Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
180,"Furqan Model High School, Qazi Park, ShahdraTown, Lahore. ()",,,Qazi Park,185100201,,600,,600,4,0,4,Male
180,,,"Rasool Park Gali No.8,10",185100202,,569,,569,Male,,,,
180,,,Qazi Park,185100206,,487,,487,Male,,,,
180 Total,,,,,,,1656,0,1656,4,0,4,
181,"Furqan Model High School, Qazi Park, ShahdraTown, Lahore. ()",,,"Qazi Park Gali No.2,5",185100205,,619,501,1120,2,2,4,Combined
181 Total,,,,,,,619,501,1120,2,2,4,
182,"Furqan Model High School, Qazi Park, ShahdraTown, Lahore. ()",,,Qazi Park,185100201,,,518,518,0,3,3,Female
182,,,"Rasool Park Gali No.8,10",185100202,,,484,484,Female,,,,
182,,,Qazi Park,185100206,,,372,372,Female,,,,
182 Total,,,,,,,0,1374,1374,0,3,3,
183,"Govt. Girls Primary School, Majeed Park,Shahdara Town, Lahore ()",,,"Paracha Colony ItihadPark",185100501,,1036,,1036,4,0,4,Male
183,,,"Arshad MohallaRasheed Park",185100506,,505,,505,Male,,,,
183 Total,,,,,,,1541,0,1541,4,0,4,
184,"Govt. Girls Primary School, Majeed Park,Shahdara Town, Lahore ()",,,"Arshad MohallaRasheed Park",185100506,,,386,386,0,2,2,Female
184,,,"Paracha Colony ItihadPark",185100501,,,658,658,Female,,,,
184 Total,,,,,,,0,1044,1044,0,2,2,
185,"Govt.Girls Primary School Main Bazar Jada,Shahdra Town, Lahore. (Permanent) ()",,,Mohalla Palchi Peer,185100505,,966,743,1709,2,2,4,Combined
185 Total,,,,,,,966,743,1709,2,2,4,
186,"Govt.Girls Primary School Main Bazar Jada,Shahdra Town, Lahore.(Permanent) ()",,,"Mughalia Park MuqbaraMor",185090501,,378,240,618,2,2,4,Combined
186,,,"Mughalia Park MuqbaraMor",185090505,,583,477,1060,Combined,,,,
186 Total,,,,,,,961,717,1678,2,2,4,
187,"Nighat Nayab Model School, Ravi Clifton nearTomb Jehangir Shahdra, Lahore ()",,,Mughalia Park,185090502,,639,,639,4,0,4,Male
187,,,Kachi Abadi Mustafabad,185090503,,514,,514,Male,,,,
187,,,Kachi Abadi Mustafabad,185090506,,448,,448,Male,,,,
187,,,Kachi Abadi Mustafabad,185090504,,303,,303,Male,,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",188,"Nighat Nayab Model School, Ravi Clifton nearTomb Jehangir Shahdra, Lahore ()",,,Kachi Abadi Mustafabad,185090504,,,194,194,0,3,3,Female
"",188,,,Mughalia Park,185090502,,,436,436,Female,,,,
"",188,,,Kachi Abadi Mustafabad,185090503,,,305,305,Female,,,,
"",188,,,Kachi Abadi Mustafabad,185090506,,,339,339,Female,,,,
"",188 Total,,,,,,,0,1274,1274,0,3,3,
"",189,"Al Madina Foundation Public School Ravi CliftonNear Jahangir Tomb Shahdara Lahore ()",,,Jhangir Colony,185090701,,676,525,1201,2,1,3,Combined
"",189 Total,,,,,,,676,525,1201,2,1,3,
"",190,"Al Madina Foundation Public School Ravi CliftonNear Jahangir Tomb Shahdara Lahore ()",,,Ravi Clifton Colony,185090702,,204,175,379,2,2,4,Combined
"",190,,,Ravi Clifton Colony,185090707,,346,266,612,Combined,,,,
"",190,,,Saleem Garden,185090706,,198,145,343,Combined,,,,
"",190,,,Gulshan Tufail Colony,185090703,,320,220,540,Combined,,,,
"",190 Total,,,,,,,1068,806,1874,2,2,4,
"",191,"Al Madina Foundation Public School Ravi CliftonNear Jahangir Tomb Shahdara Lahore ()",,,Ravi Clifton Colony,185090705,,925,629,1554,3,2,5,Combined
"",191,,,Gulshan Tufail Colony,185090704,,160,96,256,Combined,,,,
"",191 Total,,,,,,,1085,725,1810,3,2,5,
"",192,"City District Govt.. Junior Model Girls MiddleSchool, Shahdra Town near Dispensary, Oqaf,",,,Mohalla Pari Mehal,185090604,,561,,561,3,0,3,Male
"",192,,,Naeem Park,185090603,,515,,515,Male,,,,
"",192 Total,,,,,,,1076,0,1076,3,0,3,
"",193,"City District Govt.. Junior Model Girls MiddleSchool, Shahdra Town near Dispensary, Oqaf,",,,Mohalla Pari Mehal,185090604,,,438,438,0,2,2,Female
"",193,,,Naeem Park,185090603,,,420,420,Female,,,,
"",193 Total,,,,,,,0,858,858,0,2,2,
"",194,"M. P. E High School  Main Road Bus Stop,Shahdra Town, Lahore (Permanent).  ()",,,Bus Stop Jhangir Park,185090602,,342,,342,3,0,3,Male
"",194,,,Jhangir Park,185090601,,668,,668,Male,,,,
"",194,,,Bukhari Park,185100101,,354,,354,Male,,,,
"",194 Total,,,,,,,1364,0,1364,3,0,3,
"",195,"M. P. E High School  Main Road Bus Stop,Shahdra Town, Lahore (Permanent).  ()",,,Bukhari Park,185100101,,,290,290,0,2,2,Female
"",195,,,Jhangir Park,185090601,,,503,503,Female,,,,
"",195,,,Bus Stop Jhangir Park,185090602,,,263,263,Female,,,,
"",195 Total,,,,,,,0,1056,1056,0,2,2,
"",196,"Govt. High School Main Road, Shahdra Town,Lahore. (Permanent) ()",,,"Ahata Workshop PowerHouse",185100102,,343,,343,4,0,4,Male
"",196,,,Kachi Abadi Mills Area,185100104,,538,,538,Male,,,,
"",196,,,"Muslim Park, RajpootPark",185100204,,623,,623,Male,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
197,"Govt. High School Main Road, Shahdra Town,Lahore. (Permanent) ()",,,Kachi Abadi Mills Area,185100104,,,363,363,0,3,3,Female
197,,,"Muslim Park, RajpootPark",185100204,,,467,467,Female,,,,
197,,,"Ahata Workshop PowerHouse",185100102,,,282,282,Female,,,,
197 Total,,,,,,,0,1112,1112,0,3,3,
198,"City District Govt. Boys Primary School RasoolPark (Qazai Park) Shahdra (Permanent)   ()",,,Rasool Park,185100301,,860,,860,3,0,3,Male
198,,,Rasool Park,185100307,,249,,249,Male,,,,
198 Total,,,,,,,1109,0,1109,3,0,3,
199,"City District Govt. Boys Primary School RasoolPark (Qazai Park) Shahdra (Permanent)   ()",,,Paracha Colony,185100401,,615,,615,3,0,3,Male
199,,,Paracha Colony,185100409,,121,,121,Male,,,,
199,,,Paracha Colony,185100404,,670,,670,Male,,,,
199 Total,,,,,,,1406,0,1406,3,0,3,
200,"City District Govt. Boys Primary School RasoolPark (Qazai Park) Shahdra (Permanent)   ()",,,Paracha Colony,185100401,,,364,364,0,4,4,Female
200,,,Paracha Colony,185100409,,,109,109,Female,,,,
200,,,Paracha Colony,185100404,,,398,398,Female,,,,
200,,,Rasool Park,185100301,,,609,609,Female,,,,
200,,,Rasool Park,185100307,,,246,246,Female,,,,
200 Total,,,,,,,0,1726,1726,0,4,4,
201,"Govt. High School Main Road, Shahdra  Town,Lahore. (Permanent) ()",,,Muslim Park,185100402,,305,,305,3,0,3,Male
201,,,"Paracha Colony Lal DinPark",185100403,,428,,428,Male,,,,
201,,,"Paracha Colony Lal DinPark",185100406,,511,,511,Male,,,,
201,,,"Paracha Colony Lal DinPark",185100407,,0,,0,Male,,,,
201,,,"Paracha Colony Lal DinPark",185100410,,0,,0,Male,,,,
201 Total,,,,,,,1244,0,1244,3,0,3,
202,"Govt. High School Main Road, Shahdra Town,Lahore. (Permanent) ()",,,Muslim Park,185100402,,,214,214,0,2,2,Female
202,,,"Paracha Colony Lal DinPark",185100403,,,48,48,Female,,,,
202,,,"Paracha Colony Lal DinPark",185100406,,,570,570,Female,,,,
202,,,"Paracha Colony Lal DinPark",185100407,,,0,0,Female,,,,
202,,,"Paracha Colony Lal DinPark",185100410,,,0,0,Female,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
203,"Govt. High School Main Road, Shahdra Town,Lahore. (Permanent) ()",,,Paracha Colony,185100405,,39,55,94,2,2,4,Combined
203,,,Paracha Colony,185100408,,0,0,0,Combined,,,,
203,,,Paracha Colony,185100411,,0,0,0,Combined,,,,
203,,,Paracha Colony,185100412,,810,489,1299,Combined,,,,
203,,,Paracha Colony,185100413,,67,70,137,Combined,,,,
203 Total,,,,,,,916,614,1530,2,2,4,
204,"Fire Brigade Office, Main G.T Road, Shahdara ()",,,Mohalla Khizar Hayat,185100504,,734,,734,2,0,2,Male
204 Total,,,,,,,734,0,734,2,0,2,
205,"Govt. Al Baqiyat Primary School Majeed ParkShahdra Twon Lhr. ()",,,"Itihad park, RasheedPark",185100502,,656,,656,3,0,3,Male
205,,,"Mohalla Jhalaran ItihadPark",185100503,,495,,495,Male,,,,
205,,,"Mohalla Jhalaran ItihadPark",185100507,,147,,147,Male,,,,
205 Total,,,,,,,1298,0,1298,3,0,3,
206,"Govt. Al Baqiyat Primary School Majeed ParkShahdra Twon Lhr. ()",,,"Mohalla Jhalaran ItihadPark",185100503,,,390,390,0,3,3,Female
206,,,"Mohalla Jhalaran ItihadPark",185100507,,,55,55,Female,,,,
206,,,Mohalla Khizar Hayat,185100504,,,490,490,Female,,,,
206,,,"Itihad park, RasheedPark",185100502,,,490,490,Female,,,,
206 Total,,,,,,,0,1425,1425,0,3,3,
207,"Saba Public High School, Saddat Colony, BadamiBagh, Lahore ()",,,Mian Park Hanif Park,185110201,,717,,717,2,0,2,Male
207,,,Sadat Colony Gali No.2,185110104,,319,,319,Male,,,,
207 Total,,,,,,,1036,0,1036,2,0,2,
208,"Govt. M.N Primary School, Alipura, Bund Road,Lahore. ()",,,"Sadat Colony Gali No. 2-8",185110103,,622,,622,3,0,3,Male
208,,,"Sadat Colony Gali No.2-8",185110107,,492,,492,Male,,,,
208,,,"Sadat Colony Gali No.2-8",185110108,,0,,0,Male,,,,
208 Total,,,,,,,1114,0,1114,3,0,3,
209,"Saba Public High School, Saddat Colony, BadamiBagh, Lahore ()",,,Mian Park Hanif Park,185110201,,,573,573,0,4,4,Female
209,,,Sadat Colony Gali No.2,185110104,,,255,255,Female,,,,
209,,,"Sadat Colony Gali No. 2-8",185110103,,,422,422,Female,,,,
209,,,"Sadat Colony Gali No.2-8",185110107,,,304,304,Female,,,,
209,,,"Sadat Colony Gali No.2-8",185110108,,,0,0,Female,,,,
209 Total,,,,,,,0,1554,1554,0,4,4,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
210,"Office Lesco Data Nagar, Sub Division Lesco, Al-Farooq Road, Saddique Pura, Lahore.",,,Muslim Park,185110101,,767,,767,4,0,4,Male
210,,,Ali Pura,185110102,,876,,876,Male,,,,
210 Total,,,,,,,1643,0,1643,4,0,4,
211,"Office Lesco Data Nagar, Sub Division Lesco, Al-Farooq Road, Saddique Pura, Lahore.",,,Muslim Park,185110101,,,437,437,0,2,2,Female
211,,,Ali Pura,185110102,,,608,608,Female,,,,
211 Total,,,,,,,0,1045,1045,0,2,2,
212,"Benazir Bhutto Shaheed Trust Model HigherSecondary School, Saddique Pura Badami Bagh,Lahore ()",,,Sadiq Pura,185110401,,1485,,1485,4,0,4,Male
212,,,Sadiq Pura,185110405,,73,,73,Male,,,,
212,,,Zafar Park,185110402,,304,,304,Male,,,,
212 Total,,,,,,,1862,0,1862,4,0,4,
213,"Benazir Bhutto Shaheed Trust Model HigherSecondary School, Saddique Pura Badami Bagh,Lahore ()",,,Sadiq Pura,185110401,,,1082,1082,0,3,3,Female
213,,,Sadiq Pura,185110405,,,47,47,Female,,,,
213,,,Zafar Park,185110402,,,202,202,Female,,,,
213 Total,,,,,,,0,1331,1331,0,3,3,
214,"Benazir Bhutto Shaheed Trust Model HigherSecondary School, Saddique Pura Badami Bagh,Lahore ()",,,Sadiq Pura Gali No.4-9,185110204,,674,,674,3,0,3,Male
214,,,Sadiq Pura Gali No.4-9,185110205,,692,,692,Male,,,,
214 Total,,,,,,,1366,0,1366,3,0,3,
215,"Benazir Bhutto Shaheed Trust Model HigherSecondary School, Saddique Pura Badami Bagh,Lahore ()",,,Sadiq Pura Gali No.4-9,185110204,,,358,358,0,2,2,Female
215,,,Sadiq Pura Gali No.4-9,185110205,,,646,646,Female,,,,
215 Total,,,,,,,0,1004,1004,0,2,2,
216,"City District Government Junior Model MiddleSchool, Saddique Pura, Lahore ()",,,"Hussain Park BadamiBagh",185110404,,592,,592,2,0,2,Male
216,,,"Hussain Park BadamiBagh",185110407,,373,,373,Male,,,,
216 Total,,,,,,,965,0,965,2,0,2,
217,"Mohtarma Benazir Bhutto Shaheed Trust ModelSchool, Siddiquepura Badami Bagh Lahore ()",,,"Qadafi Colony AlqadoosRoad",185110403,,246,,246,3,0,3,Male
217,,,"Qadafi Colony AlqadoosRoad",185110406,,1012,,1012,Male,,,,
217 Total,,,,,,,1258,0,1258,3,0,3,
218,"City District Government Junior Model MiddleSchool, Saddique Pura, Lahore ()",,,"Hussain Park BadamiBagh",185110404,,,395,395,0,4,4,Female
218,,,"Hussain Park BadamiBagh",185110407,,,302,302,Female,,,,
218,,,"Qadafi Colony AlqadoosRoad",185110403,,,184,184,Female,,,,
218,,,"Qadafi Colony AlqadoosRoad",185110406,,,692,692,Female,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"","Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
219,"CDG.Boys High School, Hanif Park, Sadique Pura,Lahore. (Permanent) ()",,,"Hussain Park QadafiColony",185110504,,1226,,1226,4,0,4,Male
219,,,"Hussain Park QadafiColony",185110509,,296,,296,Male,,,,
219 Total,,,,,,,1522,0,1522,4,0,4,
220,"CDG.Boys High School, Hanif Park, Sadique Pura,Lahore. (Permanent) ()",,,"Hussain Park QadafiColony",185110504,,,922,922,0,3,3,Female
220,,,"Hussain Park QadafiColony",185110509,,,198,198,Female,,,,
220 Total,,,,,,,0,1120,1120,0,3,3,
221,"Benazir Bhutto Shaheed Trust Model HigherSecondary School, Saddique Pura Badami Bagh,Lahore ()",,,Ahmad Park Hanif Park,185110303,,1089,721,1810,2,2,4,Combined
221 Total,,,,,,,1089,721,1810,2,2,4,
222,"Benazir Bhutto Shaheed Trust Model HigherSecondary School, Saddique Pura Badami Bagh,Lahore ()",,,Hanif Park Gali No.1-8,185110302,,864,,864,4,0,4,Male
222,,,Hanif Park Gali No.1-8,185110306,,325,,325,Male,,,,
222,,,Ahmad Park,185110301,,410,,410,Male,,,,
222 Total,,,,,,,1599,0,1599,4,0,4,
223,"Benazir Bhutto Shaheed Trust Model HigherSecondary School, Saddique Pura Badami Bagh,Lahore ()",,,Ahmad Park,185110301,,,287,287,0,3,3,Female
223,,,Hanif Park Gali No.1-8,185110302,,,634,634,Female,,,,
223,,,Hanif Park Gali No.1-8,185110306,,,254,254,Female,,,,
223 Total,,,,,,,0,1175,1175,0,3,3,
224,"CDGBoy Primary School No.2 M.A Din Road,Badmi Bagh, Lahore.  (Permanent) ()",,,"Sheikh Abad BadamiBagh",185120304,,854,,854,4,0,4,Male
224,,,Abdul Qayum Road,185120303,,731,,731,Male,,,,
224 Total,,,,,,,1585,0,1585,4,0,4,
225,"Cresent Public High School Siddiqia  Colony,Khokhar Road, St. No.7 Ghaffar Wali Gali,  ()",,,"Sheikh Abad BadamiBagh",185120304,,,493,493,0,3,3,Female
225,,,Abdul Qayum Road,185120303,,,658,658,Female,,,,
225 Total,,,,,,,0,1151,1151,0,3,3,
226,"Cresent Public High School Siddiqia  Colony,Khokhar Road, St. No.7 Ghaffar Wali Gali,  ()",,,Sadiqiya Colony,185120205,,861,,861,4,0,4,Male
226,,,"Khokhar Road SadiqiyaColony",185120204,,727,,727,Male,,,,
226,,,"Khokhar Road SadiqiyaColony",185120207,,240,,240,Male,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
227,"CDG Girls High School, Qila Lachman SinghLahore.  (Permanent) ()",,,Sadiqiya Colony,185120205,,,673,673,0,3,3,Female
227,,,"Khokhar Road SadiqiyaColony",185120204,,,493,493,Female,,,,
227,,,"Khokhar Road SadiqiyaColony",185120207,,,183,183,Female,,,,
227 Total,,,,,,,0,1349,1349,0,3,3,
228,"Cresent Public High School Saddiqia Colony,Khokhar Road St. No.7 Ghaffar Wali Gali  ()",,,"Sheikh Abad SadiqiyaColony",185120206,,242,,242,3,0,3,Male
228,,,"Badar Colony SultanPark",185120501,,947,,947,Male,,,,
228 Total,,,,,,,1189,0,1189,3,0,3,
229,"Cresent Public High School Saddiqia Colony,Khokhar Road St. No.7 Ghaffar Wali Gali  ()",,,"Sheikh Abad SadiqiyaColony",185120206,,,178,178,0,2,2,Female
229,,,"Badar Colony SultanPark",185120501,,,615,615,Female,,,,
229 Total,,,,,,,0,793,793,0,2,2,
230,"CDG Girls Middle School Mauza Khakhor pind(Permanent) ()",,,Malik Park Badar Colony,185120403,,443,,443,2,0,2,Male
230,,,Malik Park Badar Colony,185120408,,484,,484,Male,,,,
230 Total,,,,,,,927,0,927,2,0,2,
231,"CDG Girls Middle School Mauza Khakhor pind(Permanent) ()",,,Malik Park Badar Colony,185120403,,,305,305,0,2,2,Female
231,,,Malik Park Badar Colony,185120408,,,341,341,Female,,,,
231 Total,,,,,,,0,646,646,0,2,2,
232,"Rana Junior Model School Near Cold Store,Khokhar Road, Lahore. ()",,,Abu Bakkar Park,185120504,,201,142,343,2,1,3,Combined
232,,,Abu Bakkar Park,185120508,,561,382,943,Combined,,,,
232 Total,,,,,,,762,524,1286,2,1,3,
233,"Oxford Foundation School, Main Bazar, KaramNager ()",,,Al Badar Colony,185120505,,1164,,1164,2,0,2,Male
233 Total,,,,,,,1164,0,1164,2,0,2,
234,"Oxford Foundation School, Main Bazar, KaramNager ()",,,Al Badar Colony,185120506,,758,,758,2,0,2,Male
234 Total,,,,,,,758,0,758,2,0,2,
235,"Rana Junior Model School near Cold store,Khokhar Road, Lahore. () ()",,,Al Badar Colony,185120505,,,1088,1088,0,3,3,Female
235,,,Al Badar Colony,185120506,,,229,229,Female,,,,
235 Total,,,,,,,0,1317,1317,0,3,3,
236,"Shad Public High School, Siddique Colony St#07,Badami Bagh Lahore. ()",,,Karm Nagar,185120406,,423,394,817,2,1,3,Combined
236,,,Karm Nagar,185120507,,168,33,201,Combined,,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",237,"Muslim Ideal School No. 8, Rehman Gunj,Khokhar Road, Badami Bagh, lahore ()",,,"Rehman Gunj KhokharRoad",185120402,,436,,436,4,0,4,Male
"",237,,,"Rehman Gunj KhokharRoad",185120407,,408,,408,Male,,,,
"",237,,,"Choudary Colony MalikPark",185120401,,481,,481,Male,,,,
"",237 Total,,,,,,,1325,0,1325,4,0,4,
"",238,"Govt. Faz-e-Aam Primary School Qazafi ColonyBadami, Bahg, Lahore.  (Permanent) ()",,,"Rehman Gunj KhokharRoad",185120402,,,316,316,0,2,2,Female
"",238,,,"Rehman Gunj KhokharRoad",185120407,,,265,265,Female,,,,
"",238,,,"Choudary Colony MalikPark",185120401,,,288,288,Female,,,,
"",238 Total,,,,,,,0,869,869,0,2,2,
"",239,"Muslim Ideal Public High School  St. No. 4 KaramNagar, Badami Bagh, Lahore.  ()",,,Karm Nagar Miraj Park,185120502,,996,,996,4,0,4,Male
"",239,,,Masoom Shah Road,185120503,,684,,684,Male,,,,
"",239 Total,,,,,,,1680,0,1680,4,0,4,
"",240,"Muslim Ideal Public High School  St. No. 4 KaramNagar, Badami Bagh, Lahore. () ()",,,Karm Nagar Miraj Park,185120502,,,696,696,0,3,3,Female
"",240,,,Masoom Shah Road,185120503,,,519,519,Female,,,,
"",240 Total,,,,,,,0,1215,1215,0,3,3,
"",241,"Ayesha Mediam School, Miraj Park, KhokharRoad, Badami Bagh, Lahore ()",,,Nishat Park,185120405,,644,,644,2,0,2,Male
"",241 Total,,,,,,,644,0,644,2,0,2,
"",242,"Ayesha Mediam School, Miraj Park, KhokharRoad, Badami Bagh, Lahore ()",,,Nishat Park,185120410,,602,,602,2,0,2,Male
"",242,,,Nishat Park,185120411,,582,,582,Male,,,,
"",242 Total,,,,,,,1184,0,1184,2,0,2,
"",243,"Al Rehman Grammar School, Masoom Shah RoadKaram Nagar, Badami Bagh Lahore ()",,,Nishat Park,185120405,,,545,545,0,3,3,Female
"",243,,,Nishat Park,185120410,,,442,442,Female,,,,
"",243,,,Nishat Park,185120411,,,333,333,Female,,,,
"",243 Total,,,,,,,0,1320,1320,0,3,3,
"",244,"Aysha Public High School St.No.18 Miraj PuraBadami Bagh  Lahore  ()",,,"Rehman Gunj KhokharRoad",185120404,,603,422,1025,2,2,4,Combined
"",244,,,"Rehman Gunj KhokharRoad",185120409,,216,157,373,Combined,,,,
"",244 Total,,,,,,,819,579,1398,2,2,4,
"",245,"Benazir Bhutto Shaheed Trust Model HigherSecondary School, Saddique Pura Badami Bagh,",,,Sadiq Pura Gali No.6,185110203,,311,246,557,2,2,4,Combined
"",245,,,Santa Park Hanif Park,185110202,,610,498,1108,Combined,,,,
"",245 Total,,,,,,,921,744,1665,2,2,4,
"",246,"CDG Boys Primary School,  Sadique Pura, Lahore.(Permanent) ()",,,Kachi Abadi Ali Pura,185110105,,365,297,662,2,2,4,Combined
"",246,,,Ali Pura,185110106,,363,248,611,Combined,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
247,"New Central Model Public High School. Sher ShahRoad,  near Police Station, Badami Bagh, Lahore.()",,,Hussain Park Gali No.36,185120301,,668,401,1069,2,2,4,Combined
247,,,Hussain Park Gali No.36,185120305,,197,210,407,Combined,,,,
247 Total,,,,,,,865,611,1476,2,2,4,
248,"Faiz-e-Aam Primary School, Qazafi Colony,Bangali Bagh, Lahore.                      ()",,,Madina Chowk,185120302,,747,538,1285,2,1,3,Combined
248 Total,,,,,,,747,538,1285,2,1,3,
249,"Farooq  Azam High School, Bismillah Park,Badami Bagh, Lahore ()",,,Qadafi Colony Nabi Park,185110502,,1116,,1116,2,0,2,Male
249 Total,,,,,,,1116,0,1116,2,0,2,
250,"Farooq  Azam High School, Bismillah Park,Badami Bagh, Lahore ()",,,Qadafi Colony Nabi Park,185110506,,824,,824,2,0,2,Male
250 Total,,,,,,,824,0,824,2,0,2,
